"date","prcp","max","min","mean"
"2018-04-04",0,0.4209661,0.408637,0.415764325
"2018-04-05",0,0.4177012,0.3755994,0.405839426041667
"2018-04-06",0,0.4153471,0.3834462,0.397894177083333
"2018-04-07",0,0.4007673,0.3466563,0.389989373958333
"2018-04-08",0,0.4003253,0.3472242,0.386026120833333
"2018-04-09",0,0.3934093,0.3382764,0.377047146875
"2018-04-10",0,0.3898091,0.3539562,0.373341746875
"2018-04-11",0,0.3858023,0.353065,0.370346280208333
"2018-04-12",0,0.3864431,0.3468332,0.369592247916667
"2018-04-13",0.4,0.4609442,0.3431792,0.3716511375
"2018-04-14",0,0.3776722,0.3595901,0.370519780208333
"2018-04-15",0,0.3809943,0.3560362,0.370471403125
"2018-04-16",0,0.3791761,0.347939,0.364497172916667
"2018-04-17",0,0.3819933,0.3449969,0.362811116666667
"2018-04-18",0,0.376142,0.3437171,0.360635596875
"2018-04-19",0,0.374166,0.3291602,0.355868648958333
"2018-04-20",0,0.3678622,0.331748,0.351415585416667
"2018-04-21",0,0.3765612,0.307725,0.353999280208333
"2018-04-22",0,0.3711452,0.3393984,0.356493645833333
"2018-04-23",0,0.3718209,0.3279433,0.352021842708333
"2018-04-24",0.9,0.3766851,0.348103,0.360217401041667
"2018-04-25",0,0.3665843,0.3244462,0.346605242708333
"2018-04-26",0,0.3564172,0.3110352,0.342516052083333
"2018-04-27",0,0.3612652,0.323853,0.343635558333333
"2018-04-28",0,0.3709149,0.3286123,0.3472558875
"2018-04-29",0,0.4855952,0.337316,0.37357024375
"2018-04-30",0,0.3610539,0.326808,0.34322308125
"2018-05-01",0,0.3530374,0.3215551,0.338650066666667
"2018-05-02",9.5,0.6670504,0.3144832,0.37813270625
"2018-05-03",0,0.3677063,0.3244491,0.344443570833333
"2018-05-04",0,0.3511782,0.309782,0.33181288125
"2018-05-05",0,0.3478093,0.3226113,0.335300138541667
"2018-05-06",0.5,0.3549852,0.3243032,0.342201394791667
"2018-05-07",0,0.3627663,0.3167124,0.338580820833333
"2018-05-08",0,0.3617964,0.319561,0.341029878125
"2018-05-09",0,0.3520432,0.3032889,0.329190252083333
"2018-05-10",0,0.3507533,0.308404,0.329429908333333
"2018-05-11",0,0.350421,0.3109221,0.3317512125
"2018-05-12",0,0.3505564,0.3160772,0.335655205208333
"2018-05-13",0,0.3583012,0.3182201,0.338523054166667
"2018-05-14",0,0.3538103,0.3051081,0.332080855208333
"2018-05-15",0,0.3513789,0.3019099,0.326787783333333
"2018-05-16",0,0.3572741,0.3071961,0.329854486458333
"2018-05-17",0,0.3508663,0.3005452,0.324099785416667
"2018-05-18",0,0.3430772,0.306766,0.3246730375
"2018-05-19",0,0.3621011,0.313375,0.329020219791667
"2018-05-20",0,0.3559461,0.3139601,0.3344246
"2018-05-21",0,0.356555,0.311892,0.331052096875
"2018-05-22",0,0.3459692,0.2967701,0.323705647916667
"2018-05-23",0,0.3505874,0.261652,0.306797202083333
"2018-05-24",0,0.3109384,0.2619853,0.285397944791667
"2018-05-25",0,0.3147559,0.263783,0.2895694375
"2018-05-26",0,0.32304,0.2787724,0.297976121875
"2018-05-27",0,0.3180699,0.2736721,0.297903311458333
"2018-05-28",0,0.331543,0.2628174,0.299266667708333
"2018-05-29",0,0.3458972,0.239758,0.283900647916667
"2018-05-30",0,0.3173962,0.2486529,0.289344248958333
"2018-05-31",0,0.313724,0.2680283,0.291994309375
"2018-06-01",0,0.322722,0.2600703,0.29245620625
"2018-06-02",0,0.3211083,0.2728791,0.295949013541667
"2018-06-03",4,0.5095463,0.2819252,0.347096128125
"2018-06-04",0,0.440897,0.3001633,0.337318453125
"2018-06-05",0,0.3519993,0.3150673,0.327829501041667
"2018-06-06",0.3,0.3552113,0.3022423,0.335883508333333
