"date","prcp","tx","tn","HRmean","HRmax","HRmin"
"2021-10-01",0,-Inf,Inf,NA,-Inf,Inf
"2021-10-08",2,9.1,4.585,92.1347826086956,97.7,81.1
"2021-10-09",0.1,16.05,1.712,78.9521875,100,46.81
"2021-10-10",0,18.64,2.748,73.2544791666667,94.4,38.1
"2021-10-11",0,12.14,2.278,81.8782291666667,99.4,56.19
"2021-10-12",0,20.1,-0.253,67.758125,95.9,16.69
"2021-10-13",0,20.78,0.665,55.5221875,89.8,13.14
"2021-10-14",3.8,19.65,1.712,54.57875,83.5,17.72
"2021-10-15",0.1,17.85,0.454,72.1715625,89.8,36.59
"2021-10-16",0,18.11,4.529,70.6976041666667,92.5,32.11
"2021-10-17",0,21.19,2.406,63.9609375,100,8.59
"2021-10-18",0.6,17.92,-1.227,66.6701041666667,89.8,18.53
"2021-10-19",0,18.29,3.17,68.4248958333333,92.8,29.18
"2021-10-20",0,19.77,0.764,50.490625,98.9,7.978
"2021-10-21",0,19.76,-1.345,42.0544791666667,89.8,4.422
"2021-10-22",0,20.58,-1.711,61.0467708333333,90.3,9.8
"2021-10-23",0,20.78,-1.073,43.8367708333333,77.95,9.07
"2021-10-24",6.8,18.67,-0.875,50.6080208333333,96.1,9.05
"2021-10-25",1.4,15.82,-1.711,72.2714583333333,95.2,19.65
"2021-10-26",0.1,15.33,-2.194,64.7991666666667,91.8,25.74
"2021-10-27",2.2,13.57,-1.457,77.1161458333333,95.3,38.49
"2021-10-28",0.1,15.13,-1.273,73.2632291666667,98.3,38.02
"2021-10-29",0.3,16.07,1.487,75.261875,94.2,42.67
"2021-10-30",6.3,17.62,-0.918,83.2692708333333,98.2,35.12
"2021-10-31",0.5,17.47,1.316,80.9078125,100,43.37
"2021-11-01",1.5,17.15,2.195,78.1536458333333,95.6,43.04
"2021-11-02",9.6,16.43,0.467,84.354375,99.3,46.73
"2021-11-03",3.8,16.62,1.655,79.0445833333333,99.1,37.32
"2021-11-04",0,18.29,0.777,73.4252083333333,100,27.69
"2021-11-05",1.6,18.01,4.288,76.3176041666667,95.7,42.62
"2021-11-06",0.5,16.8,5.322,77.7447916666667,93.2,37.79
"2021-11-07",0,19.8,1.84,70.3123958333333,98.2,15.09
"2021-11-08",1.1,18.32,0.694,70.075625,90.7,22.25
"2021-11-09",4.6,17.04,1.047,78.3967708333333,97.2,38.86
"2021-11-10",2.2,14.8,4.288,83.9434375,98.4,53.61
"2021-11-11",1.6,15.98,2.505,79.0733333333333,95.7,41.95
"2021-11-12",5.7,16.77,2.547,79.2697916666667,97.5,50.36
"2021-11-13",0,17.66,3.722,76.7358333333333,95.2,38.96
"2021-11-14",0,19.02,3.554,67.3495833333333,96.8,24.5
"2021-11-15",8.2,17.28,3.722,77.049375,96.3,39.64
"2021-11-16",5.3,19.01,2.761,80.9245833333333,96.9,36.13
"2021-11-17",4.7,17.95,5.73,78.4210416666667,94.9,41.55
"2021-11-18",0,19.45,0.961,70.9141666666667,95.1,24.08
"2021-11-19",2.8,17.42,3.891,81.3895833333333,96.3,45.08
"2021-11-20",0.6,18.11,2.945,79.2613541666667,96.5,39.79
"2021-11-21",0,19.31,2.985,64.9539583333333,97.1,22.69
"2021-11-22",0,19.04,3.113,67.3235416666667,98,31.73
"2021-11-23",0,20.2,5.18,69.6251041666667,90.7,34.23
"2021-11-24",3.7,17.41,4.515,78.9772916666667,93.7,38.04
"2021-11-25",0,20.27,3.495,73.8510416666667,96.4,28.82
"2021-11-26",41.5,9.17,2.587,89.014375,96.9,78.6
"2021-11-27",0,17.06,2.123,77.2348958333333,96.3,42.66
"2021-11-28",1,17.28,2.646,81.6816666666667,97.5,42.53
"2021-11-29",1.4,16.7,5.068,83.4142708333333,96.8,51.4
"2021-11-30",1.4,15.27,3.482,82.1613541666667,95.2,52.7
"2021-12-01",0,21.15,1.725,75.2161458333333,98.2,29.84
"2021-12-02",1.8,11.65,4.131,83.0333333333333,94.2,60.98
"2021-12-03",1.1,12.91,4.075,83.5851041666667,95.2,60.29
"2021-12-04",0,15.61,5.845,77.0035416666667,93.4,48.31
"2021-12-05",6.9,10.35,4.782,88.25,94.9,72.9
"2021-12-06",1.5,12.07,4.967,86.819375,97.4,67.4
"2021-12-07",1.9,15.18,4.459,84.1373958333333,95.2,51.67
"2021-12-08",3,15.78,5.349,83.2369791666667,95.8,51.08
"2021-12-09",5.7,14.03,5.421,84.060625,95,61.35
"2021-12-10",0,15.3,5.405,78.9988541666667,92.3,47.68
"2021-12-11",0.1,16.04,5.25,76.8390625,94.9,44.06
"2021-12-12",0,18.2,2.264,56.6669791666667,90.7,21.73
"2021-12-13",0,20.27,0,64.07,90.4,18.87
"2021-12-14",5.5,13.54,4.713,76.1152083333333,94.8,43.17
"2021-12-15",1.9,15.6,4.216,76.9966666666667,96.2,50.15
"2021-12-16",10.3,11.14,4.088,84.4055208333333,93.1,66.5
"2021-12-17",1,14.69,5.73,80.7315625,92.9,58.45
"2021-12-18",0.7,17.01,4.243,73.4596875,92.6,44.78
"2021-12-19",11.4,8.91,2.972,83.4566666666667,92.3,68.33
"2021-12-20",5.7,11.72,4.756,85.5551041666667,93.8,65.45
"2021-12-21",15.9,11.34,5.391,87.425,95.4,67.26
"2021-12-22",9,14.37,5.661,90.3755208333333,96.7,67.39
"2021-12-23",7.1,14.66,5.757,87.3517708333333,96.9,63.76
"2021-12-24",16.4,11.21,6.227,90.701875,96.8,71.14
"2021-12-25",10.6,12.38,6.24,87.1492708333333,96.6,67.45
"2021-12-26",9.9,12.24,4.542,88.7042708333333,96.2,74.4
"2021-12-27",0.1,15.4,5.632,79.0402083333333,91.7,57.15
"2021-12-28",0,16.62,1.712,74.7740625,97.3,45.33
"2021-12-29",0.5,17.52,5.744,76.9933333333333,92.7,47.46
"2021-12-30",0,20.47,2.531,65.1742708333333,98.2,23.02
"2021-12-31",0.2,18.23,3.028,62.4194791666667,84.8,34.71
"2022-01-01",0,21.35,1.119,61.325625,87.4,17.8
"2022-01-02",0.2,21.36,1.557,62.2509375,93.1,19.11
"2022-01-03",0,19.31,3.001,71.6609375,93,32.77
"2022-01-04",3.5,17.26,2.587,75.2891666666667,92.3,45.66
"2022-01-05",5.3,12.77,4.019,80.68625,92.9,55.08
"2022-01-06",0.1,14.65,4.43,80.1427083333333,93.5,54.6
"2022-01-07",1.1,16.8,3.933,79.9639583333333,94.8,49.88
"2022-01-08",1.4,16.22,3.199,78.2179166666667,93.4,49.2
"2022-01-09",5.7,13.92,5.931,84.9470833333333,93.7,63.31
"2022-01-10",0.2,15.13,3.864,79.2917708333333,94.2,54.38
"2022-01-11",1.5,16.49,3.041,77.5748958333333,94.9,44.22
"2022-01-12",0.3,13.6,4.585,74.5544791666667,92.7,50.27
"2022-01-13",0,14.71,4.417,64.5497916666667,82.7,37.29
"2022-01-14",0,15.1,3.864,66.9873958333333,88.2,31.54
"2022-01-15",0,14.64,0.836,78.3741666666667,97.2,49.65
"2022-01-16",0.9,16.15,1.768,80.8836458333333,94,48.09
"2022-01-17",1,16.73,2.179,80.875,97.2,47.52
"2022-01-18",7,12.53,3.693,81.9773958333333,95.6,51.29
"2022-01-19",0.6,16.52,2.433,78.0635416666667,93.3,49.8
"2022-01-20",3,17.72,1.543,76.7625,94.2,41.32
"2022-01-21",1.2,13.7,0.991,82.6234375,95.2,57.17
"2022-01-22",1.5,15.31,2.561,81.0067708333333,95,53
