"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax"
"2018-09-18",0,41.03,6.225,31.8110895522388,69.11,6.878,945.597014925373,953,938,317,"NW",25.2,399.614044776119,1138
"2018-09-19",0,43.02,2.711,38.7538541666667,72.35,2.449,946.322916666667,953,938,126,"SE",27.576,308.087,1126
"2018-09-20",0,39.64,6.204,52.6703125,88.4,23.52,951.21875,957,943,74,"ENE",27.36,308.704541666667,1098
"2018-09-21",0,39.01,10.49,51.6017708333333,85.3,24.35,951.4375,956,944,117,"ESE",36.288,309.47225,1091
"2018-09-22",0,40.2,8.63,47.6472916666667,81,21.1,949.8125,955,942,23,"NNE",34.632,303.389520833333,1098
"2018-09-23",0,41.56,7.749,46.9504166666667,82.7,17.5,947.822916666667,952,940,75,"E",27.684,310.163364583333,1113
"2018-09-24",0.4,35.37,8.56,54.831875,84.9,26.96,950.5625,955,945,62,"ENE",34.92,192.83659375,1086
"2018-09-25",0,38.58,6.408,53.0628125,92.4,23.22,949.041666666667,955,941,10,"N",30.528,284.426052083333,1139
"2018-09-26",0,41.64,6.824,47.4366666666667,84.6,8.09,947.666666666667,953,939,31,"NNE",36,297.818041666667,1152
"2018-09-27",0,40.33,10.26,53.0191666666667,79.05,25.26,950.666666666667,955,944,3,"N",31.5,257.147166666667,1162
"2018-09-28",0,40.42,10.49,54.4354166666667,83.9,25.87,951.541666666667,955,944,212,"SSW",29.772,266.51915625,1258
"2018-09-29",0,41.71,6.917,52.4076041666667,92.8,19.07,946.1875,954,937,73,"ENE",26.136,316.874572916667,1127
"2018-09-30",0,43.58,6.817,47.3822916666667,87,13.27,944.979166666667,950,939,125,"SE",34.38,293.515885416667,1165
"2018-10-01",0,43.62,6.534,48.4502083333333,87.9,10.72,948.614583333333,955,941,94,"E",34.596,326.708114583333,1146
"2018-10-02",0,41.5,10.14,49.0857291666667,85.4,21.41,949.958333333333,957,941,38,"NE",28.08,318.104302083333,1126
"2018-10-03",0,33.93,11.69,56.805,79.78,30.41,951.677083333333,956,945,22,"NNE",26.748,180.1619375,936
"2018-10-04",0,35.84,9.68,64.3476041666667,84.9,41.34,956.15625,962,951,83,"E",31.284,244.720145833333,1441
"2018-10-05",0,32.68,12.45,62.353125,79.41,40.81,956.96875,962,951,105,"ESE",27.252,179.1575625,1476
"2018-10-06",1.8,38.27,11.22,61.56625,91.1,30.57,951.1875,958,942,88,"E",31.968,287.801458333333,1120
"2018-10-07",0.4,35.66,12.02,64.7765625,95.5,30.81,949.833333333333,956,943,33,"NNE",33.408,254.317822916667,1281
"2018-10-08",0,41.77,9.06,49.520625,89.8,13.24,947.15625,953,938,128,"SE",31.104,320.8649375,1269
"2018-10-09",0.6,39.85,9.28,57.65125,87.6,28.93,947.635416666667,952,941,161,"SSE",30.852,260.856052083333,1286
"2018-10-10",0,36.96,9.56,66.3554166666667,94.6,35.96,951.333333333333,956,946,77,"E",36.432,209.270427083333,1412
"2018-10-11",4.3,26.87,11.97,80.3904166666667,93.2,58.41,953.541666666667,960,948,1,"N",21.96,136.161979166667,980
"2018-10-12",0,37.8,9.48,63.0179166666667,96.9,30.49,948.510416666667,954,942,354,"N",30.816,268.64775,1242
"2018-10-13",0,35.05,9.71,58.0982291666667,91.2,33.7,952.135416666667,956,947,82,"E",26.784,200.21925,1244
"2018-10-14",0,38.57,9.16,53.3435416666667,89.4,24.85,948.84375,954,939,124,"ESE",36.036,338.822854166667,1175
"2018-10-15",0,38.16,10.28,56.1828125,87.5,25.87,948.6875,955,941,291,"WNW",33.012,239.541020833333,1274
"2018-10-16",0,43.18,8.56,51.8748958333333,87.8,13.31,943.15625,949,935,78,"E",37.44,322.370760416667,1134
