"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","DIR","vel","radMean","radMax"
"2022-11-13",0,11.5,11.5,68.8,68.8,68.8,0.1,0.1,0.1,152.7,"SSE",15.41,0,0
"2022-11-14",83049,25.5,6.8,58.1510416666667,92.5,10.3,299.488541666667,966,0.1,153.4,"SSE",26.34,0,0
"2022-11-15",82253,21.8,8.7,68.459375,96.7,41.6,274.865625,1108.8,0.1,126.8,"SE",21.48,0,0
"2022-11-16",82360,22.7,6.5,62.9572916666667,95,31.6,304.779166666667,1062.1,0.1,193.9,"S",24.53,0,0
"2022-11-17",82450,24.4,5.5,53.31875,87.9,19.6,310.085416666667,970.4,0.1,151,"SSE",25.28,0,0
"2022-11-18",81261,25,5.2,40.2208333333333,68.5,18.8,298.6,950.3,0.1,164.6,"S",24.09,0,0
"2022-11-19",81787,25,6.7,55.6052083333333,100,21.8,226.833333333333,1039.4,0.1,114.5,"ESE",20.11,0.0666666666666667,3
"2022-11-20",81777,27.8,6.4,58.5979166666667,96.5,14.1,294.242708333333,968.9,0.1,169.3,"S",20.42,0,0
"2022-11-21",82136,21.2,10.7,69.175,92.2,42.2,239.096875,1043.7,0.1,141.6,"SE",24.84,0,0
"2022-11-22",81834,20.2,9.3,70.9041666666667,92.4,41.4,170.271875,1056.2,0.1,91.3,"E",21.51,0,0
"2022-11-23",54143,18.5,8.5,75.1520833333333,100,48.4,159.411458333333,1049.5,0.1,176,"S",23.2,0,0
"2022-11-24",82807,20.3,7,54.1083333333333,92.7,22.3,258.941666666667,950.7,0.1,123.2,"ESE",24.66,0,0
"2022-11-25",76823,20.6,5,47.315625,84,20.8,299.915625,985.3,0.1,129.7,"SE",23.86,0,0
"2022-11-26",82901,20.9,3.6,42.7416666666667,81,15,304.772916666667,960.1,0.1,131.8,"SE",24.79,0,0
"2022-11-27",82290,21.1,4.5,42.0854166666667,76.6,17.5,305.4625,967.7,0.1,198.6,"SSW",23.98,0,0
"2022-11-28",81901,22.1,4.9,49.05625,80.5,21.8,271.05,925,0.1,159.1,"SSE",21.7,0,0
"2022-11-29",82768,22.2,7.2,54.6697916666667,83.6,24,235.798958333333,1018.6,0.1,153.9,"SSE",29.32,0,0
"2022-11-30",81614,24.7,4.2,56.53125,93.7,9.4,290.370833333333,1002.3,0.1,133.3,"SE",27.53,0,0
"2022-12-01",52617,21.1,5.9,62.215625,87.9,31.3,221.705208333333,980.6,0.1,138.2,"SE",23.05,0,0
"2022-12-02",75148,16.7,6.1,75.625,97.1,47.6,205.733333333333,1063.3,0.1,135.6,"SE",23.32,0.025,0.4
"2022-12-03",77588,17.1,6.9,74.8989583333333,100,47.4,236.858333333333,1125.3,0.1,129.5,"SE",21.24,0,0
"2022-12-04",64284,20.2,7.6,63.2197916666667,89,33.9,218.415625,1041,0.1,165.9,"S",27,0,0
"2022-12-05",59175,18.3,7.7,59.4770833333333,96.2,34.1,187.842708333333,957,0.1,121.9,"ESE",25.6,0.00416666666666667,0.2
"2022-12-06",72998,15.4,9.8,70.7197916666667,83.2,53.2,90.846875,547.7,0.1,124.9,"SE",19.01,0,0
"2022-12-07",52754,14.9,7.7,90.096875,100,67,130.104166666667,625.6,0.1,162.4,"SSE",18.84,0.0875,0.6
"2022-12-08",49182,20.4,5.5,76.459375,100,40.7,161.667708333333,1008.9,0.1,108.1,"ESE",18.62,0,0
"2022-12-09",21054,20.3,7.2,68.6645833333333,90.7,42.2,168.090625,939.1,0.1,175.3,"S",17.13,0,0
"2022-12-10",67459,23.7,9.8,59.5364583333333,93,29.7,214.75,889.2,0.1,158.1,"SSE",18.74,0,0
