"date","prcp","tx","tn","HRmean","HRmax","HRmin"
"2021-12-17",0,NA,Inf,NA,-Inf,Inf
"2021-12-21",2.3,NA,3.901,95.0333333333333,100,79.44
"2021-12-22",15.8,7.13,3.039,99.475,100,91.4
"2021-12-23",17.8,7.413,3.335,99.0125,100,88.2
"2021-12-24",14.8,8.37,3.931,98.390625,100,82.9
"2021-12-25",5.7,8.06,2.36,92.58625,100,75.86
"2021-12-26",17.3,6.251,2.641,97.3072916666667,100,88
"2021-12-27",8.2,8.84,3.466,96.1761458333333,100,69.95
"2021-12-28",10.3,9.69,1.469,91.7672916666667,100,67.96
"2021-12-29",13.4,9.11,2.558,92.3160416666667,100,72.13
"2021-12-30",0,12.76,2.304,71.8609375,100,22.62
"2021-12-31",2.3,12.03,2.021,65.3753125,97.4,33.62
"2022-01-01",2,14.01,2.288,57.8611458333333,84.8,31.38
"2022-01-02",3,14.11,2.742,62.4457291666667,99.7,33.12
"2022-01-03",3.9,11.92,1.979,73.2213541666667,94.3,42.78
"2022-01-04",1.7,10.57,2.627,76.9453125,94.8,60.8
"2022-01-05",3.4,6.761,2.486,91.2851041666667,100,73.02
"2022-01-06",5.8,8.42,1.979,91.0970833333333,100,71.07
"2022-01-07",5.9,9.35,2.035,91.9841666666667,100,66.41
"2022-01-08",8.3,9.65,3.095,90.9170833333333,100,58.79
"2022-01-09",2.7,8.09,3.236,95.109375,100,80.2
"2022-01-10",5.4,8.9,1.426,93.8729166666667,100,65.06
"2022-01-11",1.2,8.16,2.347,93.4170833333333,100,68.72
"2022-01-12",0.4,8.05,2.558,84.999375,100,57.49
"2022-01-13",0,8.87,1.442,77.9063541666667,100,42.64
"2022-01-14",2.3,8.69,0.139,87.8785416666667,100,53.29
"2022-01-15",5.2,7.936,1.057,86.53125,100,64.22
"2022-01-16",0.4,8.4,2.262,90.8125,98.6,75.83
"2022-01-17",0,8.63,1.765,86.258125,95.9,68.79
"2022-01-18",2.8,7.442,2.107,87.5526041666667,100,70.75
"2022-01-19",6.9,9.3,0.339,88.4776041666667,100,67.78
"2022-01-20",8,8.94,1.455,90.5313541666667,100,54.93
"2022-01-21",2.5,6.224,0.593,92.71875,100,78.62
"2022-01-22",0.3,9.25,0.195,92.3794791666667,100,65.1
"2022-01-23",9.7,7.386,-0.015,93.81875,100,82
"2022-01-24",2.7,7.186,0.83,93.9302083333333,100,74.96
"2022-01-25",8.4,8.59,2.288,90.6458333333333,100,76.21
"2022-01-26",7.8,9.39,1.412,88.1558333333333,100,63.83
"2022-01-27",1.6,7.554,1.696,92.7215625,100,72.16
"2022-01-28",2.5,6.959,2.702,97.5479166666667,100,83.7
"2022-01-29",5.3,9.75,3.479,92.7145833333333,100,70.12
"2022-01-30",5.5,7.864,3.308,91.4873958333333,100,71.78
"2022-01-31",10.2,7.653,2.248,95.1035416666667,100,71.47
"2022-02-01",8.3,7.455,1.412,92.895625,100,58.63
"2022-02-02",4.7,8.25,1.896,95.9729166666667,100,75.23
"2022-02-03",0.1,7.821,2.288,95.334375,100,80.6
"2022-02-04",0.3,9.18,2.969,87.0459375,100,69.96
"2022-02-05",1.9,7.808,3.124,87.6209375,100,68.55
"2022-02-06",6.5,5.418,1.186,98.9895833333333,100,92.1
"2022-02-07",4.3,8.06,1.952,96.3916666666667,100,81.7
"2022-02-08",0,9.39,1.709,90.7877083333333,100,73.74
"2022-02-09",0.7,8.15,1.936,94.0765625,100,75.93
"2022-02-10",0,7.963,2.077,88.2898958333333,100,58.45
"2022-02-11",0,11.26,2.459,83.3015625,98.3,59.81
"2022-02-12",7,7.992,0.179,94.5288541666667,100,71.33
"2022-02-13",2.5,8.47,0.945,90.8119791666667,100,68.41
"2022-02-14",0,11.18,2.064,86.5947916666667,100,54.37
"2022-02-15",2.2,9.15,2.601,93.208125,100,69.57
"2022-02-16",0.6,9.52,2.758,92.2925,100,72
"2022-02-17",1.1,10.88,2.387,88.0570833333333,100,62.57
"2022-02-18",12,9.71,0.152,89.9511458333333,100,67.16
"2022-02-19",0,11.28,2.232,78.8714583333333,98.6,50.33
"2022-02-20",3.3,10.57,1.68,87.24875,99.8,64.74
"2022-02-21",3.3,7.156,0.761,92.434375,100,75.27
"2022-02-22",0,6.817,1.258,90.0429166666667,97.3,70.16
"2022-02-23",5.2,7.907,1.228,92.5822916666667,100,76.53
"2022-02-24",0,10.48,3.266,90.5022916666667,100,64.08
"2022-02-25",9.5,9.81,0.465,91.2536458333333,100,68.76
"2022-02-26",5.9,9.58,1.61,93.1072916666667,100,75.61
"2022-02-27",8.6,10.72,2.627,87.6533333333333,100,64.25
"2022-02-28",0,11.23,3.391,85.2833333333333,99.4,61.98
"2022-03-01",0.4,8.64,2.387,85.1210416666667,97.9,65.45
"2022-03-02",0,9.04,1.271,85.1884375,99.8,61.2
"2022-03-03",12.3,8.25,2.702,91.3795833333333,100,75.93
"2022-03-04",0,10.64,2.288,86.5629166666667,99.3,62.13
"2022-03-05",0,10.07,2.219,85.5625,100,60.73
"2022-03-06",2.6,10.94,0.761,87.69875,100,58.88
"2022-03-07",0,12.04,2.772,87.9542708333333,100,50.93
"2022-03-08",14.2,8.77,1.794,87.0960416666667,99.6,65.14
"2022-03-09",3.9,10.34,1.3,91.6145833333333,100,59.28
"2022-03-10",0.6,9.27,0.238,89.5189583333333,99,66.87
"2022-03-11",13.5,7.696,1.581,93.39375,100,76.79
"2022-03-12",9.7,6.054,2.657,97.315625,100,87.2
"2022-03-13",1,8.22,2.176,93.6770833333333,100,75.86
"2022-03-14",10.1,6.791,2.064,96.2552083333333,100,78.63
"2022-03-15",11.3,2.841,-0.186,99.9854166666667,100,98.5
"2022-03-16",0.2,6.449,0.04,92.565625,100,76.41
"2022-03-17",0,9.71,1.258,84.2891666666667,99.6,62.39
"2022-03-18",0.3,9.32,1.923,85.80875,97,64.19
"2022-03-19",4.4,6.449,1.765,94.725,99.8,80.9
"2022-03-20",11.2,6.777,2.262,95.6614583333333,100,78.98
"2022-03-21",4.9,8.64,2.87,88.8677083333333,100,70.59
"2022-03-22",0,9.59,2.857,87.4636458333333,99.9,70.37
"2022-03-23",0,10.98,1.084,84.2383333333333,99.8,60.59
"2022-03-24",2.1,11.14,3.664,86.805625,99.4,68.96
"2022-03-25",1.6,7.156,3.167,90.4875,97.9,78.41
"2022-03-26",14.6,6.721,0.774,94.5854166666667,99.9,82
"2022-03-27",1.9,7.936,2.601,87.315625,98.9,72.47
"2022-03-28",1.1,9.46,0.208,84.1822916666667,97,65.6
"2022-03-29",0,10.71,-0.002,68.9586458333333,93,18.39
"2022-03-30",0,9.93,2.515,84.3896875,99,55.71
"2022-03-31",0,8.5,2.403,89.591875,100,68.11
"2022-04-01",0,7.386,0.86,88.4614583333333,99.1,72.28
"2022-04-02",0,7.031,0.945,88.265,97.8,74.14
"2022-04-03",0.5,8.15,2.064,89.516875,99.2,71.99
"2022-04-04",0.2,8.05,1.202,85.0267708333333,98.3,66.98
"2022-04-05",0,9.79,-0.101,81.8125,99.7,51.15
"2022-04-06",0,8.91,0.593,83.2185416666667,98.1,56.11
"2022-04-07",0,9.56,0.507,83.5264583333333,98.4,65.81
"2022-04-08",0,9.2,2.051,85.0572916666667,98,64.73
"2022-04-09",2.8,8.12,1.936,88.2317708333333,98.4,68.67
"2022-04-10",0,9.1,1.044,82.29125,94.5,56.25
"2022-04-11",0,9.99,1.808,79.4278125,96.3,54.37
"2022-04-12",0,11.5,1.85,46.9852083333333,84.8,5.682
"2022-04-13",0,10.56,0.916,46.5088541666667,94.4,11.02
"2022-04-14",0,9.72,-0.101,77.7190625,96.4,45.08
"2022-04-15",0,10.91,-0.627,65.2489583333333,96,23.66
"2022-04-16",0,13.19,1.482,37.2453125,77.88,8.18
"2022-04-17",0,10.61,-0.13,37.354375,69.29,9.23
"2022-04-18",0,11.73,-2.21,39.6745833333333,68.94,8.07
"2022-04-19",0,11.43,-1.105,46.7210416666667,86.3,13.73
"2022-04-20",0,12.57,-0.426,39.4271875,78.85,7.98
"2022-04-21",0,11.86,-0.074,17.0711354166667,45.42,4.492
"2022-04-22",0,12.34,0.165,28.6683333333333,61.28,6.701
"2022-04-23",0,11.23,1.442,36.6448958333333,72.21,13.61
"2022-04-24",0,10.61,-0.031,63.1202083333333,92.6,33.91
"2022-04-25",0,11.77,-0.512,57.3720833333333,95.9,13.04
"2022-04-26",0,11.87,1.979,33.664375,84.7,7.994
"2022-04-27",0,12.57,3.124,27.3164791666667,94.1,3.73
"2022-04-28",0,13.06,2.686,53.3969791666667,97.4,13.46
"2022-04-29",0,8.46,1.538,88.8475,98.4,64.15
"2022-04-30",0,9.49,1.696,78.5505208333333,96.3,56.82
"2022-05-01",0,11.8,0.179,65.7845833333333,84.3,42.29
"2022-05-02",0,10.26,0.366,57.2484375,95.3,25.27
"2022-05-03",0,5.941,1.202,87.2783333333333,95,75.46
"2022-05-04",0,11.38,-0.627,70.7844791666667,96.3,25.19
"2022-05-05",0,10.99,-1.812,42.5510416666667,77.24,13.6
"2022-05-06",0,11.33,-0.963,46.14625,91,15.77
"2022-05-07",0,8.09,-3.807,74.7351041666667,91.7,57.02
