"date","prcp","tx","tn","HRmean","HRmax","HRmin"
"2021-12-17",0,21.87,21.65,48.38,48.93,48.13
"2021-12-22",0.3,NA,7.474,91.26875,96.5,87
"2021-12-23",0.8,11.38,6.329,92.1584375,100,73.28
"2021-12-24",2.2,12.15,6.964,93.6903125,100,74.2
"2021-12-25",7.1,11.45,6.852,93.853125,100,79.93
"2021-12-26",10.4,9.01,5.453,94.1364583333333,100,77.85
"2021-12-27",0.1,12.13,6.104,92.8269791666667,100,64.84
"2021-12-28",0,12.23,2.9,86.3246875,100,61.01
"2021-12-29",1.5,12.71,5.074,87.0426041666667,99.8,64.79
"2021-12-30",0,17.88,3.605,70.8133333333333,99.3,27.12
"2021-12-31",0.6,15.37,3.447,62.9136458333333,84.2,28.31
"2022-01-01",0,17.02,2.943,67.8298958333333,89.9,36.08
"2022-01-02",1,19.65,4.451,65.1911458333333,92.2,21.97
"2022-01-03",11.5,15.27,4.692,78.61,93.7,39.83
"2022-01-04",1.7,13.01,3.733,78.4986458333333,91.6,56.67
"2022-01-05",1.1,10.79,4.112,85.5219791666667,95.2,65.46
"2022-01-06",0,12.05,5.397,89.493125,99.3,72.24
"2022-01-07",0,13.43,6.259,86.1821875,98.8,56.8
"2022-01-08",0.2,13.84,5.976,84.6578125,99,60.96
"2022-01-09",0.1,11.3,6.385,90.2734375,98.4,73.61
"2022-01-10",0.1,12.46,4.353,85.7347916666667,99.5,66.43
"2022-01-11",2.5,12.05,4.804,87.304375,99.7,68.84
"2022-01-12",0.7,12.41,6.16,71.850625,99.6,45.82
"2022-01-13",0,14.42,5.706,64.4311458333333,96.6,30.3
"2022-01-14",5.8,12.49,3.479,77.0559375,98.4,34.89
"2022-01-15",0,11.55,1.276,90.8801041666667,100,56.25
"2022-01-16",3.3,11.77,4.903,89.8870833333333,100,67.1
"2022-01-17",0.1,13.35,4.211,89.3288541666667,100,60.34
"2022-01-18",0.1,11.98,5.06,88.6946875,100,55.69
"2022-01-19",0.1,12.67,2.956,83.3634375,97.7,61.94
"2022-01-20",6.5,12.92,3.335,86.4426041666667,99.9,58.32
"2022-01-21",0,11.45,2.887,86.9815625,100,64.03
"2022-01-22",0,12.66,3.252,87.9361458333333,99.6,63.92
"2022-01-23",4.6,11.34,3.832,91.4891666666667,99.8,75.27
"2022-01-24",2,10.71,4.083,90.44875,100,74.68
"2022-01-25",0,12.47,5.551,87.2945833333333,100,64.11
"2022-01-26",0,13.53,6.174,83.8705208333333,100,57.68
"2022-01-27",7,12.32,4.873,86.7878125,98.9,61.09
"2022-01-28",1,10.76,6.23,94.5448958333333,100,75.92
"2022-01-29",3.1,11.82,6.483,93.9559375,100,77.01
"2022-01-30",3.8,14.43,6.259,90.64125,100,59.17
"2022-01-31",1.4,12.68,5.706,85.4745833333333,100,55.9
"2022-02-01",6.4,11.41,4.55,90.01375,100,62.84
"2022-02-02",0.3,11.19,4.692,92.1058333333333,100,70.09
"2022-02-03",1.3,10.71,6.174,92.00625,100,73.47
"2022-02-04",5,12.2,6.427,90.6225,100,71.83
"2022-02-05",0.7,12.67,6.23,91.02875,100,61.2
"2022-02-06",7.2,7.656,5.397,95.1145833333333,99.7,85.8
"2022-02-07",0,10.17,3.915,95.45,100,79
"2022-02-08",0,13.06,4.678,90.5192708333333,100,59.13
"2022-02-09",0,10.62,4.705,94.3177083333333,100,80.9
"2022-02-10",0,11.37,4.932,91.6698958333333,100,65.04
"2022-02-11",0.3,12.85,2.844,90.2270833333333,100,65.41
"2022-02-12",5.4,10.37,4.833,93.1576041666667,99.3,74.95
"2022-02-13",0,12.13,5.357,89.7957291666667,100,64.01
"2022-02-14",0,14.87,4.622,84.6815625,100,49.78
"2022-02-15",6.1,11.88,5.551,88.9657291666667,100,55.73
"2022-02-16",1.5,13.32,5.65,86.6046875,99.9,63.65
"2022-02-17",0.3,13.9,3.888,85.5176041666667,99.2,60.2
"2022-02-18",6.2,13.33,4.099,87.1305208333333,98.9,60.49
"2022-02-19",0,15.06,1.388,85.189375,98.5,47.57
"2022-02-20",2,12.78,2.969,87.7615625,98.9,64.59
"2022-02-21",0,13.33,3.733,87.3888541666667,99.2,56.57
"2022-02-22",0,11.45,2.376,85.3547916666667,99,55.92
"2022-02-23",0.1,11.65,2.732,89.3520833333333,99.8,68.09
"2022-02-24",0,13.76,4.945,86.1510416666667,100,53.95
"2022-02-25",11.1,13.32,5.594,87.8355208333333,99.5,58.21
"2022-02-26",5.2,12.13,5.608,90.1782291666667,100,65.9
"2022-02-27",0.2,14.35,4.312,87.3866666666667,100,55.14
"2022-02-28",0.1,14.45,5.074,86.4422916666667,98.5,45.73
"2022-03-01",0.4,13.22,4.224,80.0666666666667,94.6,50.83
"2022-03-02",0,13.06,3.111,86.4936458333333,99.4,61.28
"2022-03-03",1.7,14.55,5.65,88.3705208333333,99.2,53.23
"2022-03-04",0,14.53,3.888,82.6809375,98.9,50.77
"2022-03-05",0,14.51,4.761,83.4603125,99.7,40.9
"2022-03-06",0,14.52,2.774,83.8177083333333,98,55.37
"2022-03-07",0,15.44,4.013,83.5217708333333,98.8,46.01
"2022-03-08",0.9,14.22,4.126,79.1464583333333,98.1,53.6
"2022-03-09",1.4,12.41,3.223,88.6476041666667,99.5,57.08
"2022-03-10",3.6,12.8,2.969,87.628125,98.3,59.86
"2022-03-11",3.8,11.99,5.893,91.9758333333333,100,72.71
"2022-03-12",11.3,9.85,4.467,95.8427083333333,100,82.3
"2022-03-13",1.2,11.02,3.322,94.7177083333333,100,78.37
"2022-03-14",10.3,9.32,4.761,93.6885416666667,100,78.61
"2022-03-15",15.1,6.497,2.502,92.871875,100,81.8
"2022-03-16",0.2,9.29,2.716,89.6776041666667,100,69.78
"2022-03-17",0,13.9,2.406,83.32,98.1,47.28
"2022-03-18",0.4,13.11,3.378,84.2342708333333,95.2,59.59
"2022-03-19",0.1,12.39,4.873,87.7357291666667,99.2,66.96
"2022-03-20",0,11.78,5.172,91.7517708333333,100,70.34
