"date","prcp","max","min","mean"
"2019-11-06",3.3,0.7104158,0.6043568,0.63162477962963
"2019-11-07",0.7,0.7409549,0.6033568,0.623685942708333
"2019-11-08",0,0.859405,0.5738168,0.660233915625
"2019-11-09",0.1,0.6618862,0.606369,0.633467432291667
"2019-11-10",11.3,0.7220159,0.6158509,0.6465015375
"2019-11-11",0,0.6638861,0.6196499,0.639774529166667
"2019-11-12",12.3,0.8040361,0.6080828,0.652606405208333
"2019-11-13",0.1,0.7949228,0.554193,0.644428789583333
"2019-11-14",17.3,0.9296889,0.61551,0.708462222916667
"2019-11-15",0,0.7092328,0.5694442,0.648817841666667
"2019-11-16",0,0.707479,0.5277228,0.662880851041667
"2019-11-17",0,0.7813501,0.5332861,0.644341160416667
"2019-11-18",0,0.6951838,0.529737,0.603317132291667
"2019-11-19",0,0.7162218,0.5514269,0.625199695833333
"2019-11-20",0,0.7638812,0.550952,0.59626760625
"2019-11-21",0.2,0.7538772,0.554647,0.628752883333333
"2019-11-22",0.6,0.826828,0.553328,0.644704782291667
"2019-11-23",1.3,0.8365078,0.5918097,0.637693536458333
"2019-11-24",0,0.792016,0.5395122,0.62772943125
"2019-11-25",0,0.8648882,0.5350299,0.665880161458333
"2019-11-26",0,1.918328,0.4808679,0.820633848958333
"2019-11-27",0,0.851213,0.5669641,0.634267951041667
"2019-11-28",0,1.610323,0.6045098,1.28397470833333
"2019-11-29",0,1.843265,0.5781331,1.28087306875
"2019-11-30",0,1.847394,0.5421309,1.304553225
"2019-12-01",2.2,1.794162,0.5981159,1.32379185729167
"2019-12-02",0.1,1.806518,0.5675192,1.582566015625
"2019-12-03",0,1.768512,0.5614591,1.22997236354167
"2019-12-04",1.2,1.623617,0.558434,1.10963373541667
"2019-12-05",0.4,1.743897,0.5680208,1.34431634895833
"2019-12-06",0,1.75699,0.5480738,1.34567548645833
"2019-12-07",3.7,1.740677,0.5428948,1.193549965625
"2019-12-08",1.3,1.763791,0.610373,1.40327806041667
"2019-12-09",0,1.611147,0.4827728,1.0345433875
"2019-12-10",0.4,1.680011,0.632122,1.32757467083333
"2019-12-11",0,1.699658,0.886508,1.54092678125
"2019-12-12",2.2,1.623333,0.6334419,1.44678128854167
"2019-12-13",6.4,1.696452,0.5166698,1.16585601666667
"2019-12-14",0.1,1.60084,0.8911681,1.51672649895833
"2019-12-15",0,1.629909,0.7788439,1.49951055104167
"2019-12-16",0,1.665141,0.8955312,1.4887791375
"2019-12-17",0.1,1.636927,0.598011,1.441486240625
"2019-12-18",0,1.711295,0.620914,1.49558428125
"2019-12-19",0,1.678452,0.6248732,1.42619255520833
"2019-12-20",0,1.599147,0.6334119,1.451607384375
"2019-12-21",0,1.671317,1.26736,1.49297144791667
"2019-12-22",0,1.65813,0.5917268,1.49695166354167
"2019-12-23",0,1.695588,0.5922079,1.31283699791667
"2019-12-24",0,1.648895,0.5575051,0.908362641666667
"2019-12-25",0,1.612043,0.54776,1.22243928541667
"2019-12-26",0,1.543375,0.600461,1.388886475
"2019-12-27",1.4,1.59784,0.5809278,1.22634761354167
"2019-12-28",0.9,1.666416,1.477652,1.5156143125
"2019-12-29",0.8,1.651046,0.748929,1.44052705
"2019-12-30",3,1.627852,0.558722,0.809627060416667
"2019-12-31",27,1.835368,0.56813,0.961941728125
"2020-01-01",15.8,1.730951,0.6667142,1.17786815520833
"2020-01-02",0.1,1.641744,0.6752529,0.911007803125
"2020-01-03",10.7,1.664434,0.600718,1.20335792916667
"2020-01-04",17.4,1.601022,0.6743121,0.8333459625
"2020-01-05",4.5,0.875463,0.689867,0.753216297916667
"2020-01-06",0,0.7065458,0.6671429,0.688937708333333
"2020-01-07",0,0.7225609,0.6707067,0.69634261875
"2020-01-08",0,0.7249069,0.653368,0.701354346875
"2020-01-09",0,0.7197618,0.6649208,0.691080419791667
"2020-01-10",3.7,0.7064538,0.6488619,0.685321551041667
"2020-01-11",3.1,0.8047991,0.6759648,0.742284146875
"2020-01-12",10.2,0.7731328,0.6843061,0.7125361
"2020-01-13",0.1,0.78895,0.6679049,0.726741638541667
"2020-01-14",1.4,0.7509451,0.6131659,0.681732519791667
"2020-01-15",0.1,1.011686,0.6225648,0.721034969791667
"2020-01-16",5,1.021806,0.6143289,0.720357865625
"2020-01-17",0.1,0.9165277,0.6576719,0.742821938541667
"2020-01-18",0,0.9939241,0.6559172,0.743155332291667
"2020-01-19",0.3,0.7850442,0.6467509,0.737038752083333
"2020-01-20",0.3,1.021313,0.6603661,0.746560790625
"2020-01-21",3.8,1.311699,0.6947818,0.750545770833333
"2020-01-22",9.4,0.7947969,0.6448522,0.722611942708333
"2020-01-23",0,0.725276,0.6782598,0.703811413541667
"2020-01-24",0,0.7293658,0.6555171,0.698587520833333
"2020-01-25",0,0.7310972,0.5941658,0.683524592708333
"2020-01-26",0,0.7649941,0.561965,0.675866297916667
"2020-01-27",0,0.9946051,0.6017251,0.713985941666667
"2020-01-28",0,1.314063,0.636405,0.75905611875
"2020-01-29",0,1.167584,0.6603827,0.797639451041667
"2020-01-30",10.4,0.9482498,0.616807,0.760676563541667
"2020-01-31",3.7,1.022721,0.664959,0.76109920625
"2020-02-01",0,0.9042301,0.5936751,0.741995396875
"2020-02-02",0,0.928998,0.6519408,0.734600779166667
"2020-02-03",9.9,1.078827,0.6775761,0.754597027083333
"2020-02-04",0,0.9167571,0.666738,0.712431776041667
"2020-02-05",0,1.046905,0.6248012,0.733791133333333
"2020-02-06",3.7,1.228402,0.6144919,0.73899925625
"2020-02-07",9.5,0.9475598,0.6883612,0.764563705208333
"2020-02-08",2.3,0.8385549,0.7283859,0.789054014583333
"2020-02-09",1.2,0.8025861,0.766973,0.785474938541667
"2020-02-10",0,0.9047341,0.74965,0.772203495833333
"2020-02-11",5,0.7905431,0.7223821,0.767161519791667
"2020-02-12",1.6,0.8012428,0.7333102,0.764823054166667
"2020-02-13",0.4,0.7729101,0.7181811,0.740567572916667
"2020-02-14",0,0.762218,0.7117372,0.733386573958333
"2020-02-15",0,0.9940648,0.593729,0.729297091666667
"2020-02-16",0,1.01531,0.6391058,0.753308694791667
"2020-02-17",0,1.012826,0.5636868,0.722170877083333
"2020-02-18",3.2,1.08698,0.625999,0.780565633333333
"2020-02-19",1.6,0.8842802,0.6498652,0.728740960416667
"2020-02-20",17.8,0.8699222,0.7141209,0.7877480625
"2020-02-21",7.7,0.8770618,0.7129121,0.769433325
"2020-02-22",1.1,0.760067,0.6853127,0.718733042708333
"2020-02-23",0,0.9470701,0.5882931,0.6835893125
"2020-02-24",0,0.9278259,0.6109939,0.71783975625
"2020-02-25",2.7,1.048042,0.681931,0.750446463541667
"2020-02-26",7.2,0.9105649,0.6956859,0.773142754166667
"2020-02-27",0,0.7577782,0.664258,0.719743588541667
"2020-02-28",0,0.7534351,0.6330628,0.709988395833333
"2020-02-29",9,0.743845,0.6109991,0.704329722916667
"2020-03-01",1.2,0.9737749,0.673471,0.706196157291667
"2020-03-02",5.7,0.7365479,0.6324239,0.7003012125
"2020-03-03",30.5,0.95332,0.638195,0.727403532291667
"2020-03-04",1.1,0.747817,0.6384168,0.708131630208333
"2020-03-05",2.3,0.720283,0.6440482,0.690872755208333
"2020-03-06",0,1.003472,0.5613852,0.684682310416667
"2020-03-07",0,0.7833109,0.6612821,0.71321625625
"2020-03-08",0.4,0.7421889,0.7054892,0.7265438875
"2020-03-09",0,0.7410231,0.7045512,0.718286489583333
"2020-03-10",0,0.763092,0.708549,0.743162061458333
"2020-03-11",0,0.7634311,0.668963,0.729937784375
"2020-03-12",0,0.8728261,0.6204162,0.710306755208333
"2020-03-13",1.1,0.7491679,0.5910802,0.6933415625
"2020-03-14",0,0.7355828,0.5845642,0.663419661458333
"2020-03-15",0,0.7019029,0.621501,0.6476504
"2020-03-16",0,0.7154341,0.5804138,0.644034746875
"2020-03-17",0,0.7470298,0.603085,0.647581023958333
"2020-03-18",0,1.313241,0.5998912,0.692201030208333
"2020-03-19",13.7,1.10994,0.5996499,0.729633482291667
"2020-03-20",8.6,1.074843,0.6427321,0.740114094791667
"2020-03-21",1.2,0.7708611,0.707901,0.745161839583333
"2020-03-22",2.6,0.7713671,0.699996,0.729556051041667
"2020-03-23",0,1.033215,0.697125,0.715558003125
"2020-03-24",0,0.740293,0.5930972,0.701652307291667
"2020-03-25",0,0.8082209,0.6655622,0.714479034375
"2020-03-26",0.1,0.9945822,0.657341,0.750475427083333
"2020-03-27",0,0.9413548,0.6128559,0.690524436458333
"2020-03-28",0,0.683979,0.6727371,0.678373077083333
"2020-03-29",0,0.685092,0.6715708,0.678940215625
"2020-03-30",0,1.06866,0.6549029,0.709291584375
"2020-03-31",0.1,0.7015262,0.6693282,0.685289078125
"2020-04-01",0,0.6898971,0.6569819,0.674354314583333
"2020-04-02",1.5,0.6954122,0.6721702,0.679064913541667
"2020-04-03",0,0.6924658,0.6460052,0.678616423958333
"2020-04-04",0,0.6996689,0.6203461,0.675970566666667
"2020-04-05",0,0.6971211,0.642498,0.679697483333333
"2020-04-06",14.1,0.977386,0.6575289,0.691400264583333
"2020-04-07",3.5,0.9352641,0.6244011,0.727530625
"2020-04-08",0,0.7130551,0.6532798,0.697087429166667
"2020-04-09",0,0.732367,0.6772981,0.70337135625
"2020-04-10",0,0.7805882,0.6219401,0.699673701041667
"2020-04-11",0,1.057724,0.589304,0.692144913541667
"2020-04-12",0,1.04082,0.5978732,0.667686973958333
"2020-04-13",0,0.7786698,0.5934939,0.670958597916667
"2020-04-14",0,1.153491,0.594202,0.678591260416667
"2020-04-15",0,0.895803,0.586937,0.682502566666667
"2020-04-16",0,1.032705,0.600544,0.691303551041667
"2020-04-17",5.4,0.7695551,0.5908408,0.652543744791667
"2020-04-18",0,1.04508,0.6031909,0.664155073958333
"2020-04-19",0,0.755693,0.5800562,0.672359276041667
"2020-04-20",0,0.7437258,0.576457,0.685408569791667
"2020-04-21",0,1.038319,0.6048889,0.689959838541667
"2020-04-22",0,1.039988,0.604362,0.682703802083333
"2020-04-23",0,0.7011261,0.6221399,0.681139545833333
"2020-04-24",0,1.015879,0.6345439,0.680420113541667
"2020-04-25",0,1.660919,0.6287589,0.689283838541667
"2020-04-26",0,0.9527779,0.5912318,0.678995747916667
"2020-04-27",0,0.7557979,0.584403,0.64266575
"2020-04-28",0,1.061303,0.6158118,0.66526875625
"2020-04-29",0,1.274252,0.6244688,0.673228630208333
"2020-04-30",0,1.092799,0.6118598,0.693655084375
"2020-05-01",0,1.206105,0.5569949,0.723398775
"2020-05-02",0,1.051415,0.6008768,0.672088513541667
"2020-05-03",0,0.8744621,0.6422982,0.670376294791667
"2020-05-04",0,1.014184,0.662024,0.681527907291667
"2020-05-05",0,0.6863208,0.6563921,0.668527186458333
"2020-05-06",0,1.06595,0.648067,0.67231138125
"2020-05-07",0,0.943058,0.632606,0.670378396875
"2020-05-08",0,0.6726842,0.6427059,0.656683344791667
"2020-05-09",0,0.6884608,0.645968,0.665883610416667
"2020-05-10",0,0.6766019,0.6482358,0.662315952083333
"2020-05-11",0,0.6805739,0.6376619,0.661408666666667
"2020-05-12",0,0.9794531,0.6358428,0.669562305208333
"2020-05-13",0,1.049268,0.644753,0.684833246875
"2020-05-14",0,1.166186,0.5885558,0.739548509375
"2020-05-15",0,1.073062,0.5759959,0.701827177083333
"2020-05-16",0,1.066711,0.6084452,0.745919942708333
"2020-05-17",0,1.040969,0.6255131,0.735782811458333
"2020-05-18",0,1.035103,0.585072,0.7153465375
"2020-05-19",0,1.120275,0.6441488,0.73960749375
"2020-05-20",0,1.362982,0.552228,0.821869096875
"2020-05-21",0,1.186431,0.6190372,0.738980264583333
"2020-05-22",0,1.084327,0.6051159,0.790901044791667
"2020-05-23",0,1.209704,0.5763459,0.744469266666667
"2020-05-24",0,1.072581,0.5920849,0.740065208333333
"2020-05-25",0,0.7009478,0.623281,0.672079420833333
"2020-05-26",0,0.6798892,0.6623421,0.672603776041667
"2020-05-27",0,0.6789889,0.6591468,0.67079521011236
"2020-05-28",0,0.674561,0.6620708,0.667631057142857
"2020-05-29",0,0.6743398,0.6592979,0.666215771212121
"2020-05-30",0,0.6638222,0.6434698,0.651962420754717
"2020-05-31",0,0.6753359,0.6454701,0.655759489830508
"2020-06-01",0,0.6921849,0.6432452,0.662544544230769
"2020-06-02",0,0.6691079,0.6497321,0.657357403278689
"2020-06-03",0,0.6689858,0.6421518,0.655146268181818
"2020-06-04",0.4,0.8982902,0.6466208,0.659106361818182
"2020-06-05",0,0.66576,0.6374688,0.649858053623188
"2020-06-06",3.9,0.6590571,0.6452379,0.652969383673469
"2020-06-07",0,0.6673579,0.6470571,0.6556191796875
"2020-06-08",0,0.832324,0.6495528,0.66013305308642
"2020-06-09",0,0.960927,0.6343579,0.65862817625
"2020-06-10",0,0.6664691,0.6475658,0.655688044444444
"2020-06-11",0,0.6556802,0.6410961,0.648360430263158
"2020-06-12",0,0.658884,0.6368899,0.649707793670886
"2020-06-13",0.1,0.6593351,0.6463232,0.652714390277778
"2020-06-14",0.1,0.664382,0.6471982,0.655947362790698
"2020-06-15",0,0.6649861,0.6345582,0.647345649382716
"2020-06-16",0,0.6726942,0.6319289,0.64906246875
"2020-06-17",0,0.6638341,0.6458502,0.655470931506849
"2020-06-18",0,0.6643181,0.6487279,0.656716107936508
"2020-06-19",0,0.667942,0.650805,0.657212025714286
"2020-06-20",0,0.6608982,0.6485109,0.655105364912281
"2020-06-21",0,0.6618252,0.6329279,0.647267845783133
"2020-06-22",0,0.685514,0.6345129,0.657617978947368
"2020-06-23",0,0.7063079,0.6001468,0.656687992682927
"2020-06-24",0,1.192484,0.5300112,0.836360276623377
"2020-06-25",0,0.7990222,0.5618358,0.638926964285714
"2020-06-26",0,0.7695379,0.5904899,0.6897737275
"2020-06-27",0,0.9966841,0.6219811,0.733208686956522
"2020-06-28",0,1.063855,0.6180668,0.749532183950617
"2020-06-29",0,0.7392602,0.61834,0.66534095952381
"2020-06-30",0,0.6769881,0.653038,0.66524732
"2020-07-01",0,0.7286501,0.5892582,0.640787859756098
"2020-07-02",0,0.7763038,0.6057272,0.6941980265625
"2020-07-03",0,1.082983,0.5951881,0.700821469230769
"2020-07-04",0,1.098124,0.59834,0.70504592195122
"2020-07-05",0,1.056447,0.6488781,0.712816379310345
"2020-07-06",0,1.028443,0.5461578,0.658250237931034
"2020-07-07",0,1.043373,0.5756831,0.6482010125
"2020-07-08",0,0.7056842,0.5782299,0.641369008536585
"2020-07-09",0,0.895617,0.5828538,0.688763459756098
"2020-07-10",0,1.061206,0.5631561,0.676030836111111
"2020-07-11",0,0.718719,0.6266379,0.678800891489362
"2020-07-12",0,0.7419171,0.58709,0.669160571794872
"2020-07-13",0,0.7153578,0.5812778,0.669573286585366
"2020-07-14",0,0.7034121,0.6702561,0.685136801612903
"2020-07-15",0,0.7038341,0.6667671,0.68297268852459
"2020-07-16",0,0.6912408,0.6701322,0.679205510344828
"2020-07-17",0,0.6852059,0.6716919,0.679411547272727
"2020-07-18",0,0.684329,0.6584392,0.672215127536232
"2020-07-19",0,1.034857,0.569046,0.686053564197531
"2020-07-20",0,0.8201599,0.680316,0.727212518604651
"2020-07-21",0,0.7264509,0.581254,0.686848178571429
"2020-07-22",0,0.6972661,0.623188,0.67578256440678
"2020-07-23",0,0.6943889,0.638957,0.660355542857143
"2020-07-24",0,0.8017459,0.5725341,0.721401477777778
"2020-07-25",0,0.7755709,0.568162,0.726780633846154
"2020-07-26",0,0.760674,0.5524511,0.7129053725
"2020-07-27",0,0.7453179,0.5993481,0.714094479591837
"2020-07-28",0,0.8691459,0.6151628,0.674644558139535
"2020-07-29",0,0.708055,0.6742291,0.695889307042253
"2020-07-30",0,0.776217,0.5670438,0.669682363636364
"2020-07-31",0,0.723649,0.6281672,0.694273807407407
"2020-08-01",0,0.7190189,0.6167941,0.675226373134328
"2020-08-02",0,0.7645578,0.6083951,0.647065888636364
"2020-08-03",0,0.7322559,0.6049018,0.709759134090909
"2020-08-04",0,0.7290549,0.6063418,0.694581514583333
"2020-08-05",0,0.7059841,0.6861091,0.69766633877551
"2020-08-06",0,0.6992908,0.6810842,0.691252150943396
"2020-08-07",0,0.9247422,0.6397119,0.69910574625
"2020-08-08",0,0.720942,0.6504331,0.695103993975904
"2020-08-09",0,0.9536757,0.6610861,0.720945782222222
"2020-08-10",0,0.938056,0.6237798,0.682057593670886
"2020-08-11",0,0.7847762,0.6130428,0.659134164583333
"2020-08-12",0,0.686275,0.634048,0.667465198113208
"2020-08-13",0,0.6926842,0.6502209,0.668404043589744
"2020-08-14",0,0.9707432,0.597095,0.74469233164557
"2020-08-15",0,0.707397,0.6362228,0.666931895833333
"2020-08-16",0,0.704124,0.6603899,0.676354515151515
"2020-08-17",0.3,0.702971,0.655766,0.671763525
"2020-08-18",0,0.6787801,0.6535182,0.6635951125
"2020-08-19",0,0.6756029,0.6519489,0.664108070526316
"2020-08-20",0,0.6890368,0.6642051,0.673718815217391
"2020-08-21",0,0.7001019,0.5533051,0.678384678666667
"2020-08-22",0,0.6964121,0.5553098,0.670045185416667
"2020-08-23",0,0.6911359,0.5561919,0.667074328125
"2020-08-24",0,0.7159529,0.618639,0.680826579166667
"2020-08-25",0,0.7139902,0.5641599,0.673870989583333
"2020-08-26",0,0.7009768,0.6516972,0.6625933
"2020-08-27",0,0.6745958,0.6426592,0.657807470833333
"2020-08-28",0,0.668808,0.6386871,0.65647855
