"date","prcp","tx","tn","HRmean","HRmax","HRmin"
"2021-10-08",1.9,NA,4.353,83.7788095238095,95.9,62.76
"2021-10-09",0,15.88,1.426,77.699375,99.5,44.88
"2021-10-10",0,17.65,1.231,77.0785416666667,97.9,34.78
"2021-10-11",0,10.94,0.959,82.3534375,99.4,58.63
"2021-10-12",0,18.19,-2.133,67.5711458333333,97.3,17.68
"2021-10-13",0,20.07,-0.96,57.2313541666667,94.7,13.61
"2021-10-14",0.2,19.25,-1.03,56.0692708333333,78.9,17.42
"2021-10-15",1.7,16.07,-1.358,72.32875,89.6,35.75
"2021-10-16",0,16.57,3.519,74.4704166666667,96.3,32.97
"2021-10-17",0,17.85,0.622,70.42,100,17.78
"2021-10-18",0.4,15.63,-3.842,72.9930208333333,96.3,26.32
"2021-10-19",0,14.49,2.486,73.1723958333333,94.1,40.09
"2021-10-20",0,18.32,-1.073,52.9213020833333,100,4.792
"2021-10-21",0,18.8,-3.73,49.13103125,98.4,3.984
"2021-10-22",0,18.02,-3.233,68.7446875,98.6,9.72
"2021-10-23",0,19.49,-4.264,49.7298958333333,93.7,9.11
"2021-10-24",6,16.37,-3.134,51.9457291666667,97.2,8.31
"2021-10-25",0,13.8,-2.205,70.994375,97.3,19.95
"2021-10-26",0,11.86,-3.983,66.1602083333333,93.6,33.46
"2021-10-27",4.4,11.87,-3.035,76.4558333333333,96.7,43.7
"2021-10-28",0.1,13.03,-1.358,75.7208333333333,98.2,39.96
"2021-10-29",0,14.08,1.116,74.210625,94.5,41.42
"2021-10-30",3,14.15,-2.248,82.8301041666667,97.8,34.85
"2021-10-31",0.2,14.43,1.172,79.5433333333333,99.7,45.66
"2021-11-01",2,14.5,2.246,77.9657291666667,95.2,45.33
"2021-11-02",10.4,12.28,0.267,83.8410416666667,98.4,53.75
"2021-11-03",0,13.91,2.077,77.2867708333333,96.7,34.28
"2021-11-04",0,15.73,1.3,74.7519791666667,100,20.58
"2021-11-05",0,15.86,3.49,74.78,96.8,37.64
"2021-11-06",1.8,14.81,4.889,76.0170833333333,93.4,32.17
"2021-11-07",0,16.83,0.748,71.100625,98.6,12.59
"2021-11-08",0,16.51,-0.664,72.313125,93.4,29.49
"2021-11-09",9.3,14.36,-0.141,79.7157291666667,98.3,46.65
"2021-11-10",1.7,11.45,4.152,84.5480208333333,97,63.38
"2021-11-11",7.4,13.46,1.979,81.0408333333333,95.7,43.33
"2021-11-12",6.2,13.07,2.627,81.8352083333333,97.2,53.59
"2021-11-13",0,14.01,2.262,78.6567708333333,99.4,41.36
"2021-11-14",0,16.86,4.395,70.4407291666667,98.9,30.26
"2021-11-15",12.9,14.76,2.94,77.3086458333333,94.3,39.7
"2021-11-16",0.8,16.13,2.021,80.4579166666667,98.9,43.48
"2021-11-17",6.1,14.77,4.636,77.7665625,94.1,46.99
"2021-11-18",1.5,15.99,0.395,72.8863541666667,95.6,29.29
"2021-11-19",3.1,12.75,3.76,80.8433333333333,95.8,45.44
"2021-11-20",0,14.16,3.49,79.9333333333333,97.4,47.49
"2021-11-21",0,15.68,2.7,65.4747916666667,99,16.18
"2021-11-22",0,15.8,2.091,69.9709375,99.2,33.49
"2021-11-23",0,16.01,5.06,71.3372916666667,92.4,41.08
"2021-11-24",8.3,14.73,3.885,80.8525,95.3,43.67
"2021-11-25",0.5,17.16,3.589,76.8211458333333,98.6,36.22
"2021-11-26",52.2,8.37,2.641,88.003125,94.6,77.99
"2021-11-27",0,13.44,2.318,77.5896875,98.8,48.57
"2021-11-28",4.9,15.05,1.909,85.1740625,100,45.91
"2021-11-29",3.8,14.32,5.06,85.80875,98.6,57.01
"2021-11-30",0.6,14.22,3.009,83.41125,99,54.74
"2021-12-01",0,17.02,3.391,78.4775,100,32.63
"2021-12-02",1.3,10.84,4.096,84.3108333333333,97.2,63.44
"2021-12-03",3.2,12.39,4.027,85.566875,96.8,65.81
"2021-12-04",0,14.23,6.259,78.4352083333333,95,50.75
"2021-12-05",10.3,9.07,4.425,88.9670833333333,96,74
"2021-12-06",1.2,10.09,4.959,86.6016666666667,98.1,71.57
"2021-12-07",3.5,12.9,4.182,85.7891666666667,97.2,62.44
"2021-12-08",1.1,14.49,5.495,85.0747916666667,96,53.01
"2021-12-09",3.8,10.6,5.146,88.1284375,96.6,72.37
"2021-12-10",1.2,14.13,5.538,82.4619791666667,95.4,55.89
"2021-12-11",2.5,14.23,5.568,80.9236458333333,95.6,48.08
"2021-12-12",0,16.41,2.911,63.0216666666667,96.5,21.55
"2021-12-13",0,16.81,-0.819,69.6289583333333,98.1,18.14
"2021-12-14",9.9,12.86,4.04,78.7739583333333,95.1,44.13
"2021-12-15",2.9,13.48,4.083,82.1764583333333,95.8,59.56
"2021-12-16",9.3,9.02,3.292,87.0039583333333,95.6,75.84
"2021-12-17",1.4,9.89,5.805,87.0838541666667,96.5,74.5
"2021-12-18",0.4,12.59,3.941,79.8878125,95,60.75
"2021-12-19",7.9,6.526,2.43,86.4733333333333,94.8,70.24
"2021-12-20",7.2,8.21,4.353,92.2791666666667,97.3,83.4
"2021-12-21",17.6,10.4,5.015,91.3455208333333,97.3,71.68
"2021-12-22",1.5,12.24,5.778,88.49,97.6,68.75
"2021-12-23",9.7,11.92,5.851,89.9226041666667,97.5,69.27
"2021-12-24",4.8,10.26,6.147,91.7240625,97.9,74.68
"2021-12-25",12.6,10.1,6.005,89.845625,97.7,75.08
"2021-12-26",10.7,9.33,4.238,90.99375,97.9,78.77
"2021-12-27",0,11.29,4.929,85.4810416666667,97.5,71.14
"2021-12-28",0,12.72,3.744,79.5563541666667,92.1,56.55
"2021-12-29",4.4,12.65,5.284,81.9282291666667,95.2,58.5
"2021-12-30",0,17.06,1.244,69.3210416666667,100,29.7
"2021-12-31",0.4,14.52,2.318,66.7159375,86.5,43.56
"2022-01-01",0,17.29,0.411,65.3709375,94.5,20.16
"2022-01-02",0.3,18.21,0.748,66.1908333333333,93.6,23.14
"2022-01-03",0,15.45,2.499,74.579375,96.8,33.67
"2022-01-04",0,14.41,2.344,77.9288541666667,95.8,45.49
