"date","prcp","max","min","mean"
"2017-12-15",0,0.2306621,0.213932,0.2215816925
"2017-12-16",0,0.239934,0.1728771,0.205177683333333
"2017-12-17",0,0.2284529,0.1609349,0.189428394791667
"2017-12-18",9.9,0.4247031,0.1890221,0.277017947916667
"2017-12-19",5.7,0.399231,0.1820841,0.267082270833333
"2017-12-20",0.1,0.2423129,0.187537,0.213916251041667
"2017-12-21",6.6,0.712347,0.189389,0.330593807291667
"2017-12-22",3,0.3124239,0.2176361,0.247157238947368
"2017-12-23",0,0.244195,0.1868341,0.215474155208333
"2017-12-24",9.9,0.840883,0.1834841,0.374674990625
"2017-12-25",0,0.3269219,0.217092,0.250597185416667
"2017-12-26",0,0.241442,0.190567,0.215241689583333
"2017-12-27",8.4,1.005922,0.1869631,0.36671373125
"2017-12-28",0,0.4449551,0.2404671,0.3039449625
"2017-12-29",2.2,0.4130561,0.1942141,0.250850034375
"2017-12-30",0.1,0.7026529,0.2468979,0.335256101041667
"2017-12-31",0,0.326787,0.2290089,0.256104661458333
"2018-01-01",0,0.2393551,0.1888139,0.203834976041667
"2018-01-02",0,0.3057489,0.146652,0.216365094791667
"2018-01-03",0.9,0.4716771,0.205503,0.28282201875
"2018-01-04",0,0.240078,0.1738989,0.211798109375
"2018-01-05",0,0.219702,0.13639,0.178376384375
"2018-01-06",0,0.2127481,0.152565,0.184763977083333
"2018-01-07",0,0.2096171,0.06005526,0.166207063020833
"2018-01-08",2,0.2160749,0.178443,0.196051295833333
"2018-01-09",0,0.214699,0.1167011,0.17616745
"2018-01-10",0.1,0.212863,0.103756,0.166409458333333
"2018-01-11",6.2,0.4018259,0.1702621,0.239023063541667
"2018-01-12",0,0.229161,0.1881039,0.210649946875
"2018-01-13",0.9,0.916903,0.1696491,0.276232214583333
"2018-01-14",2.7,0.343401,0.20174,0.225532202083333
"2018-01-15",4.6,0.647135,0.2033761,0.414959480208333
"2018-01-16",0,0.617239,0.2972691,0.37170355
"2018-01-17",0,0.4182911,0.2162731,0.278983540625
"2018-01-18",0,0.224066,0.172039,0.200310117708333
"2018-01-19",2,0.2398481,0.1699879,0.202405191666667
"2018-01-20",0.1,0.456507,0.2061131,0.261421720833333
"2018-01-21",0,0.213881,0.1526339,0.184316340625
"2018-01-22",0,0.2055759,0.07014084,0.157026241458333
"2018-01-23",0,0.201797,0.1430571,0.163933895833333
"2018-01-24",0,0.1998491,0.154496,0.175523559375
"2018-01-25",5,0.293653,0.1335151,0.188343515625
"2018-01-26",0.1,0.244266,0.1656661,0.189320629166667
"2018-01-27",14.2,0.302875,0.181633,0.257223927083333
"2018-01-28",10.4,1.165626,0.185293,0.343874219791667
"2018-01-29",30.2,1.354559,0.5858181,0.9308082625
"2018-01-30",17.4,0.745404,0.317086,0.455224510416667
"2018-01-31",34.3,2.478446,0.537358,1.07086541354167
"2018-02-01",13.8,1.731619,0.501658,0.98232936875
"2018-02-02",7.1,2.008178,0.608386,0.9909995
"2018-02-03",10,1.362523,0.6101589,0.816932972916667
"2018-02-04",3.2,0.8278329,0.449621,0.587967190625
"2018-02-05",0,0.449295,0.296591,0.377994835416667
"2018-02-06",0,0.2972519,0.210187,0.262176794791667
"2018-02-07",24,0.6453199,0.1940591,0.279845317708333
"2018-02-08",71.2,2.435158,0.6244531,1.03668758854167
"2018-02-09",4.9,1.309355,0.4941039,0.78584329375
"2018-02-10",0,0.494185,0.3577731,0.424110108333333
"2018-02-11",18,2.283692,0.3612831,1.24271320833333
"2018-02-12",26.4,2.867885,0.7887859,1.74370767604167
"2018-02-13",7.1,1.655914,0.750926,0.948802175
"2018-02-14",13.2,1.590786,0.824918,1.25219408958333
"2018-02-15",3.7,0.9875469,0.739923,0.8373154875
"2018-02-16",24.9,1.590871,0.672365,0.819991519791667
"2018-02-17",12.1,2.21386,0.820513,1.2255891375
"2018-02-18",0.2,0.8569419,0.731487,0.779410815625
"2018-02-19",0,0.7353671,0.6382141,0.689115823958333
"2018-02-20",0,0.64223,0.5873981,0.6199105125
"2018-02-21",3.3,0.74845,0.5800371,0.616791752083333
"2018-02-22",7.8,0.7199421,0.5609961,0.600390611458333
"2018-02-23",0,0.5807331,0.517648,0.546971957291667
"2018-02-24",0,0.5455821,0.507488,0.533603423958333
"2018-02-25",0,0.5120111,0.483088,0.501273030208333
"2018-02-26",0,0.496088,0.4460511,0.476305761458333
"2018-02-27",0,0.4552419,0.404741,0.434462575
"2018-02-28",0,0.421957,0.3805921,0.402033808333333
"2018-03-01",0.9,1.081835,0.3737819,0.484805460416667
"2018-03-02",0,0.387723,0.3647571,0.373580732291667
"2018-03-03",0,0.374707,0.3520601,0.361785745833333
"2018-03-04",0,0.3788409,0.3543291,0.366899922916667
"2018-03-05",10.8,0.5898299,0.3170011,0.430132373958333
"2018-03-06",0.6,0.402837,0.387804,0.394910905208333
"2018-03-07",1,0.4173939,0.391412,0.4012603375
"2018-03-08",0.6,0.5412021,0.3822761,0.404884255208333
"2018-03-09",1.9,0.452656,0.395467,0.414556163541667
"2018-03-10",0,0.4244661,0.394115,0.406187916666667
"2018-03-11",0,0.407712,0.3813679,0.394291388541667
"2018-03-12",0,0.3985651,0.372472,0.386046344791667
"2018-03-13",0,0.3968439,0.3727829,0.381944921875
"2018-03-14",10.3,0.5151651,0.3403721,0.395300402083333
"2018-03-15",0.1,0.3842101,0.3601091,0.371653565625
"2018-03-16",11.4,0.711838,0.368824,0.543517472916667
"2018-03-17",0,0.514761,0.4247141,0.465110728125
"2018-03-18",0,0.431448,0.402626,0.42106586875
"2018-03-19",2.1,0.813051,0.401792,0.488320304166667
"2018-03-20",0,0.5199289,0.41081,0.460114616666667
"2018-03-21",0,0.4150829,0.3802581,0.400516275
"2018-03-22",0,0.3891401,0.3574221,0.376988642708333
"2018-03-23",0,0.371573,0.3438959,0.353911835416667
"2018-03-24",0,0.3556821,0.3290751,0.341584621875
"2018-03-25",12.8,0.5963311,0.2971871,0.426726019791667
"2018-03-26",0,0.554472,0.4294181,0.474734258333333
"2018-03-27",0,0.4304121,0.3886671,0.408907261458333
"2018-03-28",1.1,0.4168701,0.386761,0.404498277083333
"2018-03-29",2.1,0.536881,0.3853979,0.434566178125
"2018-03-30",3.3,0.6803169,0.3686001,0.454166298958333
"2018-03-31",4.6,0.5571661,0.436986,0.46963499375
"2018-04-01",0,0.4377871,0.389622,0.416287576041667
"2018-04-02",0,0.417311,0.3698521,0.399879622916667
"2018-04-03",0,0.3967421,0.364707,0.378932121875
"2018-04-04",0,0.411063,0.3662071,0.385345842708333
"2018-04-05",0,0.4010561,0.34324,0.373321277083333
"2018-04-06",0,0.388114,0.337666,0.356957542708333
"2018-04-07",0,0.3693521,0.3288391,0.351519294791667
"2018-04-08",0,0.3615131,0.3284171,0.343613707291667
"2018-04-09",0,0.3619931,0.325789,0.345951985416667
"2018-04-10",0,0.358532,0.323266,0.341054491666667
"2018-04-11",0,0.3492379,0.3152289,0.33600138125
"2018-04-12",0,0.3430021,0.3158829,0.332353463541667
"2018-04-13",1,0.343137,0.312273,0.330579707291667
"2018-04-14",0,0.349015,0.3200061,0.336161919791667
"2018-04-15",0,0.3466821,0.316304,0.331079675
"2018-04-16",0,0.3441911,0.3171229,0.332103442708333
"2018-04-17",0,0.343998,0.3125141,0.330912832631579
"2018-04-18",0,0.3400459,0.311718,0.326685077083333
"2018-04-19",0,0.3478551,0.310621,0.326606955208333
"2018-04-20",0,0.348412,0.3096859,0.328810870833333
"2018-04-21",0,0.349607,0.313314,0.330112772916667
"2018-04-22",0,0.3563969,0.3162091,0.33208594375
"2018-04-23",0,0.343545,0.3140221,0.331511577083333
"2018-04-24",3.1,0.384099,0.309835,0.341760552083333
"2018-04-25",0,0.3496351,0.3143361,0.333911360416667
"2018-04-26",0,0.339319,0.311892,0.32780036875
"2018-04-27",0,0.3422379,0.31078,0.326790091666667
"2018-04-28",0,0.5986509,0.3114541,0.354681323958333
"2018-04-29",0,0.4418211,0.3221991,0.349999036458333
"2018-04-30",0,0.3425021,0.315861,0.3299308
"2018-05-01",0,0.3462059,0.3092861,0.325907178125
"2018-05-02",0.6,0.3444781,0.31352,0.330364577083333
"2018-05-03",0,0.3533301,0.314554,0.332323358333333
"2018-05-04",0.9,0.36485,0.316452,0.336581234375
"2018-05-05",0,0.3638501,0.327162,0.347060623958333
"2018-05-06",0.3,0.3534739,0.3180139,0.3377821625
"2018-05-07",0,0.350775,0.322593,0.335094945833333
"2018-05-08",0,0.364418,0.331727,0.349090279166667
