"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax"
"2020-09-01",0,24.74,14.64,40.7685365853659,54.92,28.74,502.019512195122,502.3,502,266.6,"W",35.712,106.254756097561,898
"2020-09-02",0,25.08,7.794,46.3305208333333,76.32,26.36,502.065625,502.3,502,242,"WSW",36.396,250.609739583333,892
"2020-09-03",0,28.35,5.2,43.0494791666667,81.3,9.81,502.114583333333,502.8,502,136.3,"SE",23.8968,265.09,909
"2020-09-04",0,27.06,7.703,44.59625,75.92,23.2,502.075,502.3,502,254.9,"W",29.304,246.0176875,864
"2020-09-05",0,30.73,6.926,40.3357291666667,79.08,12.05,502.134375,502.6,502,208.3,"SSW",20.3868,259.74184375,914
"2020-09-06",0,28.49,8.81,43.0526041666667,71.84,17.75,502.111458333333,502.6,502,102.9,"E",23.0868,245.444583333333,913
"2020-09-07",0,24.81,9.8,45.7222916666667,74.66,28.22,502.054166666667,502.3,502,210.9,"SSW",19.71,161.804708333333,704.6
"2020-09-08",0,28.77,8.6,43.7985416666667,82.1,18.7,502.109375,502.6,502,255.5,"W",27.6768,251.825729166667,916
"2020-09-09",0,29.96,9.95,41.8791666666667,71.62,18.29,502.123958333333,502.8,502,218.3,"SW",25.65,241.957770833333,934
"2020-09-10",0,26.95,10.44,40.0529166666667,71.18,22.7,502.086458333333,502.3,502,14.58,"NNE",29.484,261.201416666667,916
"2020-09-11",0,29.45,8.55,41.415625,74.65,13.14,502.129166666667,502.6,502,54.44,"NE",41.04,266.711604166667,937
"2020-09-12",0,26.01,8.98,45.0598958333333,76.91,23.82,502.084375,502.3,502,42.56,"NE",30.924,247.944479166667,884
"2020-09-13",0,27.03,8.55,43.1144791666667,71.82,23.29,502.086458333333,502.4,502,17.67,"NNE",32.256,245.444677083333,923
"2020-09-14",0,24.5,10.2,45.8920833333333,70.4,27.82,502.030208333333,502.3,502,252.6,"WSW",33.876,171.111020833333,953
"2020-09-15",0,25.06,12.34,49.6492708333333,74.44,28.99,502.058333333333,502.4,502,239.2,"WSW",41.724,237.232145833333,1190
"2020-09-16",0,25.38,13.18,43.7572916666667,67.13,24.75,502.033333333333,502.3,502,20.08,"NNE",27.18,152.504291666667,1017
