"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax"
"2022-01-03",0,15.3,7.52,75.9653125,99,51.83,659.9,661.8,658.3,81.2,"E",34.092,340.14596875,1306
"2022-01-04",1,14.39,5.754,82.305,100,54.2,658.671875,660.1,656.7,76.45,"E",30.492,226.659833333333,1231
"2022-01-05",2,8.45,4.856,95.79375,100,80.9,659.6875,661.4,658.1,218.1,"SW",38.304,98.0856145833333,619.2
"2022-01-06",0.8,10.48,3.159,95.4510416666667,100,82.1,660.338541666667,661.6,659,21.13,"NNE",21.3336,127.103416666667,1354
"2022-01-07",0,13.09,5.624,91.0971875,100,63.71,660.335416666667,661.6,658.8,192.1,"S",26.4024,172.436849462366,1210
"2022-01-08",0.9,11.37,6.189,92.2144791666667,100,77.18,660.825,662,659.1,172.4,"S",26.9064,121.208864583333,1318
"2022-01-09",0.3,12.54,5.583,89.5766666666667,100,72.95,660.545833333333,661.8,658.5,167.4,"S",35.604,243.82890625,1355
"2022-01-10",4.8,11.34,5.007,93.3113541666667,100,76.18,661.016666666667,662.4,659.4,240.5,"WSW",25.9416,124.572322916667,1069
"2022-01-11",2.7,8,5.522,98.65,100,91.9,661.010416666667,662.4,659.4,348.5,"N",45.54,75.9765416666667,862
"2022-01-12",1.5,9.52,4.442,93.9114583333333,100,82.1,661.548958333333,662.9,660.1,46.52,"NE",50.796,126.109989473684,1088
"2022-01-13",0.4,11.86,2.976,84.1159375,100,52.77,661.44375,663.2,659.1,323.8,"NW",46.872,230.345042553191,1343
"2022-01-14",0,10.48,2.654,88.16625,100,63.26,661.132291666667,662.4,659.7,354.5,"N",34.704,177.245284210526,1366
"2022-01-15",0,10.41,2.532,93.2573958333333,100,70.73,661.021875,662.3,659.5,151.3,"SSE",43.2,222.83240625,1296
"2022-01-16",0.3,12.02,5.432,92.2235416666667,100,68.42,659.991666666667,661.7,658.6,167.6,"S",53.964,298.581447916667,1191
"2022-01-17",2.6,9.8,6.462,98.8604166666667,100,88.2,659.188541666667,660.7,657.9,166.8,"S",44.64,211.423302083333,1259
"2022-01-18",9.1,14.05,4.33,89.4077083333333,100,48.11,660.322916666667,662.2,658.8,202.9,"SSW",41.652,157.906541666667,836
"2022-01-19",0.4,12.56,4.351,86.1911458333333,99.6,68.93,661.846875,663.3,660.6,152.4,"SSE",31.392,263.982419354839,1342
"2022-01-20",0.8,13.48,3.492,83.7367708333333,98,67.55,661.535416666667,663,659.7,153.1,"SSE",27.4356,221.258747368421,1341
"2022-01-21",0,11.59,3.118,84.1654166666667,98.9,58.17,659.826041666667,661.3,657.6,169.2,"S",33.732,361.981729166667,1219
"2022-01-22",0.3,12,5.795,92.4653125,100,76.81,658.880208333333,660.1,657.3,159.1,"SSE",35.388,339.721010416667,1262
"2022-01-23",26.2,10.65,4.714,94.06875,100,84.6,659.53125,660.8,658.1,158.2,"SSE",40.428,278.435885416667,1073
"2022-01-24",11.5,9.78,4.17,93.79375,99.5,83.5,660.182291666667,661.8,658.8,166.4,"S",44.604,212.555734042553,1273
"2022-01-25",0,11.26,4.966,91.2086458333333,100,75.71,660.11875,661.3,658.2,151.6,"SSE",35.172,292.5,1360
"2022-01-26",0,13.07,5.946,87.3691666666667,100,65.48,659.76875,661.2,658,150.1,"SSE",31.14,326.445442105263,1281
"2022-01-27",4,11.94,5.432,87.5111458333333,100,62.24,660.316666666667,661.8,658.8,3.139,"N",27.108,142.278145833333,903
"2022-01-28",4.2,8.52,4.462,99.9197916666667,100,97.3,659.311458333333,660.8,657.1,345.4,"N",32.832,95.9688958333333,550.2
"2022-01-29",6,11.69,5.32,96.38125,100,82.3,658.48125,660,656.7,331.6,"NNW",22.7448,154.96815625,987
"2022-01-30",0,13.33,2.997,84.8694791666667,100,39.78,658.510416666667,659.7,656.8,0.096,"N",27.2952,246.243989247312,1314
"2022-01-31",0.7,12.54,3.623,87.365,100,61.95,658.775,660.3,657.4,245.8,"WSW",30.96,253.110760416667,1285
"2022-02-01",5,7.542,4.18,98.6302083333333,100,90.1,659.652083333333,661,658.1,346.7,"N",25.5528,87.7577291666667,604.8
"2022-02-02",0.5,9.43,4.351,96.459375,100,83.8,659.7125,660.9,658.3,237.8,"WSW",22.4388,109.045708333333,478.7
"2022-02-03",0.3,12.58,4.108,91.7128125,100,74.31,659.364583333333,660.8,657.5,166.4,"S",36.576,216.022957446809,1359
"2022-02-04",0.1,12.84,5.856,93.804375,100,73.32,659.032291666667,660.6,657.8,162.2,"SSE",42.948,208.067604166667,1224
"2022-02-05",13.6,11.47,5.522,92.801875,100,67.72,659.44375,661.1,658.1,193.2,"S",45.54,147.803416666667,1052
"2022-02-06",3.6,5.966,1.439,99.8385416666667,100,97.9,661.376041666667,662.6,659.8,328.3,"NNW",28.98,64.50159375,327.4
"2022-02-07",0,8.89,3.299,98.0145833333333,100,92.1,661.341666666667,662.8,659.8,330.7,"NNW",20.9448,111.336270833333,652.9
"2022-02-08",0,10.89,4.795,95.181875,100,77.66,660.464583333333,661.7,658.6,8.27,"N",27.5544,218.91959375,1345
"2022-02-09",0,7.984,3.825,98.6791666666667,100,88.7,659.48125,661,657.7,158.9,"SSE",20.2608,82.1193020833333,707.2
"2022-02-10",0,9.8,2.654,94.9686458333333,100,76.52,658.058333333333,659.3,656.2,162.8,"SSE",33.264,266.458416666667,1352
"2022-02-11",0.1,11.42,4.775,95.946875,100,82.8,658.223958333333,659.8,656.8,153.5,"SSE",43.92,272.078802083333,1146
"2022-02-12",5.2,9.45,3.744,97.1311458333333,100,77.79,660.110416666667,661.8,658.5,170.2,"S",29.304,125.22965625,885
"2022-02-13",0,9.81,3.198,95.34375,100,83.5,660.219791666667,661.7,658.7,144.9,"SSE",21.4488,132.571431578947,927
"2022-02-14",0,12.22,4.228,93.1947916666667,100,73.24,659.9125,661.7,658.4,160.3,"SSE",31.356,216.410531914894,1209
"2022-02-15",4.7,10.51,3.623,96.0802083333333,100,82.9,661.713541666667,663.1,660.4,322.3,"NW",25.5204,157.484,914
"2022-02-16",0.7,13.17,4.814,93.9311458333333,100,68.2,662.264583333333,663.7,660.9,354.6,"N",27.5544,162.794989583333,1202
"2022-02-17",0.1,13.06,3.836,86.7839583333333,98.3,67.98,661.454166666667,663.3,659.3,201.6,"SSW",26.6256,218.009768421053,1293
"2022-02-18",6.2,12.03,5.018,95.3247916666667,100,78.58,659.597916666667,661.3,657.7,333.9,"NNW",25.4844,152.461041666667,1041
"2022-02-19",0,14.79,2.562,91.30875,100,71.11,658.405208333333,659.5,656.9,177.3,"S",29.916,297.638510638298,1347
"2022-02-20",0.3,14.16,5.038,92.1332291666667,100,62.43,658.863541666667,660.6,657.5,164.5,"SSE",43.236,180.590791666667,1325
"2022-02-21",0.8,13.77,5.442,88.3245833333333,100,51.32,659.826041666667,661.7,658.2,145.5,"SSE",34.164,328.306291666667,1247
"2022-02-22",0,11.69,4.886,86.9226041666667,100,66.34,661.045833333333,662.3,659.6,156.7,"SSE",23.274,158.470822916667,753
"2022-02-23",6,11.69,5.906,91.765625,100,81.1,660.585416666667,662.2,659.1,189.1,"S",32.724,179.637666666667,1085
"2022-02-24",0,12.96,5.946,83.0473958333333,94.3,75.77,659.896875,661.5,658.6,209.4,"SSW",33.804,326.54665625,1217
"2022-02-25",6.7,11.76,5.653,91.1804166666667,98.9,71.35,661.98125,663.7,660.4,126.5,"SE",34.632,149.7659375,946
