"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax"
"2018-11-19",0.5,7.611,6.323,93.5074074074074,97.8,83,631.07037037037,632,629.6,213,"SSW",14.832,9.00337037037037,92
"2018-11-20",0.6,15.17,4.818,77.110625,98.1,45.22,630.516666666667,631.9,628.7,77,"E",28.584,260.1548125,1344
"2018-11-21",0,14.83,5.535,81.7797916666667,98.2,49.51,630.508333333333,632,628.5,358,"N",47.124,167.922541666667,1325
"2018-11-22",0,14.69,6.356,65.0680208333333,81,37.31,629.248958333333,631.3,627.3,17,"NNE",53.388,296.085125,1362
"2018-11-23",0.2,12.53,5.736,84.0203125,98.5,63.24,628.93125,630.8,626.9,60,"ENE",48.024,148.292864583333,1049
"2018-11-24",3.5,10.77,4.722,86.2363541666667,98.8,60.46,629.628125,631,628.2,66,"ENE",49.464,124.856947916667,1332
"2018-11-25",0,13.13,4.431,80.2886458333333,96.7,62.82,629.646875,630.9,627.9,53,"NE",38.484,190.388427083333,1283
"2018-11-26",1.8,13.07,4.371,78.2348958333333,97.3,58.95,629.498958333333,630.9,627.5,55,"ENE",48.312,213.887125,1313
"2018-11-27",33.1,10.19,4.432,84.2242708333333,98.1,56.78,629.127083333333,630.6,627.7,51,"NE",58.392,104.799958333333,569.4
"2018-11-28",8.2,11.17,3.582,82.5427083333333,98.5,67.02,629.138541666667,630.2,627.4,57,"ENE",35.136,216.489864583333,1274
"2018-11-29",17.1,10.91,4.042,87.4454166666667,98,71.7,629.155208333333,630.7,627.7,38,"NE",27.216,148.661875,856
"2018-11-30",1.5,15.02,5.543,64.475,97.7,29.17,628.603125,630.2,626.7,59,"ENE",34.38,341.859270833333,1195
"2018-12-01",13.5,12.08,4.429,78.2219791666667,96.9,59.74,628.963541666667,630.5,626.8,43,"NE",44.64,257.807125,1288
"2018-12-02",20.8,6.263,3.519,94.5428125,98.9,77.16,629.625,630.9,628.3,222,"SW",41.58,83.8121145833333,328.7
"2018-12-03",0,14.95,3.711,75.3566666666667,97.8,47.22,628.321875,629.6,626.2,17,"NNE",40.5,348.638229166667,1612
"2018-12-04",0,15.59,3.515,57.1407291666667,98.1,24.16,627.525,629,625.8,28,"NNE",25.848,377.783166666667,1169
"2018-12-05",0,12.93,5.021,65.5294791666667,84.9,42.76,628.5125,630.7,627.2,50,"NE",45.684,294.851760416667,1312
"2018-12-06",0,11.62,4.105,82.0526041666667,96.6,67.23,631.069791666667,633,629.6,62,"ENE",52.92,156.70815625,1186
"2018-12-07",0,12.34,4.758,75.366875,97.8,56.69,632.74375,634.2,631.1,86,"E",60.192,188.752375,1230
"2018-12-08",0,14.31,4.889,69.0784375,96.9,17.62,632.5,633.8,630.8,3,"N",31.32,233.8104375,1311
