"date","prcp","tx","tn","HRmean","HRmax","HRmin","presionMean","presionMax","presionMin","dir","dir123","vel","radMean","radMax"
2022-03-01,2.2,14.51,5.067,81.8228125,95.5,59.39,646.544791666667,648.2,644.7,96.2,"E",29.268,132.228364583333,1330
2022-03-02,0,15.66,4.068,82.1453125,99.5,52.22,645.909375,647.2,643.6,223.2,"SW",25.632,355.13534375,1233
2022-03-03,11.8,14.52,6.39,88.5825,96.6,59.45,645.7875,647.6,643.7,228.7,"SW",17.4276,140.69384375,1353
2022-03-04,0,16.95,5.128,80.2586458333333,99.2,47.81,645.283333333333,646.6,643.6,107.9,"ESE",25.488,243.679791666667,1304
2022-03-05,0,16.32,4.906,75.8854166666667,97.3,49.58,644.855208333333,646.5,642.8,75.87,"E",23.3136,277.58428125,1451
2022-03-06,0,16.58,5.108,81.0189583333333,98.4,52.18,644.257291666667,645.5,642.2,102.1,"E",27.3168,240.098552083333,1317
2022-03-07,0,16.95,4.775,81.0329166666667,96.7,43.38,643.854166666667,645.3,642.2,225.7,"SW",26.5248,278.08696875,1175
2022-03-08,0,14.81,5.32,76.8647916666667,97,47.91,644.915625,646.4,642.9,103.6,"E",29.808,275.6746875,1383
2022-03-09,0.2,14.13,3.804,85.7952083333333,98.7,55.76,644.753125,645.9,643.4,255.2,"W",23.9364,210.162833333333,1332
2022-03-10,1.6,13.06,3.461,86.1810416666667,98,58.29,644.380208333333,645.5,642.5,200.8,"SSW",20.8908,172.226375,1203
2022-03-11,11.8,11.76,5.491,93.1440625,99.1,73.63,644.609375,645.8,643,212.3,"SSW",16.686,99.8332395833333,804
2022-03-12,10.8,10.65,5.078,96.1760416666667,100,85.5,644.742708333333,645.8,643.7,256.2,"W",21.0636,137.486677083333,1252
2022-03-13,1.8,13.43,4.047,93.774375,100,71.48,645.078125,646.2,643.7,257.8,"W",23.7888,213.044385416667,1451
2022-03-14,10.4,11.14,4.826,93.7653125,100,78.79,645.271875,646.6,644.3,275.6,"W",22.0104,133.477697916667,778.9
2022-03-15,18.2,7.965,2.674,92.0822916666667,99.8,82.3,646.252083333333,647.9,644.9,91.6,"E",17.4564,105.853114583333,683.1
2022-03-16,0.6,11.42,4.18,87.6316666666667,98.4,69.22,645.328125,646.8,643.6,254,"WSW",24.156,219.493583333333,1279
2022-03-17,0.2,15.91,2.562,83.0239583333333,100,49.55,644.70625,645.9,642.9,309.8,"NW",21.0924,286.945,1309
2022-03-18,19,15.34,4.31,84.1617708333333,98.7,57.54,645.976041666667,647.7,644.4,253,"WSW",25.002,259.770260416667,1034
2022-03-19,12.8,13.3,4.775,90.4858333333333,97.9,65.35,647.089583333333,648.1,645.9,66.75,"ENE",17.352,132.974083333333,1343
2022-03-20,17.4,10.83,5.906,94.8669791666667,100,77.65,646.679166666667,647.8,645.1,343.5,"NNW",16.3188,109.87771875,523.6
2022-03-21,0.2,15.35,5.32,86.5515625,100,59.89,645.577083333333,647.1,643.7,206.4,"SSW",24.5664,278.543541666667,1304
2022-03-22,0,15.28,7.036,86.1742708333333,100,63.26,644.940625,646.2,643.1,241,"WSW",25.2432,338.019260416667,1218
2022-03-23,0,16.36,4.37,81.0538541666667,99.9,49.36,644.432291666667,645.9,642.1,255.8,"W",21.2256,342.234666666667,1188
2022-03-24,5.8,15.16,6.29,90.279375,100,55.45,644.55,645.9,643.2,119.2,"ESE",23.5008,125.4770625,950
2022-03-25,0.4,14.92,6.794,89.0027083333333,98.9,63.96,644.9625,646.4,643.3,245.5,"WSW",21.4848,234.53040625,1315
2022-03-26,8.8,10.83,6.733,95.93375,100,76.26,644.99375,646.5,643.7,301.8,"WNW",19.1988,112.77115625,723.3
2022-03-27,0.8,14.65,6.471,80.7914583333333,99,56.89,646.267708333333,648,644.8,104,"E",23.9616,194.9871875,1527
2022-03-28,0,15.84,4.472,81.5526041666667,98.7,57.8,647.329166666667,649.1,645.6,333.4,"NNW",18.2268,166.894541666667,1224
2022-03-29,0,17.44,2.916,74.3646875,99.5,20.65,645.671875,647.4,643.5,280.8,"W",21.6396,338.377427083333,1125
2022-03-30,0,16.63,5.462,78.0358333333333,97,47.86,644.614583333333,645.8,642.8,90.5,"E",23.0256,274.941260416667,1446
2022-03-31,4.2,13.75,4.552,88.9146875,100,68.04,644.766666666667,646,643.7,257.3,"W",22.0392,145.612729166667,880
2022-04-01,0,14,4.432,88.8344791666667,100,64.08,645.59375,646.8,644.4,220.5,"SW",23.6124,265.737083333333,1198
2022-04-02,1,13.79,4.25,84.4921875,100,58.71,645.532291666667,646.5,644.2,252.2,"WSW",21.438,285.861885416667,1231
2022-04-04,0,15.4,3.482,80.9748958333333,99.1,56.26,645.959375,647.1,644.7,277.5,"W",23.8716,259.292625,1309
2022-04-05,0.2,15.56,3.32,83.636875,99.3,60.15,646.855208333333,648.1,645.2,248.8,"WSW",23.6628,317.143729166667,1163
2022-04-06,0,15,4.724,84.811875,99.8,56.03,646.697916666667,647.9,645.2,276.6,"W",25.83,275.100510416667,1221
2022-04-07,0,14.13,5.219,86.0115625,99.2,62.97,645.948958333333,647,644,267.7,"W",23.202,193.56821875,1299
2022-04-08,0,14.01,5.088,85.6096875,100,60.98,646.257291666667,647.5,644.8,243.6,"WSW",26.73,227.013739583333,1317
2022-04-09,0,14.77,4.462,85.8141666666667,96.6,58.69,646.386458333333,648.3,644.7,243,"WSW",22.0428,256.840927083333,1294
2022-04-10,0.4,15.4,2.471,83.3791666666667,100,54.03,644.7125,646.4,642.8,245.9,"WSW",24.0444,273.3799375,1160
2022-04-11,0.2,16.8,3.936,82.4460416666667,100,49.49,643.830208333333,645.1,642.1,233.9,"SW",23.1444,257.124885416667,1276
2022-04-12,0,17.81,1.328,75.551875,100,13.53,644.164583333333,645.6,642.6,241.5,"WSW",23.6016,299.904510416667,1056
2022-04-13,0,15.85,-0.988,65.4272916666667,94.2,19.15,645.041666666667,646.6,643.5,262.7,"W",23.76,310.299145833333,1067
2022-04-14,0,14.58,2.896,84.42125,99.6,50.6,645.748958333333,647.1,643.9,281.2,"W",24.192,284.511604166667,1135
2022-04-15,0,16.24,2.532,78.3627083333333,100,30.79,645.126041666667,646.5,643.3,331.9,"NNW",23.544,298.51328125,1041
2022-04-16,0,16.56,0.884,72.1983333333333,97.2,36.74,644.459375,645.8,642.9,254.1,"WSW",24.6708,303.81246875,1061
2022-04-17,0,15.79,-1.96,74.009375,98.9,23.65,644.758333333333,646.2,642.9,255.6,"W",25.5204,289.102645833333,1130
2022-04-18,0,15.4,-0.178,74.611875,99,29.37,645.404166666667,646.7,643.8,263.7,"W",23.6124,296.631302083333,1041
2022-04-19,0,16.69,-1.372,69.9310416666667,98,21.58,645.4125,646.5,643.9,267.4,"W",23.7132,298.457802083333,1023
2022-04-20,0,14.49,-1.413,75.6005208333333,100,33.79,645.927083333333,647.1,644.4,262.5,"W",26.2476,297.11265625,1039
2022-04-21,0,18.41,-1.859,46.5795833333333,70.58,8.59,645.827083333333,647.2,644.1,223.5,"SW",22.2012,296.434208333333,1033
2022-04-22,0,18.63,-1.392,50.0436458333333,89.1,18.07,644.296875,646.2,642.2,295,"WNW",27.1584,277.241239583333,1001
2022-04-23,0,16.18,-0.502,63.2528125,96.6,17.06,644.460416666667,645.6,643.1,298.4,"WNW",23.7096,282.941770833333,1003
2022-04-24,0,15.92,-0.088,78.9430208333333,100,36.96,645.36875,646.5,644.1,244.7,"WSW",25.8732,271.854020833333,1066
2022-04-25,0,15.35,1.056,80.4439583333333,99.7,40.59,646.114583333333,647.4,644.7,273.4,"W",25.8912,263.26825,1135
2022-04-26,0,17.63,-1.454,67.6647916666667,100,17.86,645.748958333333,647.4,644.2,240.2,"WSW",23.2848,287.022354166667,995
2022-04-27,0,20.01,-1.666,60.610125,91.9,7.882,645.358333333333,646.7,643.4,95.2,"E",27.2232,286.716583333333,1008
2022-04-28,0,18.19,-0.624,73.0129166666667,99.4,27.53,646.4125,648.1,645.2,244.5,"WSW",25.1892,245.185645833333,996
2022-04-29,0,13.63,5.926,86.2611458333333,96.7,59.1,647.746875,649.3,646.2,318.3,"NW",20.2932,87.7274166666667,505.7
2022-04-30,0,13.26,3.38,84.2286458333333,97.3,61.51,646.161458333333,648.2,643.9,291.2,"WNW",23.7852,270.133333333333,976
2022-05-01,0,15.7,0.813,81.6927083333333,97.8,42.03,644.988541666667,646,643.3,266.7,"W",27.2196,259.16096875,1006
2022-05-02,0,13.93,0.59,79.1340625,95.4,42.88,644.932291666667,646.2,643.3,274,"W",25.7652,272.283052083333,966
2022-05-03,0,14.01,1.864,85.4954166666667,98.5,55.52,645.773958333333,647.1,644.6,251.1,"WSW",20.9448,212.314083333333,1142
2022-05-04,0,15.51,1.744,77.57125,94.9,38.48,646.542708333333,648,644.9,258.7,"W",24.2064,274.681875,1092
2022-05-05,0,17.68,-1.879,57.7580208333333,93.1,11.72,647.014583333333,648.2,645.8,308.4,"NW",22.554,274.77084375,975
2022-05-06,0,15.12,-2.648,65.5171875,88.7,33.13,646.935416666667,648.3,645.6,271.5,"W",24.714,271.84253125,960
2022-05-07,0,12.86,-2.162,78.8004166666667,94.2,48.88,646.675,648.1,644.7,279.5,"W",23.6448,268.03253125,961
