"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax"
"2018-09-12",0,19.69,10.59,59.27375,72.72,41.77,797.1125,799,794.1,43,"NE",18.936,0.201291666666667,4.31
"2018-09-13",0,26.81,6.764,55.9789583333333,90.6,23.81,796.092708333333,799.5,791.3,18,"NNE",29.556,281.07528125,964
"2018-09-14",0,28.37,8.56,52.2091666666667,88.1,20.66,795.766666666667,800,789.4,59,"ENE",29.664,283.646364583333,991
"2018-09-15",0,28.64,11.01,53.0984375,85.3,17,794.338541666667,798.8,788.3,55,"ENE",28.584,287.586229166667,984
"2018-09-16",0,28.02,10.81,51.440625,79.24,22.93,794.016666666667,799.8,788.3,45,"NE",39.06,270.431364583333,1078
"2018-09-17",0,29.53,11.17,51.8155208333333,86.4,10.03,796.494791666667,799.7,791.2,46,"NE",33.696,278.228510416667,1286
"2018-09-18",0,30.44,10,45.23015625,91.4,2.447,795.592708333333,799.6,789.2,11,"N",21.168,262.863666666667,1055
"2018-09-19",0,33.44,4.562,41.6051875,75.75,4.536,795.113541666667,798.9,789.5,25,"NNE",28.8,280.645302083333,1039
"2018-09-20",0,29.44,7.585,53.0209375,87.2,22.41,797.15,801,792.5,341,"NNW",28.8,291.28440625,1009
"2018-09-21",0,28.58,11.66,52.3735416666667,83.6,24.52,797.485416666667,801,793.9,343,"NNW",29.376,282.099510416667,1012
"2018-09-22",0,28.54,9.82,51.7554166666667,80.1,18.84,796.766666666667,801,792.7,337,"NNW",35.028,249.778354166667,1007
"2018-09-23",0,29.54,7.842,49.1802083333333,84.3,18.47,795.401041666667,799.1,790.8,338,"NNW",32.436,301.360302083333,1011
"2018-09-24",0,26.74,9.46,53.9772916666667,85.3,25.1,797.073958333333,800,794.4,333,"NNW",40.824,188.21771875,1326
"2018-09-25",0,29.18,6.805,51.125625,88.6,19.81,796.388541666667,801,791.8,339,"NNW",31.248,271.876041666667,1063
