"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax"
"2018-09-14",1.1,29.51,19,42.6602325581395,61.21,27.98,831.511627906977,836,828,42,"NE",32.436,212.713953488372,881
"2018-09-15",0,29.37,17.39,49.4954166666667,69.13,26.5,832.833333333333,837,828,40,"NE",36.072,281.746697916667,961
"2018-09-16",0.5,31.09,16.06,50.9040625,85.7,22.56,832.739583333333,837,828,68,"ENE",43.308,250.6644375,999
"2018-09-17",0,28.75,16.77,57.3008333333333,84.3,29.59,835.322916666667,838,831,24,"NNE",42.228,279.829385416667,1087
"2018-09-18",0,32.92,14.55,45.3459375,77.98,12.17,833.6875,837,829,338,"NNW",27.9,266.88428125,1095
"2018-09-19",0,35.38,12.2,36.4642708333333,58.07,9.26,833.03125,836,828,350,"N",35.892,302.4535,1031
"2018-09-20",0,31.94,15.47,46.2280208333333,65.87,24.97,835.677083333333,839,831,42,"NE",32.76,291.029177083333,983
"2018-09-21",0,32.26,18.23,45.6360416666667,69.85,22.38,835.583333333333,838,832,321,"NW",44.208,293.26828125,1018
"2018-09-22",0,33.98,17.05,43.0184375,65.03,14.87,834.677083333333,838,830,317,"NW",33.66,281.66953125,984
"2018-09-23",0,34.24,16.17,41.8653125,62.96,14.64,833.6875,837,829,328,"NNW",36.792,298.810145833333,995
"2018-09-24",0,32.74,16.99,41.5660416666667,63.86,18.98,834.947916666667,838,832,299,"WNW",42.804,271.589489583333,1082
"2018-09-25",0,32.06,15.93,40.6261458333333,58.79,22.76,834.427083333333,838,830,312,"NW",33.084,300.972447916667,1182
"2018-09-26",0,34.27,16.66,42.8523958333333,59.95,13.25,833.552083333333,837,829,353,"N",38.052,299.215947916667,1092
"2018-09-27",0,32.53,19.81,45.7829166666667,61.75,21.99,835.104166666667,838,831,19,"NNE",41.184,266.726625,1038
"2018-09-28",0,32.29,18.23,44.5415625,69.08,24.97,835.645833333333,838,831,137,"SE",37.368,237.924760416667,1051
"2018-09-29",0,33.4,15.42,41.7273958333333,63.66,17.1,832.947916666667,837,828,346,"N",38.232,295.052208333333,1009
"2018-09-30",0,35.03,15.15,41.9165625,61.76,9.19,832.125,835,829,37,"NE",29.088,312.97521875,1031
"2018-10-01",0,36.08,15.47,41.8373958333333,63.36,8.1,834.03125,837,830,345,"N",40.284,318.479375,1032
"2018-10-02",0,33.93,17.71,43.5428125,67.12,20.48,834.697916666667,839,830,42,"NE",37.548,297.23896875,1014
"2018-10-03",0,30.09,19.35,48.8401041666667,65.53,28.28,835.75,838,832,336,"NNW",31.176,222.147364583333,1137
"2018-10-04",0,26.62,17.64,57.02125,70.64,40.36,838.947916666667,842,836,37,"NE",40.14,219.986322916667,1313
"2018-10-05",0,26.37,16.89,56.16875,69.87,39.44,839.447916666667,842,836,58,"ENE",32.22,228.5908125,1054
"2018-10-06",0,30.83,15.28,51.4798958333333,74.77,27.12,835.822916666667,840,830,91,"E",33.912,283.217489583333,1008
"2018-10-07",0.1,32.83,17.99,48.80875,78.72,18.4,834.46875,838,829,53,"NE",28.008,241.705989583333,1137
"2018-10-08",0,35.42,17.99,43.140625,62.57,11.62,832.989583333333,836,828,319,"NW",31.248,304.812125,1059
"2018-10-09",0,32.54,17.49,46.924375,65.76,24.9,833.354166666667,836,830,21,"NNE",35.496,256.771447916667,1139
"2018-10-10",0,29.62,18.04,52.1145833333333,65.29,35.54,835.708333333333,839,833,357,"N",35.1,222.325916666667,1100
"2018-10-11",1.3,24.57,17.84,68.4261458333333,90.7,46.34,837.177083333333,841,834,57,"ENE",19.476,149.678864583333,936
"2018-10-12",0,33.32,14.72,51.759375,87,22.04,834.072916666667,837,830,306,"NW",35.928,314.7165625,1027
"2018-10-13",0,28.57,16.86,49.6213541666667,69.2,28.3,835.989583333333,839,833,32,"NNE",34.128,195.14984375,1013
"2018-10-14",0,34.71,16.65,47.9579166666667,74.54,17.75,834.4375,838,829,346,"N",35.1,317.641510416667,1043
"2018-10-15",0,30.54,17.77,49.7685416666667,68.16,28.82,834.229166666667,838,829,32,"NNE",25.92,213.942333333333,1119
"2018-10-16",0,34.77,16.01,48.5857291666667,71.81,20.87,831.197916666667,835,827,341,"NNW",35.676,316.691364583333,1049
"2018-10-17",0,32.64,18.36,48.3058333333333,67.84,27.32,832.541666666667,835,830,3,"N",33.408,262.300854166667,1050
"2018-10-18",0,34.57,18.13,44.525,71.79,17.54,834.15625,837,831,81,"E",31.644,315.997427083333,1086
"2018-10-19",0.6,26.16,17.06,62.5139583333333,92.8,43.49,837.072916666667,840,834,38,"NE",39.888,103.520510416667,481.1
"2018-10-20",0,24.96,16.27,65.8720833333333,92.9,39.03,837.708333333333,840,835,333,"NNW",28.872,144.287604166667,649.4
"2018-10-21",0,30.44,16.86,49.510625,73.44,25.49,835.854166666667,839,831,40,"NE",37.728,342.787927083333,1168
"2018-10-22",0,31.66,16.39,49.40875,70.88,26.61,834.427083333333,838,829,49,"NE",35.928,323.224270833333,1094
"2018-10-23",17.8,31.38,16.49,56.083125,91.7,27.89,834.322916666667,839,831,291,"WNW",34.632,230.744072916667,1159
"2018-10-24",7,26.28,16.19,74.4685416666667,96.2,49.92,836.385416666667,839,832,293,"WNW",24.444,212.93459375,1336
"2018-10-25",0.2,26.73,16.89,65.0642708333333,89.1,44.02,835.28125,838,832,44,"NE",26.784,210.448427083333,1510
"2018-10-26",0,28.96,17.63,58.6588541666667,84.1,39.97,835.145833333333,838,832,31,"NNE",24.732,266.518114583333,1407
"2018-10-27",9.7,24.9,16.67,73.6523958333333,96.2,53.04,836.416666666667,840,833,50,"NE",22.5,190.821333333333,1247
"2018-10-28",0,29.95,16.84,63.035,87.8,34.89,834.770833333333,837,831,37,"NE",31.752,274.65503125,1081
"2018-10-29",0,32.7,18.67,54.4307291666667,82.2,27.53,833.260416666667,836,828,320,"NW",31.248,336.652958333333,1071
"2018-10-30",0,34.65,17.65,52.0957291666667,82.2,24.35,833.291666666667,836,830,50,"NE",38.232,305.262125,1074
