"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax","evap"
"2019-02-15",0,21.42,14.02,69.8281818181818,90.4,47.55,729.787878787879,732.1,727.9,311,"NW",19.224,69.0848181818182,458.5,79.5854545454545
"2019-02-16",12.3,24.38,11.46,72.7746875,96.8,12.99,730.276041666667,732.7,726.7,49,"NE",33.984,224.136489583333,1293,88.4645833333333
"2019-02-17",0.4,25.83,13.09,68.4835416666667,88.7,37.09,729.105208333333,731.2,726,291,"WNW",20.484,256.347291666667,1277,86.703125
"2019-02-18",1.3,27.42,13.14,62.0260416666667,93.7,28.44,728.190625,730.3,724.4,77,"E",30.096,283.981895833333,1098,83.8010416666667
"2019-02-19",10.8,26.34,12.61,59.8061458333333,94.4,11.17,729.142708333333,732.2,726.1,85,"E",26.46,276.614947916667,1183,80.76375
"2019-02-20",26.5,22.37,9.77,75.2694791666667,97,45.97,731.009375,733.2,727.9,304,"WNW",23.94,225.768114583333,1219,107.9875
"2019-02-21",4.6,24.16,11.37,61.7548958333333,92.3,35.09,730.73125,732.8,728.2,28,"NNE",24.84,253.546833333333,1493,110.78125
"2019-02-22",0,25.88,12.83,46.861875,72.36,22.28,730.745833333333,733.1,728,156,"SSE",17.1,316.302989583333,1170,107.3375
"2019-02-23",0,26.01,13.58,44.9352083333333,75.2,19.56,728.460416666667,731.3,724.3,11,"N",23.904,333.325041666667,1121,102.211458333333
"2019-02-24",5,27.03,11.28,52.0509375,88.1,25.62,726.234375,730.9,723.1,123,"ESE",48.564,256.35496875,1163,97.5958333333333
"2019-02-25",2.2,26.77,9.91,58.9032291666667,84.9,28.22,726.823958333333,728.8,723.3,31,"NNE",28.8,313.420166666667,1079,97.975
"2019-02-26",10.5,23.27,11.05,67.8669791666667,94.5,21.16,728.519791666667,731.2,725.3,312,"NW",35.208,236.352416666667,1285,99.34375
"2019-02-27",0.6,24.02,10.85,69.9170833333333,95.3,37.48,729.160416666667,730.9,726.1,201,"SSW",26.1,218.578,1214,102.684375
"2019-02-28",5.3,22.93,12.22,63.11125,86.2,23.45,730.351041666667,732.3,727.9,41,"NE",21.924,225.624260416667,1203,101.602083333333
"2019-03-01",0,24.94,13.14,60.2688541666667,85.8,31.11,729.340625,731.1,726.7,312,"NW",19.872,269.922416666667,1152,101.336458333333
"2019-03-02",0,27.26,13.56,56.0576041666667,74.46,27.09,729.24375,731.2,726.9,43,"NE",26.568,263.379635416667,1102,96.8770833333333
"2019-03-03",1.3,22.41,12.2,69.6794791666667,92.7,40.7,730.380208333333,733.3,727.6,43,"NE",23.04,153.244416666667,1283,94.259375
"2019-03-04",0,27.59,11.54,51.3448958333333,81.2,24.46,728.261458333333,729.9,725.1,22,"NNE",24.912,311.12003125,1159,91.4427083333333
"2019-03-05",0,24.15,13.19,51.9157291666667,71.11,31.05,729.959375,732.6,727.7,50,"NE",19.044,199.221864583333,938,86.884375
"2019-03-06",1.8,24.69,14.06,59.9814583333333,90.4,36.83,730.78125,734.1,728.1,246,"WSW",21.636,223.345552083333,1181,84.7072916666667
"2019-03-07",0,27.9,12.03,48.0658333333333,74.2,25.54,728.445833333333,730.5,725.5,40,"NE",28.764,298.197291666667,1151,81.2472916666667
"2019-03-08",0,27.87,13.84,43.0269791666667,65.56,21.61,728.121875,730.3,725.7,49,"NE",34.344,320.864083333333,1255,76.0695833333333
"2019-03-09",3,19.82,11.57,66.4022916666667,91.9,36.91,731.461458333333,734.4,729.4,331,"NNW",45.216,103.576333333333,675.7,73.8970833333333
"2019-03-10",0,24.7,12.79,61.5282291666667,84.4,28.2,731.11875,733.8,727.5,110,"ESE",19.044,259.74559375,1260,72.6273958333333
"2019-03-11",0,27.7,12.73,55.006875,79.75,25.84,728.673958333333,730.9,725.7,341,"NNW",19.188,274.4370625,1103,68.1933333333333
"2019-03-12",0.1,26.37,12.16,49.3210416666667,76.41,23.86,727.8375,729.5,725.3,338,"NNW",29.196,286.745447916667,1202,157.790520833333
"2019-03-13",1.6,25.8,13.53,54.8958333333333,75.61,29.65,728.5125,730.3,726.2,52,"NE",33.264,221.113052083333,1363,231.152083333333
"2019-03-14",0,25.81,11.95,50.7101041666667,72.8,28.11,728.842708333333,730.9,725.8,204,"SSW",24.66,208.293,1293,228.589583333333
"2019-03-15",1.6,25.13,11.53,61.5359375,92.4,27.62,728.829166666667,731.2,725.9,33,"NNE",21.276,218.275270833333,1078,226.225
"2019-03-16",0,23.89,12.63,53.4173958333333,70.92,35.71,728.3,730.2,725.9,279,"W",18.576,221.89109375,1270,223.082291666667
