"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","DIR","vel","radMean","radMax"
"2022-12-28",0,16.9,16.9,78.7,78.7,78.7,779.6,779.6,779.6,104.9,"ESE",16.21,0.5,0.5
"2022-12-29",0,17.5,14.3,73.109375,88.3,63.1,780.182291666667,781.8,778.6,158.8,"SSE",35.91,98.190625,548.9
"2022-12-30",0,27.2,12.2,57.971875,81.5,37.3,778.323958333333,781.3,774.6,64.4,"ENE",39.08,248.289583333333,1098.7
"2022-12-31",0,27.7,13.2,60.6979166666667,80.3,36.9,777.710416666667,779.6,774,47.8,"NE",42.31,238.567708333333,1087.2
"2023-01-01",0,31.5,15.9,59.7177083333333,79.8,27.5,775.998958333333,778.2,772.3,71,"ENE",40.41,224.972916666667,1072
"2023-01-02",51.4,17.2,13.3,96.18125,100,78,777.175,779.2,775.5,187.2,"S",23.12,24.3510416666667,136.2
"2023-01-03",0.8,25.2,13.2,84.4237113402062,100,54.3,774.962886597938,777,771.6,73.8,"ENE",31.49,188.851546391753,881.8
"2023-01-04",32.8,17.9,9.8,83.7072916666667,100,54.5,779.253125,781.5,775.8,146.1,"SSE",46.61,109.384375,494.6
"2023-01-05",0,24.4,10.8,59.2364583333333,88,34.5,779.561458333333,781.1,777.2,92.5,"E",36.81,307.935416666667,1102
"2023-01-06",0,25.6,11.5,50.3135416666667,70.4,23.5,779.690625,781.4,776.9,79.9,"E",40.19,318.758333333333,1113.9
"2023-01-07",0,27.5,13.5,53.3625,75.3,33.3,779.94375,781.7,776.9,61.8,"ENE",39.27,284.996875,1191.1
"2023-01-08",0,25.1,15.6,65.6552083333333,77.9,45.9,779.933333333333,782,777,80.9,"E",35.09,184.5375,1210.5
"2023-01-09",3,23.7,13.5,77.4083333333333,99.3,52.5,778.45,780.5,775.5,79.8,"E",34.66,181.182291666667,1153.6
"2023-01-10",0,26.8,13.6,74.4336,89.4,44.7,777.4448,779.2,774.4,64.7,"ENE",34.79,191.1128,1159.5
"2023-01-11",0,30.3,13.1,59.1357142857143,71.5,34.9,776.804285714286,778.4,774.5,58.2,"ENE",41.2,197.014285714286,1208.9
"2023-01-12",0,29.6,16.1,52.4164179104478,78.9,34.2,775.338805970149,779.7,771.7,81.4,"E",43.7,476.583582089552,1221.1
"2023-01-14",0,17.7,11.8,78.8617283950617,91.4,60.3,778.297530864197,779.6,776.8,86.6,"E",16.87,168.59012345679,486
"2023-01-15",0,27,14.1,54.1856115107914,89.1,35.6,778.584172661871,780.1,775.4,82.8,"E",36.33,659.126618705036,1150.8
"2023-01-16",0,27.5,17.3,46.2223880597015,78.8,27.2,777.482089552239,780.3,774.5,104.5,"E",33.99,519.701492537313,1213
"2023-01-17",0,28.6,8.8,55.9240963855422,80.6,29.9,778.356626506024,780.3,775.1,85.5,"E",36.95,378.921686746988,1170.8
"2023-01-18",0,27.5,8.1,54.5301369863014,89.4,26.3,779.705479452055,781.8,776.8,131,"SE",44.87,349.164383561644,1032.9
"2023-01-25",0,28.4,19.1,65.5898305084746,81,39.3,774.489830508475,777.3,771.4,54.9,"ENE",28.37,324.745762711864,888.7
"2023-01-26",0,28.9,18.8,52.0875,79.8,38.7,774.052083333333,777.9,771.3,94.7,"E",38.76,452.554166666667,1133
"2023-01-27",1,28.6,16.8,69.7222222222222,92.5,36.9,776.28,778.2,773,56.8,"ENE",30.27,360.124444444444,1146.8
"2023-01-28",0,26.4,18.2,53.3857142857143,80.6,37.7,777.194642857143,779.2,775.4,76.6,"E",51.68,383.635714285714,1124.3
"2023-01-30",0,20.7,18.2,80.3642857142857,82.6,71.1,773.057142857143,773.7,772.2,357.7,"N",16.1,7.33571428571429,68.2
"2023-02-01",0,24.7,15.3,58.8611111111111,95.4,43.8,777.196296296296,780,774.4,91.4,"E",33.54,602.048148148148,1083.6
