"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax"
"2019-12-09",0,22.64,14.63,64.8277358490566,82.4,49.22,754.698113207547,756.7,752.8,94,"E",21.564,201.545924528302,977
"2019-12-10",3.6,22.94,12.27,78.3563541666667,97.2,51.77,755.292708333333,756.9,752.8,334,"NNW",28.584,220.51234375,1647
"2019-12-11",6.2,21.63,11.06,80.9689583333333,97.6,52.45,754.880208333333,757.1,751.4,30,"NNE",36.756,181.983635416667,1097
"2019-12-12",13.2,28.4,9.58,80.30375,98,32.81,754.289583333333,758.1,751.7,134,"SE",53.28,240.72209375,1340
"2019-12-13",0.5,23.05,9.45,74.4144791666667,98.9,41.48,757.141666666667,758.9,754.7,0,"N",33.948,293.281125,1379
"2019-12-14",0,23.39,5.921,67.29875,98.9,39.71,756.071875,758,753.1,12,"N",42.012,374.863916666667,1235
"2019-12-15",3.9,22.44,11.22,66.5230208333333,95.9,46.89,754.491666666667,757.5,751.4,39,"NE",57.78,311.909927083333,1102
"2019-12-16",0,23.67,12.2,62.0313541666667,84.8,33.4,753.378125,755.8,750,4,"N",45.252,280.962604166667,1219
"2019-12-17",3.7,18.26,12.12,84.1371875,97.7,59.46,754.979166666667,756.6,753.6,160,"SSE",25.308,141.7858125,1284
"2019-12-18",0.3,22.07,11.55,75.5009375,95.6,50.87,755.521875,757.4,753.3,19,"NNE",31.716,223.012291666667,1179
"2019-12-19",0,21.25,8.59,70.1640625,97,50.47,755.20625,757.1,752.5,19,"NNE",48.636,311.511635416667,1145
"2019-12-20",0,22.17,13.25,63.9470833333333,77.37,50.86,753.691666666667,755.6,750.5,6,"N",59.616,301.53353125,1127
"2019-12-21",16.2,23.15,10.79,69.02125,94.3,43.23,755.377083333333,757.1,752.8,334,"NNW",45.468,144.438010416667,1060
"2019-12-22",0,19.92,12.21,80.4315625,96.8,57.38,756.734375,758.8,754.8,13,"N",26.64,154.572447916667,896
"2019-12-23",1.6,19.11,10.44,86.675,97.8,64.74,758.208333333333,759.4,756.5,140,"SE",18.072,136.996,594.2
