"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax"
"2021-10-01",0,26.4,26.4,25.15,25.15,25.15,616.6325,747.161,486.104,327,"NNW",0.036,27.4335,54.86
"2021-10-15",2.8,14.41,3.381,72.3111578947368,90.1,49.75,648.654666083916,650.3647,646.5159,336,"NNW",35.172,1624.40748251748,3777
"2021-10-16",0.2,15.1,5.418,80.1587847222222,97.3,40.9,649.148825694444,650.9867,646.7266,324,"NW",39.42,274.292940972222,1385
"2021-10-17",0,16.91,4.331,74.6818055555556,97.3,20.85,648.869696527778,650.7141,646.4223,337,"NNW",48.024,315.735548611111,1304
"2021-10-18",0,12.45,2.392,76.365,92.8,51.9,648.986513194444,650.5944,647.2014,328,"NNW",40.644,333.326076388889,1170
"2021-10-19",0,14.02,5.178,81.8501736111111,96.9,48.85,649.436561805556,650.8285,647.2887,7,"N",46.008,310.815631944444,1350
"2021-10-20",0.2,18.43,3.41,63.5919097222222,98.2,10.12,649.563188541667,651.1893,647.5115,357,"N",35.748,336.540659722222,1233
"2021-10-21",0,19.35,2.734,52.5959166666667,93,6.973,649.208702430556,650.469,647.3951,323,"NW",42.66,301.893597222222,1241
"2021-10-22",0,18.44,2.112,67.8512847222222,94.6,13.34,648.523705208333,649.9153,646.6475,351,"N",45.216,351.06581184669,1090
"2021-10-23",0,19.38,2.267,56.1406597222222,84.1,11.23,647.994857291667,649.3838,646.1326,209,"SSW",46.404,330.264347222222,1093
"2021-10-24",9.6,14.38,1.955,58.4534375,96.4,24.15,648.846135763889,652.1648,646.7993,358,"N",55.728,321.6550625,1202
"2021-10-25",2.5,13.85,1.615,72.1025694444444,93.1,22.34,650.138044791667,651.6825,648.129,333,"NNW",31.068,310.013923611111,1146
"2021-10-26",0,11.89,1.629,65.8835763888889,91.2,35.58,650.691267708333,652.2697,648.5555,326,"NNW",35.856,339.517920138889,1129
"2021-10-27",0.1,12.42,2.224,70.7997222222222,89.9,42.72,651.169533333333,652.4669,649.8146,137,"SE",37.692,227.342826388889,1360
"2021-10-28",0,13.85,2.406,72.2801736111111,93,39.95,652.209072916667,653.7347,650.0834,344,"NNW",39.996,333.76065625,1215
"2021-10-29",0,13.61,4.654,71.8577083333333,93.5,37.82,651.190378819444,652.9603,649.2899,332,"NNW",28.296,191.734875,1372
"2021-10-30",5.9,14.27,2.096,81.1969444444444,96.5,41.38,649.874177430556,651.3923,648.6551,215,"SW",30.924,170.318309027778,1183
"2021-10-31",1.3,13.32,4.061,76.6067013888889,94.9,47.99,650.359448263889,651.9616,648.5317,214,"SSW",30.564,156.249871527778,1211
"2021-11-01",1.4,15.45,4.921,75.70625,93.9,37.23,649.814753472222,651.8427,647.4498,75,"E",32.976,202.617493055556,1451
"2021-11-02",5.6,12.52,1.997,82.7195833333333,97.9,55.24,649.401671180556,651.0052,647.089,341,"NNW",31.536,242.565083333333,1413
"2021-11-03",0,12.91,5.194,78.2332986111111,96.5,39.63,648.040584027778,649.8021,645.5573,266,"W",36.648,248.937322916667,1236
"2021-11-04",0,14.33,3.525,77.6340277777778,97.2,45.47,647.03106875,648.3119,645.4763,334,"NNW",33.336,288.63796875,1141
"2021-11-05",0,15.06,6.505,76.1078125,95.9,42.28,647.572761111111,648.9692,646.3844,351,"N",39.492,216.238666666667,1386
"2021-11-06",0,13.73,6.07,82.6148611111111,99.9,50.46,648.511202430555,650.4708,646.5779,327,"NNW",32.436,201.582822916667,1274
"2021-11-07",0,14.81,5.714,75.3671875,98.9,36.55,648.328135416667,649.6246,646.3378,334,"NNW",39.132,254.403375,1301
"2021-11-08",0,15.53,4.075,73.7539930555556,98.8,37.26,648.077029513889,649.2185,646.4862,355,"N",43.416,301.247381944444,1404
"2021-11-09",0,14.65,4.499,81.8262717770035,100,44.63,648.476166319444,649.715,646.5555,327,"NNW",39.96,308.875923611111,1399
"2021-11-10",0.1,12.36,5.77,84.4841666666667,96.1,57.17,648.170707638889,649.4981,646.8348,337,"NNW",35.856,199.076225694444,1363
"2021-11-11",1,13.61,5.714,79.2907638888889,95.9,43.89,649.018713194444,650.9286,647.0343,332,"NNW",33.552,287.434642361111,1407
"2021-11-12",5.9,12.8,4.2,83.6222222222222,98.1,61.47,649.794910763889,650.7084,648.0456,346,"N",37.8,213.516774305556,1368
"2021-11-13",2.3,13.28,5.672,81.9880208333333,98.1,52.94,648.093855902778,649.9929,646.0819,323,"NW",31.068,208.630145833333,1265
"2021-11-14",0,17.51,7.255,76.5017361111111,98.1,28.82,647.107918055556,648.5853,645.0262,332,"NNW",33.156,267.368927083333,1195
"2021-11-15",6,13,5.447,85.5983972125436,98.7,63.98,647.223416724739,649.3551,645.0277,163,"SSE",37.728,167.223745644599,900
"2021-11-16",4.1,16.83,5.741,80.0429513888889,97.5,29.83,647.411594791667,648.7234,645.5887,322,"NW",36.072,223.270538194444,1315
"2021-11-17",5.2,14.14,7.269,79.2111458333333,98.1,55.79,647.000101041667,648.6964,644.8267,310,"NW",35.46,196.060548611111,1470
"2021-11-18",0,16.21,4.019,78.8059027777778,99.6,29.76,646.255555208333,647.6241,644.3339,329,"NNW",36.108,316.256736111111,1231
"2021-11-19",0.5,13.07,5.997,87.0997222222222,100,53.06,647.966585416667,649.5744,646.6418,343,"NNW",36.54,274.131802083333,1342
"2021-11-20",0,14.5,5.349,81.1088888888889,99,44.9,648.753436805556,650.1078,647.5543,328,"NNW",36.756,330.189618055556,1237
"2021-11-21",0,15.43,5.77,78.6418055555555,97,43.77,648.904620833333,650.3417,646.7556,337,"NNW",45.324,356.984982638889,1241
"2021-11-22",0,15.56,6.224,73.8393402777778,95.4,38.5,648.421881944444,649.9839,646.0329,321,"NW",35.748,348.194614583333,1221
"2021-11-23",0,15.43,7.498,77.4477083333333,96.3,49.14,649.492921875,651.0652,647.8505,335,"NNW",35.928,225.902791666667,1525
"2021-11-24",8.4,14.44,5.957,84.6630902777778,97.1,58.82,649.579003125,651.9628,646.9048,315,"NW",35.388,148.706229166667,752
"2021-11-25",0,16.87,5.941,84.50375,97.7,40.8,648.139660763889,649.9399,646.2798,338,"NNW",40.14,201.739350694444,1340
"2021-11-26",43.9,10.57,3.113,87.7632638888889,97.5,70.96,649.679722916667,651.4856,648.2264,140,"SE",38.772,93.1630520833333,851
"2021-11-27",0.1,13.56,5.431,78.8862847222222,96.6,52.19,647.933807638889,649.9494,645.8705,340,"NNW",26.532,215.959760416667,1500
"2021-11-28",0,14.57,5.784,85.0176041666667,98.2,50.56,646.58335625,647.7889,645.3564,345,"N",42.912,270.324440972222,1408
"2021-11-29",0.8,12.57,6.847,88.5777430555556,99.3,67.83,647.093632638889,648.4398,645.2065,338,"NNW",37.08,222.357961805556,1293
"2021-11-30",0,13.66,6.649,83.2030902777778,97.4,57.36,646.926836111111,648.135,645.4031,330,"NNW",41.22,249.201805555556,1384
"2021-12-01",0,15.96,5.672,83.7692361111111,100,44.82,647.140971180556,648.976,645.5505,342,"NNW",34.596,261.353006944444,1402
"2021-12-02",2.2,11.19,6.521,86.1405902777778,100,63.81,648.594563194444,650.1169,647.0897,335,"NNW",29.268,104.803305555556,526.7
"2021-12-03",0,12.22,5.915,86.9026736111111,99.3,70.33,648.206774305556,649.5577,646.6417,340,"NNW",32.04,216.750274305556,1602
"2021-12-04",0,12.91,6.636,83.4686458333333,99.7,58.95,649.331705902778,651.0638,647.6823,322,"NW",28.368,215.066163194444,1092
"2021-12-05",6.3,8.14,5.672,94.3784722222222,100,82.7,650.507195486111,651.8775,649.0892,343,"NNW",28.296,88.0993055555556,543.6
"2021-12-06",1.4,8.52,5.517,95.9461805555556,100,86.5,650.878207291667,652.1571,649.3179,355,"N",27.612,115.274611111111,700.6
"2021-12-07",5.3,11.67,5.517,92.5695833333333,100,72.75,650.131245833333,651.4966,648.0413,335,"NNW",29.844,186.200965277778,1361
"2021-12-08",0,12.59,6.251,89.9738194444444,100,63.99,649.126478472222,650.14,647.4042,331,"NNW",44.82,229.931715277778,1507
"2021-12-09",6.8,11.72,5.899,90.5261111111111,100,68.56,649.028100347222,650.341,646.9785,346,"N",31.86,254.13865625,1458
