"date","prcp","max","min","mean"
"2021-04-08",0,0.09856033,0.07763529,0.0837509583673469
"2021-04-09",0,0.091537,0.07425404,0.080797975625
"2021-04-10",0,0.09412909,0.0766263,0.0858732070833333
"2021-04-11",0,0.09570026,0.07318735,0.0825342934375
"2021-04-12",0,0.09335327,0.072155,0.081015586875
"2021-04-13",0,0.09430647,0.07201338,0.0812596729166667
"2021-04-14",1.9,0.1206384,0.06945324,0.0831558364583333
"2021-04-15",0.1,0.09381723,0.07478142,0.0842426970833333
"2021-04-16",0,0.09391737,0.07261229,0.0824418865625
"2021-04-17",0,0.09222746,0.07445335,0.0836572098958333
"2021-04-18",0,0.1387591,0.07299519,0.0826314335416667
"2021-04-19",0.4,0.1120744,0.07277918,0.0831128716666667
"2021-04-20",0,0.09009218,0.07059002,0.0799325058333333
"2021-04-21",0,0.09660006,0.0706892,0.08203572
"2021-04-22",0,0.09271002,0.07170916,0.0808952701041667
"2021-04-23",0,0.09225607,0.06765604,0.079508443125
"2021-04-24",2.2,0.1212592,0.07057238,0.0843428980208333
"2021-04-25",0,0.09870815,0.07245445,0.0802091908333333
"2021-04-26",0,0.09326601,0.07011509,0.0804742422916667
"2021-04-27",0,0.09008312,0.06861925,0.077980359375
"2021-04-28",0,0.08989429,0.068573,0.0785618927083333
"2021-04-29",0,0.09206009,0.06838036,0.08099174
"2021-04-30",0,0.09438419,0.07004023,0.0812123275
"2021-05-01",0,0.09113646,0.07162714,0.0789747788541667
"2021-05-02",0,0.08757925,0.07208443,0.0775929688541667
"2021-05-03",0,0.0956111,0.06567526,0.078232924375
"2021-05-04",0,0.09164333,0.05884743,0.0725994952083333
"2021-05-05",0,0.08572102,0.05404043,0.0717269283333333
"2021-05-06",0,0.08905602,0.06140232,0.076208398125
"2021-05-07",0,0.09145021,0.05946827,0.0752190995833333
"2021-05-08",0,0.09588814,0.06195307,0.0765761488541667
"2021-05-09",0,0.09241009,0.06487226,0.076400905625
"2021-05-10",0,0.09030628,0.06186533,0.0744295665625
"2021-05-11",0,0.08928633,0.05293322,0.0721151388541667
"2021-05-12",0,0.08799839,0.05932045,0.0730505086458333
"2021-05-13",0,0.09000015,0.05679417,0.0740674288541667
"2021-05-14",0,0.09094906,0.0615201,0.0754272840625
"2021-05-15",0,0.09229136,0.06121731,0.0766519354166667
"2021-05-16",0,0.09086704,0.05905104,0.0728586714583333
"2021-05-17",0,0.09343243,0.05765009,0.0778377459375
"2021-05-18",0,0.072999,0.064744,0.0688059884615385
"2021-05-19",0,-Inf,Inf,NA
"2021-05-20",0,-Inf,Inf,NA
"2021-05-21",0,-Inf,Inf,NA
"2021-05-22",0,-Inf,Inf,NA
"2021-05-23",0,-Inf,Inf,NA
"2021-05-24",0,-Inf,Inf,NA
"2021-05-25",0,-Inf,Inf,NA
"2021-05-26",0,-Inf,Inf,NA
"2021-05-27",0,-Inf,Inf,NA
"2021-05-28",0,-Inf,Inf,NA
"2021-05-29",0,-Inf,Inf,NA
"2021-05-30",0,-Inf,Inf,NA
"2021-05-31",0,-Inf,Inf,NA
"2021-06-01",0,-Inf,Inf,NA
"2021-06-02",0,-Inf,Inf,NA
"2021-06-03",0,-Inf,Inf,NA
"2021-06-04",0,-Inf,Inf,NA
"2021-06-05",0,-Inf,Inf,NA
"2021-06-06",0,-Inf,Inf,NA
"2021-06-07",0,-Inf,Inf,NA
"2021-06-08",0,-Inf,Inf,NA
"2021-06-09",0,-Inf,Inf,NA
"2021-06-10",0,-Inf,Inf,NA
"2021-06-11",0,-Inf,Inf,NA
"2021-06-12",0,-Inf,Inf,NA
"2021-06-13",0,-Inf,Inf,NA
"2021-06-14",0,-Inf,Inf,NA
"2021-06-15",0,-Inf,Inf,NA
"2021-06-16",0,-Inf,Inf,NA
"2021-06-17",0,-Inf,Inf,NA
"2021-06-18",0,-Inf,Inf,NA
"2021-06-19",0,-Inf,Inf,NA
"2021-06-20",0,-Inf,Inf,NA
"2021-06-21",0,-Inf,Inf,NA
"2021-06-22",0,-Inf,Inf,NA
"2021-06-23",0,-Inf,Inf,NA
"2021-06-24",0,-Inf,Inf,NA
"2021-06-25",0,-Inf,Inf,NA
"2021-06-26",0,-Inf,Inf,NA
"2021-06-27",0,-Inf,Inf,NA
"2021-06-28",0,-Inf,Inf,NA
"2021-06-29",0,-Inf,Inf,NA
"2021-06-30",0,-Inf,Inf,NA
"2021-07-01",0,-Inf,Inf,NA
"2021-07-02",0,-Inf,Inf,NA
"2021-07-03",0,-Inf,Inf,NA
"2021-07-04",0,-Inf,Inf,NA
"2021-07-05",0,-Inf,Inf,NA
"2021-07-06",0,-Inf,Inf,NA
"2021-07-07",0,-Inf,Inf,NA
"2021-07-08",0,-Inf,Inf,NA
"2021-07-09",0,-Inf,Inf,NA
"2021-07-10",0,-Inf,Inf,NA
"2021-07-11",0,-Inf,Inf,NA
"2021-07-12",0,-Inf,Inf,NA
"2021-07-13",0,-Inf,Inf,NA
"2021-07-14",0,-Inf,Inf,NA
"2021-07-15",0,-Inf,Inf,NA
"2021-07-16",0,-Inf,Inf,NA
"2021-07-17",0,-Inf,Inf,NA
"2021-07-18",0,-Inf,Inf,NA
"2021-07-19",0,-Inf,Inf,NA
"2021-07-20",0,-Inf,Inf,NA
"2021-07-21",0,-Inf,Inf,NA
"2021-07-22",0,-Inf,Inf,NA
"2021-07-23",0,-Inf,Inf,NA
"2021-07-24",0,-Inf,Inf,NA
"2021-07-25",0,-Inf,Inf,NA
"2021-07-26",0,-Inf,Inf,NA
"2021-07-27",0,-Inf,Inf,NA
"2021-07-28",0.1,-Inf,Inf,NA
"2021-07-29",0,-Inf,Inf,NA
"2021-07-30",0,-Inf,Inf,NA
"2021-07-31",0,-Inf,Inf,NA
"2021-08-01",0,-Inf,Inf,NA
"2021-08-02",0,-Inf,Inf,NA
"2021-08-03",0,-Inf,Inf,NA
"2021-08-04",0,-Inf,Inf,NA
"2021-08-05",0,-Inf,Inf,NA
"2021-08-06",0,-Inf,Inf,NA
"2021-08-07",0,-Inf,Inf,NA
"2021-08-08",0,-Inf,Inf,NA
"2021-08-09",0,-Inf,Inf,NA
"2021-08-10",0,-Inf,Inf,NA
"2021-08-11",0,-Inf,Inf,NA
"2021-08-12",0,-Inf,Inf,NA
"2021-08-13",0,-Inf,Inf,NA
"2021-08-14",0,-Inf,Inf,NA
"2021-08-15",0,-Inf,Inf,NA
"2021-08-16",0,-Inf,Inf,NA
"2021-08-17",0,-Inf,Inf,NA
"2021-08-18",0,-Inf,Inf,NA
"2021-08-19",0,-Inf,Inf,NA
"2021-08-20",0,-Inf,Inf,NA
"2021-08-21",0,-Inf,Inf,NA
"2021-08-22",0,-Inf,Inf,NA
"2021-08-23",0,-Inf,Inf,NA
"2021-08-24",0,-Inf,Inf,NA
"2021-08-25",0,-Inf,Inf,NA
"2021-08-26",0,-Inf,Inf,NA
"2021-08-27",1.2,-Inf,Inf,NA
"2021-08-28",0,-Inf,Inf,NA
"2021-08-29",0,-Inf,Inf,NA
"2021-08-30",0,-Inf,Inf,NA
"2021-08-31",0,-Inf,Inf,NA
"2021-09-01",0,-Inf,Inf,NA
"2021-09-02",0,-Inf,Inf,NA
"2021-09-03",0,-Inf,Inf,NA
"2021-09-04",0,-Inf,Inf,NA
"2021-09-05",0,-Inf,Inf,NA
"2021-09-06",0,-Inf,Inf,NA
"2021-09-07",0,-Inf,Inf,NA
"2021-09-08",0,-Inf,Inf,NA
"2021-09-09",0,-Inf,Inf,NA
"2021-09-10",0,-Inf,Inf,NA
"2021-09-11",0,-Inf,Inf,NA
"2021-09-12",0,-Inf,Inf,NA
"2021-09-13",0,-Inf,Inf,NA
"2021-09-14",0,-Inf,Inf,NA
"2021-09-15",0.1,-Inf,Inf,NA
"2021-09-16",0,-Inf,Inf,NA
"2021-09-17",0,-Inf,Inf,NA
"2021-09-18",0,-Inf,Inf,NA
"2021-09-19",0,-Inf,Inf,NA
"2021-09-20",0,-Inf,Inf,NA
"2021-09-21",1,-Inf,Inf,NA
"2021-09-22",0.3,-Inf,Inf,NA
"2021-09-23",0,-Inf,Inf,NA
"2021-09-24",0,-Inf,Inf,NA
"2021-09-25",0,-Inf,Inf,NA
"2021-09-26",0,-Inf,Inf,NA
"2021-09-27",0,-Inf,Inf,NA
"2021-09-28",0,-Inf,Inf,NA
"2021-09-29",0,-Inf,Inf,NA
"2021-09-30",0,-Inf,Inf,NA
"2021-10-01",0,-Inf,Inf,NA
"2021-10-02",0,-Inf,Inf,NA
"2021-10-03",0,-Inf,Inf,NA
"2021-10-04",0,-Inf,Inf,NA
"2021-10-05",0,-Inf,Inf,NA
"2021-10-06",0,-Inf,Inf,NA
"2021-10-07",4.6,-Inf,Inf,NA
"2021-10-08",0,-Inf,Inf,NA
"2021-10-09",0,-Inf,Inf,NA
"2021-10-10",0,-Inf,Inf,NA
"2021-10-11",0,-Inf,Inf,NA
"2021-10-12",0,-Inf,Inf,NA
"2021-10-13",0,-Inf,Inf,NA
"2021-10-14",0,-Inf,Inf,NA
"2021-10-15",0,-Inf,Inf,NA
"2021-10-16",0,-Inf,Inf,NA
"2021-10-17",0,-Inf,Inf,NA
"2021-10-18",0,-Inf,Inf,NA
"2021-10-19",0,-Inf,Inf,NA
"2021-10-20",0,-Inf,Inf,NA
"2021-10-21",0,-Inf,Inf,NA
"2021-10-22",0,-Inf,Inf,NA
"2021-10-23",0,-Inf,Inf,NA
"2021-10-24",2.5,-Inf,Inf,NA
"2021-10-25",0,-Inf,Inf,NA
"2021-10-26",0,-Inf,Inf,NA
"2021-10-27",0,-Inf,Inf,NA
"2021-10-28",0,-Inf,Inf,NA
"2021-10-29",0,-Inf,Inf,NA
"2021-10-30",0,-Inf,Inf,NA
"2021-10-31",0,-Inf,Inf,NA
"2021-11-01",1.1,-Inf,Inf,NA
"2021-11-02",1.6,-Inf,Inf,NA
"2021-11-03",0,-Inf,Inf,NA
"2021-11-04",0,-Inf,Inf,NA
"2021-11-05",0,-Inf,Inf,NA
"2021-11-06",2,-Inf,Inf,NA
"2021-11-07",0,-Inf,Inf,NA
"2021-11-08",0,-Inf,Inf,NA
"2021-11-09",0,-Inf,Inf,NA
"2021-11-10",0,-Inf,Inf,NA
"2021-11-11",1.9,-Inf,Inf,NA
"2021-11-12",13.1,-Inf,Inf,NA
"2021-11-13",0,-Inf,Inf,NA
"2021-11-14",0,-Inf,Inf,NA
