"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax"
"2022-11-07",0,10.96,3.422,77.595625,86,56.29,651.128125,652.3,649.4,191,"S",33.048,39.859125,368.8
"2022-11-08",0,14.83,1.455,72.2064583333333,93.3,37.48,651.15,652.4,649.4,198,"SSW",34.272,320.307572916667,1108
"2022-11-09",0,14.77,2.113,73.439375,95.4,40.21,650.001041666667,651.7,647.7,102,"E",42.66,294.06628125,1187
"2022-11-10",0,15.62,2.964,65.7784375,99.9,19.54,649.540625,651.2,647.4,91,"E",56.088,332.135791666667,1175
"2022-11-11",0,16.43,3.096,61.9975,87.8,25.34,649.285416666667,651.3,646.9,103,"E",40.5,286.828541666667,1114
"2022-11-12",0,16.86,3.789,63.2117708333333,94.6,22.09,648.663541666667,650.7,646.5,96,"E",43.884,315.679322916667,1144
"2022-11-13",0,19.81,1.849,28.8693854166667,71.04,4.374,648.784375,650.4,646.8,120,"ESE",37.008,347.0610625,1158
"2022-11-14",0,18.63,2.768,63.12375,89.1,14.08,650.553125,652.3,648.6,95,"E",43.452,330.912979166667,1169
"2022-11-15",0,16.34,4.34,72.3854166666667,93.3,39.96,652.572916666667,654.4,650.6,83,"E",36.18,235.179364583333,1419
"2022-11-16",0,16.99,2.31,64.7369791666667,95.8,22.27,653.751041666667,654.8,652.5,86,"E",35.64,236.893145833333,1236
"2022-11-17",0,18.7,1.262,42.3276041666667,76.39,18.33,652.703125,654.2,650.8,258,"W",40.608,349.156635416667,1162
"2022-11-18",0,19.43,2.57,35.875625,64.36,11.6,651.6,653,649.9,102,"E",39.6,296.080104166667,1125
"2022-11-19",0,16.37,4.473,61.4630208333333,81.6,35.92,650.139583333333,651.3,648.4,95,"E",51.336,298.9733125,1075
"2022-11-20",0,19.24,5.01,67.6777083333333,93.5,29.15,648.41875,649.8,646.1,105,"ESE",56.52,345.4491875,1169
"2022-11-21",0,13.78,4.406,78.1234375,98,54.03,649.379166666667,651.4,647.7,104,"E",44.892,199.233875,1175
"2022-11-22",0,12.69,5.322,80.53125,94,58.65,650.123958333333,651.5,648.2,134,"SE",43.236,207.500510416667,1321
"2022-11-23",0.6,11.62,5.066,79.5459375,92.2,58.78,650.888541666667,652.8,649.5,189,"S",35.46,118.05471875,521.7
"2022-11-24",0,15.55,2.247,56.549375,96.2,24.41,651.890625,653.7,650.4,184,"S",42.408,327.152270833333,1131
"2022-11-25",0,15.62,1.063,52.7929166666667,92.1,22.02,653.0625,654.3,651.4,189,"S",45,338.860145833333,1085
"2022-11-26",0,15.76,1.061,47.4992708333333,87.5,16.09,653.136458333333,654.4,651.9,215,"SW",39.528,345.788333333333,1088
"2022-11-27",0,16.34,2.177,46.9926041666667,78.67,13.42,652.75,654.1,651.3,207,"SSW",39.528,345.998510416667,1085
"2022-11-28",0,16.73,2.636,56.9794791666667,81.9,24.38,650.129166666667,652.4,647.7,169,"S",30.852,268.356677083333,1242
"2022-11-29",11.8,16.66,3.228,70.134375,90.5,29.2,647.970833333333,649.8,645.7,180,"S",49.284,222.316760416667,1257
"2022-11-30",0,16.34,2.702,72.7951041666667,95.5,17.27,646.445833333333,648.4,643.5,86,"E",46.152,328.471885416667,1211
"2022-12-01",0.6,13.84,3.687,77.0630208333333,98.5,41.51,646.939583333333,649.1,644.6,90,"E",44.424,252.4580625,1396
"2022-12-02",8.2,9.19,1.719,89.8351041666667,99,71.15,648.597916666667,649.9,646.9,132,"SE",44.064,209.328875,1358
"2022-12-03",0.6,10.5,3.682,84.2380208333333,96.9,63.6,649.2625,650.6,647.5,201,"SSW",33.156,152.058854166667,1467
"2022-12-04",29.4,11.29,1.784,81.3946875,96.7,57.15,649.620833333333,651.6,647.8,182,"S",40.032,196.43684375,1323
"2022-12-05",0,11.44,3.216,73.83125,96.3,49.93,650.559375,651.9,648.8,213,"SSW",41.76,224.8596875,1289
"2022-12-06",1.2,7.786,4.472,85.7985416666667,97.4,66.57,651.533333333333,653.2,649.7,221,"SW",35.1,94.9513854166667,498.7
"2022-12-07",13,7.292,4.211,96.4364583333333,99.4,91.7,652.104166666667,653.8,650.8,209,"SSW",24.444,102.08346875,470
"2022-12-08",0.6,13.78,3.556,79.2255208333333,98.5,54.68,650.852083333333,652.4,648.8,82,"E",26.352,179.430489583333,1242
"2022-12-09",0,15.81,5.429,68.4671875,84.5,48.76,650.752083333333,652.6,649.2,97,"E",37.368,251.775041666667,1233
"2022-12-10",1,16.34,6.111,73.5611458333333,90.4,44.53,651.042708333333,652.5,649.2,110,"ESE",37.476,226.526197916667,1116
"2022-12-11",2.6,11.49,5.261,89.531875,99.4,65.1,650.964583333333,652.5,649,217,"SW",24.264,115.282333333333,845
"2022-12-12",0.8,14.29,6.24,72.1290625,96.4,42.49,649.877083333333,651.2,648.5,183,"S",33.3,209.431479166667,1153
