"date","prcp","tx","tn","HRmean","HRmax","HRmin","dir","DIR","vel","radMean","radMax"
"2022-12-28",0,11.7,11.7,85.1,85.1,85.1,159.5,"SSE",16.95,0.1,0.1
"2022-12-29",0,17,9.1,83.640625,99.4,65.7,171.9,"S",25.14,136.505208333333,845.8
"2022-12-30",0,20.4,8.4,76.7677083333333,100,48.7,120.5,"ESE",19.42,183.807291666667,959.1
"2022-12-31",2.2,18.8,6.8,78.69375,99.4,53.3,107.1,"ESE",17.93,156.189583333333,770.9
"2023-01-01",0,21.4,7.9,68.9552083333333,100,40.7,128.1,"SE",18.63,225.908333333333,1023.8
"2023-01-02",2.8,17.6,9.7,85.2479166666667,100,59.2,173.8,"S",28.26,110.779166666667,875.7
"2023-01-03",16.8,22.7,9.7,82.4260416666667,100,42.5,165.3,"S",20.32,194.707291666667,947.1
"2023-01-04",8.6,12.5,6.6,88.6989583333333,100,64.1,156.4,"SSE",27.52,67.715625,348.2
"2023-01-05",0,15.6,5.9,78.2333333333333,100,60.6,188,"S",22.14,203.933333333333,879.5
"2023-01-06",0,17.8,5.4,67.9333333333333,96.1,47.3,122.5,"ESE",22.67,228.141666666667,1007.9
"2023-01-07",0,19.5,6.6,66.6833333333333,88.7,43.4,121.7,"ESE",20.78,250.263541666667,1011.7
"2023-01-08",1.8,17.8,9.9,77.5864583333333,94.5,56.4,139.4,"SE",17.6,145.692708333333,891.7
"2023-01-09",1,19.7,9.1,78.68125,99.1,50,162.9,"SSE",16.58,221.433333333333,1052.9
"2023-01-10",0,22.4,7.1,68.8958333333333,100,22.8,133.6,"SE",23.81,286.634375,985.8
"2023-01-11",2,22.7,7.1,71.5739583333333,97.3,37.9,94.6,"E",33.55,234.379166666667,1047.5
"2023-01-12",1.6,22.8,6,67.5270833333333,96.4,27.3,106,"ESE",28.03,287.1875,968.5
"2023-01-13",0.4,24.9,6.5,64.0447916666667,97.2,15.3,126.2,"SE",22.12,275.772916666667,992.3
"2023-01-14",0,18.5,5.9,77.7604166666667,100,26.9,162.3,"SSE",25.7,149.672916666667,677.9
"2023-01-15",0,21.8,2.2,56.6864583333333,88.2,26.2,164.1,"SSE",21.98,313.3625,983.6
"2023-01-16",0,20.5,6.5,58.1395833333333,93.4,30.1,149.9,"SSE",20.62,296.829166666667,1036.7
"2023-01-17",0,20.3,7.3,61.075,89.1,33.4,159,"SSE",22.87,267.920833333333,911.2
"2023-01-18",2.2,18.4,8.9,72.028125,98.2,42.4,135.4,"SE",28.39,224.052083333333,993.3
"2023-01-19",14.4,13.8,6.4,87.3291666666667,100,68.3,129.1,"SE",27.41,140.385416666667,939.7
"2023-01-20",0.2,20.6,5.3,70.0927083333333,100,35.7,173.3,"S",13.47,309.435416666667,1084.1
"2023-01-21",0,23.2,5.5,54.1875,88.9,19.5,157.4,"SSE",17.84,315.590625,983.9
"2023-01-22",0,22.9,12,61.3104166666667,82.8,31.7,118.8,"ESE",20.57,262.079166666667,1075.3
"2023-01-23",0,21.4,10.6,72.9479166666667,93.2,46.9,114.2,"ESE",23.67,194.469791666667,973.2
"2023-01-24",0,23.1,10.6,68.4885416666667,96.3,36.9,298,"WNW",19.06,236.440625,954.6
"2023-01-25",0,21.7,11,68.6427083333333,93.5,39.4,162.3,"SSE",19.27,222.9375,907.2
"2023-01-26",3.4,19.6,8.4,74.703125,100,51.8,164.2,"SSE",18.58,192.7,911
"2023-01-27",2.8,19.7,8.6,71.8947916666667,100,41.1,145.2,"SSE",18.12,267.6125,943.2
"2023-01-28",0.2,19.6,9.2,67.64375,89.5,43.2,186,"S",26.01,256.55,1008
"2023-01-29",9,15.4,9,87.6395833333333,100,69.8,171.8,"S",21.82,169.628125,780.3
"2023-01-30",0,20.3,10.1,79.5916666666667,97.5,49.8,301.3,"WNW",17.52,161.973958333333,899.8
"2023-01-31",0.8,15.6,9.2,85.8854166666667,99.7,61.9,133.5,"SE",19.47,97.6104166666667,529.8
"2023-02-01",0,19.1,8.5,69.13125,91.4,46,167.3,"S",20.5,262.761458333333,1014.5
"2023-02-02",0.2,16.6,10,76.4875,89.4,48.3,135.9,"SE",22.82,149.26875,763.2
"2023-02-03",3.8,14.7,8.8,90.0208333333333,99.8,74.7,141.5,"SE",21.36,106.470833333333,717.2
"2023-02-04",2.4,11,6.1,88.2260416666667,100,69.4,159.7,"SSE",19.45,86.1447916666667,436.2
"2023-02-05",2.2,12,6.4,94.646875,100,83,161.8,"SSE",15.59,89.425,503.5
"2023-02-06",1.2,18.1,8.7,87.9625,100,62.3,161.9,"SSE",18.66,163.210416666667,876
