"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax"
"2018-09-14",0,14.49,10.1,68.585,88.4,59.3,730.022727272727,731.5,727.3,180,"S",58.392,0.0110909090909091,0.055
"2018-09-15",0,22.05,8.89,66.8813541666667,98.4,31.14,729.485416666667,732.1,725.9,175,"S",87.048,288.55109375,984
"2018-09-16",0,19.29,10.79,61.5265625,88.8,43.37,729.502083333333,733.3,726.2,194,"S",87.444,249.464239583333,987
"2018-09-17",0,20.35,9.4,69.18125,96.2,28.63,731.575,733.4,728.7,180,"S",35.316,233.76153125,1149
"2018-09-18",0,25.45,8.1,43.5500729166667,98.2,7.005,730.642708333333,732.7,727.7,329,"NNW",52.2,289.916572916667,988
"2018-09-19",0,26.53,12.78,42.2314583333333,69.68,12.37,730.45625,733,728.1,353,"N",72.612,294.353208333333,1075
"2018-09-20",0,22.95,12.01,58.7853125,79.18,32.75,732.65625,734.8,730.1,348,"N",52.884,273.771854166667,1058
"2018-09-21",0,20.98,11.03,60.0004166666667,89.2,36.44,732.825,734.5,730.6,321,"NW",70.02,262.102729166667,1005
"2018-09-22",0,22.62,13.31,55.6882291666667,72.14,27.89,732.032291666667,734.4,729.2,339,"NNW",69.012,259.449802083333,1005
"2018-09-23",0,22.84,12.73,54.4305208333333,72.27,32.05,731.208333333333,733,729,2,"N",73.512,302.046864583333,1002
"2018-09-24",0,20.02,12.08,52.8960416666667,69.79,37.62,732.121875,734.1,730.1,0,"N",71.028,252.548697916667,1045
"2018-09-25",0,21.9,10.53,53.1829166666667,69.23,36.88,731.40625,733.6,728.2,337,"NNW",74.268,281.095104166667,1128
"2018-09-26",0,25.55,12.4,46.5183333333333,70.81,16.9,730.988541666667,732.6,728.7,328,"NNW",67.428,256.7520625,1146
"2018-09-27",0.7,21.64,12.16,56.828125,80.3,35.32,732.372916666667,734.2,729.7,76,"E",42.804,195.50346875,1130
