"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax"
"2022-01-28",0,31.75,24.92,76.1214583333333,83.7,67.08,502.158333333333,502.4,501.8,108.5,"ESE",0.7668,193.240645833333,901
"2022-01-29",1.6,33.42,22.73,75.8671875,85.1,60.71,502.017708333333,502.7,501.8,148.7,"SSE",0.7668,173.16975,1002
"2022-01-30",0,35.64,22.12,68.5858333333333,82.9,44.7,502.189583333333,502.8,501.7,73.71,"ENE",0.7668,265.20915625,1211
"2022-01-31",0,32.62,23.87,75.9953125,84,63.83,502.079166666667,502.6,501.8,179.9,"S",0,202.705145833333,1096
"2022-02-01",35.8,32.45,21.62,73.4069791666667,83.2,59.79,502.0375,502.6,501.7,78.16,"E",0.7668,230.670552083333,1014
"2022-02-02",0,34.65,23.73,71.5342708333333,83,58.32,502.140625,502.7,501.8,124.6,"SE",0,256.32603125,1320
"2022-02-03",0.2,32.82,24.26,74.5089583333333,83.6,66.33,502.04375,502.5,501.8,158,"SSE",0.7668,221.282708333333,1127
"2022-02-04",10.2,31.66,24.3,74.4276041666667,83.2,66.79,501.936458333333,502.3,501.8,138.8,"SE",0.7668,81.0837395833333,463.6
"2022-02-05",61.7,29.03,21.82,70.6914583333333,81.2,66.15,501.8375,502.2,501.7,103.5,"E",0.7668,52.60753125,706.1
"2022-02-06",21.5,29.24,21.99,74.1305208333333,84.3,66.9,501.895833333333,502.2,501.6,57.89,"ENE",0.7668,115.362427083333,406.4
"2022-02-07",0,33.3,22.67,67.5309375,82.6,50.55,502.052083333333,502.6,501.7,85.7,"E",0.7668,231.660927083333,1132
"2022-02-08",0,35.39,23.07,65.9872916666667,82.8,42.34,502.167708333333,502.8,501.8,196.1,"SSW",0,254.71196875,1039
"2022-02-09",0,35.45,21.4,63.5941666666667,84.3,29.69,502.176041666667,502.8,501.8,146.9,"SSE",0,296.65309375,989
"2022-02-10",0,35.74,19.94,67.6534375,82.9,44.75,502.102083333333,502.6,501.6,85.5,"E",0,290.713489583333,968
"2022-02-11",2.7,34.95,23.34,71.2079166666667,83,56.18,502.09375,502.7,501.8,56.74,"ENE",0.7668,220.657708333333,1183
"2022-02-12",41.9,29.3,22.29,73.1134375,83.6,67.97,501.871875,502.3,501.8,75.07,"E",0.81,107.797989583333,925
"2022-02-13",0,31.74,21.37,74.08125,83.5,59.79,501.975,502.4,501.7,150.2,"SSE",0.7668,231.427895833333,1237
"2022-02-14",0,33.36,21.54,71.7053125,82.7,53.81,502.063541666667,502.6,501.7,84.2,"E",0.7668,209.101854166667,1158
"2022-02-15",0,34.31,23.57,73.7873958333333,83.8,60.18,502.073958333333,502.6,501.8,195.3,"SSW",0,197.118041666667,879
"2022-02-16",1.8,35.9,23.15,69.3721875,83.6,54.13,502.185416666667,502.8,501.8,131.5,"SE",0.7668,244.895697916667,1074
"2022-02-17",2.5,35.24,24.19,71.1051041666667,82,59.22,502.151041666667,502.8,501.8,30.47,"NNE",0.7668,255.912885416667,1208
"2022-02-18",72.8,30.1,22.92,72.0089583333333,83.3,66.06,501.917708333333,502.3,501.8,70.75,"ENE",0.81,109.168354166667,769
"2022-02-19",3.6,32.99,22.35,71.0785416666667,82.2,60.3,501.94375,502.4,501.7,178.3,"S",0.7668,178.504677083333,1085
"2022-02-20",52.4,32.86,21.71,71.9938541666667,83.8,63.51,501.998958333333,502.6,501.8,144.6,"SSE",0.81,170.892864583333,977
"2022-02-21",0,32.68,23.75,70.6983333333333,83.4,57.78,502.069791666667,502.6,501.8,157.7,"SSE",0.7668,236.006947916667,1068
"2022-02-22",18.5,26.59,23.04,71.6651086956522,82.1,65.85,501.865217391304,502,501.8,104.2,"E",0.7668,62.9223586956522,365.1
"2022-02-23",0.1,32.03,23.06,73.1821875,83.5,64.99,502.015625,502.4,501.8,88,"E",0.7668,183.2394375,911
"2022-02-24",10.3,32.66,22.97,72.3923958333333,83.4,65.18,502.04375,502.5,501.8,157.7,"SSE",0.7668,201.408177083333,1116
"2022-02-25",37.3,33.03,23.75,71.8881052631579,83.1,64.84,502.015789473684,502.6,501.8,141.2,"SE",0.7668,183.873663157895,1099
"2022-02-26",19.4,34.76,23.85,71.0039583333333,83.2,60.38,502.145833333333,502.7,501.8,118,"ESE",0.7668,234.90640625,1012
