"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax"
"2018-08-29",0,25.86,16.54,34.6076470588235,46.85,23.46,702.28431372549,755.8,0,20,"NNE",48.06,339.820450980392,4031
"2018-08-30",0,27.59,12.31,38.3375,63.92,16.43,754.440625,757.1,751.3,309,"NW",41.652,230.30603125,1056
"2018-08-31",0,26.98,9.55,31.8186458333333,52.84,13.36,730.397916666667,757.1,0,45,"NE",47.484,277.249041666667,1039
"2018-09-01",0,27.41,10.97,37.6566666666667,63.53,17.47,753.275,756.2,749.2,288,"WNW",49.464,241.5884375,1104
"2018-09-02",0,28.3,5.26,18.9687604166667,48.12,2.234,755.598958333333,758.2,751.6,105,"ESE",35.82,300.206114583333,1003
"2018-09-03",0,26.44,7.965,25.9417708333333,49.88,10.68,758.491666666667,761.2,755.1,108,"ESE",31.644,292.000583333333,995
"2018-09-04",0,25.79,6.491,22.4125,42.65,10.88,758.355208333333,761.5,754,103,"E",20.664,293.023302083333,993
"2018-09-05",0,28.6,5.532,18.66178125,37.79,4.695,756.566666666667,759.3,752.7,66,"ENE",30.312,296.423989583333,990
"2018-09-06",0,28.98,7.37,27.3351458333333,50.34,5.085,755.786458333333,758.4,751.7,312,"NW",27.936,292.430041666667,985
"2018-09-07",0,29.52,8.13,30.9716145833333,62.22,6.14,755.860416666667,758.4,752.1,84,"E",38.088,290.540895833333,976
"2018-09-08",0,29.04,7.662,27.7902083333333,51.48,7.634,756.465625,759,752.4,314,"NW",25.992,294.585302083333,984
"2018-09-09",0,28.01,9.52,35.783125,58.68,15.8,756.766666666667,759.8,752.6,78,"E",31.644,287.37115625,968
"2018-09-10",0,27.86,10.56,45.0307291666667,64.72,18,757.355208333333,759.5,753.6,73,"ENE",46.296,259.645802083333,962
"2018-09-11",0,26.43,14.35,39.2611458333333,62.83,22.57,756.6,759.1,752.7,319,"NW",41.184,263.435291666667,1005
"2018-09-12",0,29.23,9.96,37.2775,67.02,12.51,754.363541666667,756.9,750.3,297,"WNW",39.996,272.0411875,991
"2018-09-13",0,28.38,10.38,35.4326041666667,60.91,15.72,752.942708333333,755.2,749.3,320,"NW",40.356,289.330166666667,988
"2018-09-14",0,29.29,10.55,36.4991666666667,62.6,10.54,752.985416666667,756.5,748.4,283,"W",44.928,292.7310625,994
"2018-09-15",0,29.44,12.07,35.1855208333333,56.94,15.98,751.84375,754.9,747.9,345,"N",52.668,278.799208333333,1007
"2018-09-16",0,28.27,14.58,34.7426041666667,50.09,19.59,751.994791666667,755.2,748.5,344,"NNW",57.528,267.408916666667,982
"2018-09-17",0,29.6,10.53,19.7357395833333,41.87,1.098,753.522916666667,756.9,749.3,267,"W",39.276,288.405083333333,1029
"2018-09-18",0,29.61,9.43,32.1499166666667,64.03,3.806,753.00625,756.7,748.6,288,"WNW",41.22,286.558270833333,1093
