"date","prcp","tx","tn","HRmean","HRmax","HRmin"
"2021-10-01",0,-Inf,Inf,NA,-Inf,Inf
"2021-10-18",1.4,14.12,4.417,74.0806666666667,94.6,40.32
"2021-10-19",0,15.98,2.959,71.3604166666667,95.5,35.38
"2021-10-20",0,17.8,-1.991,48.799375,96,6.41
"2021-10-21",0,18.37,-0.621,37.4310625,86,5.456
"2021-10-22",0,19.02,-2.159,56.3357291666667,87.2,7.769
"2021-10-23",0,19.26,-0.421,38.2546875,80.2,12.48
"2021-10-24",4.1,16.8,-0.266,47.8395833333333,95.9,11
"2021-10-25",2.4,15.59,-1.975,70.9644791666667,94.9,19.77
"2021-10-26",0,14.21,-1.425,65.083125,92.7,29.83
"2021-10-27",2.6,12.64,-1.425,75.0345833333333,94.9,40
"2021-10-28",0,14.94,-0.816,72.1430208333333,96.2,35.08
"2021-10-29",0.2,16.43,2.603,71.2895833333333,92.1,33.82
"2021-10-30",8.6,17.21,-0.523,81.0833333333333,96,30.45
"2021-10-31",2.3,15.24,1.29,80.0873958333333,100,42.72
"2021-11-01",0.5,15.28,2.748,77.13125,93.1,44
"2021-11-02",15.5,14.69,0.227,83.1102083333333,99.4,44.45
"2021-11-03",0.1,15.85,2.152,76.3016666666667,98.3,36.07
"2021-11-04",0.3,16.78,0.128,74.6432291666667,97.5,36.2
"2021-11-05",4.7,15.44,3.624,77.300625,95.9,38.97
"2021-11-06",1.4,15.47,5.223,78.0152083333333,94,40.05
"2021-11-07",1.4,17.58,1.971,72.3105208333333,95.5,28.79
"2021-11-08",1.9,19.1,1.29,72.02,95,20.72
"2021-11-09",0.4,15.18,1.474,79.6633333333333,97.5,44.39
"2021-11-10",4.4,12.67,4.187,86.5577083333333,98.1,58.04
"2021-11-11",6.1,14.65,2.932,78.5714583333333,95.1,46.23
"2021-11-12",16.1,13.98,2.166,84.7325,100,53.03
"2021-11-13",4.3,15.38,1.655,82.38,100,38.11
"2021-11-14",0,17.15,4.657,70.635625,98,27.42
"2021-11-15",7.2,15.15,3.653,78.689375,95.4,42.94
"2021-11-16",0.2,15.88,3.015,74.9136458333333,96.7,33.46
"2021-11-17",11.8,16.08,5.322,76.1797916666667,94.3,44.88
"2021-11-18",0,18.1,2.462,67.8220833333333,97.4,15.89
"2021-11-19",9.5,15.81,4.486,84.1564583333333,98.9,38.84
"2021-11-20",0,16.12,2.406,79.0221875,96,44.46
"2021-11-21",0,17.49,3.268,65.1271875,97.7,30.58
"2021-11-22",0,17.52,2.916,70.0103125,97.9,28.26
"2021-11-23",0,18.1,5.365,74.0890625,95,38.79
"2021-11-24",6.8,15.38,4.657,80.9676041666667,96.3,49.52
"2021-11-25",0,17.58,3.64,76.0225,95.2,28.19
"2021-11-26",51.7,9.21,0.625,90.3629166666667,98.9,73.36
"2021-11-27",0.1,14.7,2.449,78.2134375,96.3,46.33
"2021-11-28",0.5,16.11,3.324,82.9320833333333,99.6,47.13
"2021-11-29",4.1,13.95,4.697,87.4940625,97.8,65.51
"2021-11-30",5.1,15.24,4.048,82.8870833333333,98.3,49.82
"2021-12-01",0.1,18.7,2.903,76.915,98.5,26.39
