"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax"
"2018-08-31",0,25.47,14.05,32.3098333333333,54.41,12.44,721.980701754386,725.1,720.1,27,"NNE",57.096,390.905983333333,1077
"2018-09-01",0,22.27,10.84,46.3827083333333,63.2,27.61,722.3125,725.3,718.8,9,"N",63.756,267.503114583333,1082
"2018-09-02",0,25.6,5.986,20.88828125,49.23,1.448,723.925,726.5,720.4,54,"NE",43.02,293.817041666667,1054
"2018-09-03",0,22.77,4.835,33.7449375,65.7,3.806,726.511458333333,728.7,723.7,220,"SW",29.772,287.219739583333,1041
"2018-09-04",0,21.83,2.754,31.986875,56.7,13.05,726.336458333333,728.9,722.5,353,"N",32.148,282.170916666667,1022
"2018-09-05",0,24.39,3.584,27.9425,48.63,6.722,724.797916666667,726.7,721.5,348,"N",34.632,287.108520833333,1031
"2018-09-06",0,25.49,5.361,36.8034375,63.41,9.23,724.211458333333,726.2,720.9,21,"NNE",38.952,283.191333333333,1027
"2018-09-07",0,25.99,5.764,38.2259375,68.37,9.56,724.286458333333,726.7,721.2,20,"NNE",35.604,278.978072916667,1020
"2018-09-08",0,25.82,5.522,36.2280208333333,57.75,9.8,724.902083333333,726.7,721.4,7,"N",47.376,275.893291666667,1038
"2018-09-09",0,23.97,6.108,45.9725,76.36,20.52,725.030208333333,727.4,721.5,21,"NNE",33.66,273.80603125,1015
"2018-09-10",0,22.8,7.49,50.4461458333333,76.19,29.35,725.596875,727.2,722.9,8,"N",44.424,244.464614583333,1172
"2018-09-11",0,22.29,12.38,46.7319791666667,62.83,30.55,725.129166666667,727.1,722,34,"NNE",42.048,239.524229166667,1251
"2018-09-12",0,25.85,7.289,43.3225,74.7,15.19,723.132291666667,725.5,719.9,27,"NNE",42.948,267.988416666667,1036
"2018-09-13",0,23.27,11.45,45.1379166666667,59.68,26.23,722.047916666667,724.2,719,14,"N",51.156,270.76846875,1022
"2018-09-14",0,23.97,9.69,44.1866666666667,67.43,20.51,722.055208333333,724.6,718.5,355,"N",49.32,269.68565625,1025
"2018-09-15",0,23.36,12.66,45.6491666666667,57.55,29.22,721.154166666667,723.1,717.9,8,"N",59.004,263.580927083333,1014
"2018-09-16",0,22.28,11.4,45.808125,58.96,30.57,721.26875,724.4,718.3,1,"N",57.06,265.176875,1121
"2018-09-17",0,25.94,4.835,28.1490833333333,56.92,1.675,722.309375,724.6,718.9,353,"N",34.164,274.083,1071
"2018-09-18",0,26.92,7.551,30.2255,58.17,1.934,721.808333333333,724.6,718.3,13,"N",40.536,257.080854166667,1099
"2018-09-19",0,28.84,10.37,36.4931979166667,61.28,2.256,721.777083333333,723.9,718.5,0,"N",42.12,287.19709375,1134
"2018-09-20",0,25.04,8.25,44.6625,72.83,24.54,723.330208333333,725.5,720.8,10,"N",48.42,282.262447916667,1058
"2018-09-21",0,25.2,12.18,46.0314583333333,65.59,25.73,723.677083333333,725.7,721.1,23,"NNE",50.328,281.690322916667,1054
"2018-09-22",0,25.11,12.7,46.3226041666667,64.14,25.59,723.526041666667,725.6,720.5,13,"N",43.092,284.75190625,1043
"2018-09-23",0,25.54,13.44,44.4589583333333,62.12,22.47,722.795833333333,724.8,720.1,13,"N",43.128,283.191114583333,1058
"2018-09-24",0,22.75,13.26,50.2801041666667,62.05,29.41,723.811458333333,725,722.7,1,"N",51.552,176.689239583333,1159
"2018-09-25",0,23.54,8.79,44.7345833333333,67.61,24.99,722.619791666667,724.8,719.6,7,"N",48.384,258.48671875,1061
"2018-09-26",0,25.38,11.92,38.6872916666667,61.72,15.67,722.164583333333,724.1,719.1,359,"N",41.544,255.56571875,1079
"2018-09-27",6,26.08,6.148,47.4125,80.7,15.46,722.961458333333,725.2,720.2,168,"S",34.344,256.48709375,1074
"2018-09-28",6.6,24.79,11.07,61.0289583333333,92.1,22.91,723.510416666667,725.7,721.2,205,"SSW",30.96,214.702020833333,1138
"2018-09-29",0,26.71,7.864,49.4739583333333,92.4,10.86,721.475,724.3,717.7,39,"NE",32.22,293.3950625,1108
"2018-09-30",0,28.51,10.63,35.5987916666667,64.8,5.78,721.384375,723.4,718.3,13,"N",41.256,293.616020833333,1112
"2018-10-01",0,28.93,11.46,34.0511354166667,58.07,5.076,722.358333333333,724.7,719.4,11,"N",48.564,315.331114583333,1114
"2018-10-02",0,27.98,12.78,46.7482291666667,71.82,21.88,723.4375,726.1,721,6,"N",58.5,292.306427083333,1137
"2018-10-03",0,25.2,14.35,47.3888541666667,62.25,28.25,723.513541666667,725.8,721,351,"N",42.408,271.658708333333,1241
"2018-10-04",0,24.82,12.06,45.8690625,58.52,27.1,724.208333333333,726.2,721.5,42,"NE",49.068,316.956322916667,1440
"2018-10-05",0,25.01,13.95,48.35375,62,28.57,724.417708333333,726.3,721.4,8,"N",44.856,268.976395833333,1427
"2018-10-06",0.4,23.6,12.62,49.8204166666667,88.9,31.49,723.227083333333,725.1,720.1,4,"N",54.54,303.43325,1277
"2018-10-07",1.9,22.49,11.28,57.3559375,90.6,30.21,723.086458333333,726.1,720,1,"N",49.896,162.9490625,1299
"2018-10-08",0,25.8,9.1,36.9714583333333,57.07,18.02,722.448958333333,724.6,719.2,19,"NNE",35.892,256.296625,1217
"2018-10-09",0,27.57,11.86,41.5960416666667,63.09,17.05,721.955208333333,724.3,719.1,11,"N",42.588,325.043135416667,1230
"2018-10-10",0,26.19,11.15,46.54375,65.29,27.2,722.298958333333,724.6,719,4,"N",33.84,290.039114583333,1243
"2018-10-11",3.5,21.15,11.55,60.4103125,92.7,38.71,723.461458333333,726,721.3,8,"N",37.584,197.159864583333,1218
