"date","prcp","tx","tn","HRmean","HRmax","HRmin"
"2021-10-01",0,-Inf,Inf,NA,-Inf,Inf
"2021-10-14",2,8.31,2.742,67.6466666666667,77.5,56.49
"2021-10-15",0,14.38,2.302,67.1155208333333,90.3,35.92
"2021-10-16",0,13.73,3.22,73.0677083333333,92.8,43.82
"2021-10-17",0,17.14,1.159,53.593125,94.3,11.63
"2021-10-18",0.1,14.55,0.438,51.9872631578947,99.5,17.02
"2021-10-19",0,12.99,2.358,72.016875,97.4,39.46
"2021-10-20",0,15.75,-0.581,39.2719791666667,92.9,7.692
"2021-10-21",0,15.9,0.817,29.959375,81.3,6.282
"2021-10-22",0,16.39,0.352,42.8336458333333,82.5,9.37
"2021-10-23",0,17.28,0.195,29.2257291666667,67.81,13.28
"2021-10-24",0.3,14.41,-1.486,46.0417708333333,100,11.44
"2021-10-25",9.1,10.76,-4.298,76.1401041666667,100,26.84
"2021-10-26",0,10.12,-2.194,65.6052083333333,93.4,31.04
"2021-10-27",3.7,11.26,-2.843,77.0752083333333,98.9,42.52
"2021-10-28",2.3,12.3,-0.963,78.9619791666667,97.7,45.33
"2021-10-29",0.9,12.44,2.302,79.3734375,100,43.7
"2021-10-30",9.1,14.13,0.278,81.541875,100,39.35
"2021-10-31",1.7,11.96,-0.157,80.6944791666667,100,48.89
"2021-11-01",0.1,13.18,1.511,78.8270833333333,99.3,37.74
"2021-11-02",21.6,11.11,-0.071,85.6403125,100,53.83
"2021-11-03",2.1,11.07,-1.174,79.9119791666667,100,45.01
"2021-11-04",1.6,13.38,1.327,73.7364583333333,99.3,34.92
"2021-11-05",3.9,13.05,2.035,81.6161458333333,100,39.96
"2021-11-06",2.6,12.15,2.147,81.4060416666667,100,41.66
"2021-11-07",5.5,14.44,0.748,71.8966666666667,97.9,34.3
"2021-11-08",6.5,14.34,2.812,69.1419791666667,97.2,33.79
"2021-11-09",0.6,11.95,0.649,83.46,98.4,56.01
"2021-11-10",1.9,7.661,2.331,91.1877083333333,100,72.43
"2021-11-11",10.4,11.75,1.61,82.3414583333333,100,51.96
"2021-11-12",12.4,11.4,0.165,90.2890625,100,62.74
"2021-11-13",0,12.05,0.478,83.4504166666667,100,48.48
"2021-11-14",0,15.14,3.236,75.1477083333333,100,31.77
"2021-11-15",7.5,13.11,0.886,81.9642708333333,98.6,50.33
"2021-11-16",1.6,14.44,2.16,77.5325,97.3,38.51
"2021-11-17",11.1,12.62,3.605,82.9496875,99.4,45.88
"2021-11-18",0,14.81,2.542,61.8157291666667,98.6,14.3
"2021-11-19",7.3,12.1,2.654,89.2729166666667,100,56.39
"2021-11-20",0,12.73,1.172,84.5119791666667,100,52.92
"2021-11-21",0,13.96,1.722,70.3888541666667,96.9,35.79
"2021-11-22",0,14.04,0.662,72.8408333333333,99.9,34.53
"2021-11-23",0,14.65,4.04,78.9384375,100,44.18
"2021-11-24",6.3,13.82,2.344,84.9640625,99.8,40.39
"2021-11-25",0,15.97,3.039,78.561875,97.3,32.82
"2021-11-26",52.1,5.939,0.123,96.1333333333333,100,85.4
"2021-11-27",0.3,11,1.159,81.188125,96.7,58.01
