"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax"
"2018-12-07",0.2,17.97,8.94,63.1803636363636,82.2,44.19,688.976363636364,694.6,501.2,341,"NNW",30.528,249.534472727273,1303
"2018-12-08",0,21.55,7.337,58.8101041666667,89.3,18.92,691.902083333333,693.9,689.5,235,"WSW",34.776,352.872416666667,1132
"2018-12-09",0,24.38,9,51.2647916666667,75.43,13.26,690.692708333333,692.6,688.5,244,"WSW",28.44,356.437614583333,1139
"2018-12-10",0,20.41,7.131,59.115625,80.3,36.63,692.828125,695.1,690.9,255,"W",31.104,251.82546875,1348
"2018-12-11",0,22.66,7.436,51.7454166666667,75.85,21.71,692.327083333333,694.2,690.1,274,"W",36.468,352.174083333333,1146
"2018-12-12",0,22.59,7.922,44.3316666666667,68.12,15.14,691.672916666667,693.5,689.2,74,"ENE",46.872,249.407041666667,1218
"2018-12-13",0,18.98,8.79,57.8775,80.7,39.31,690.941666666667,693.2,688.3,187,"S",43.236,231.633770833333,814
"2018-12-14",0,22.17,8.28,58.915625,82.7,25.28,689.395833333333,692,687.1,228,"SW",33.66,370.679697916667,1165
"2018-12-15",2.4,12.64,8.18,69.2508333333333,82.7,56.33,692.308333333333,694.2,690.7,108,"ESE",27.108,110.754572916667,887
"2018-12-16",0,16.88,8.21,66.6059375,88,47.46,691.510416666667,693.7,688.7,208,"SSW",37.728,234.34015625,1296
"2018-12-17",14.2,17.31,8.09,67.266875,92.3,46.96,690.65,692.7,688.5,259,"W",32.076,254.913802083333,1498
"2018-12-18",3.2,15.44,7.68,71.13125,91.3,56.22,690.875,692.5,688.5,279,"W",31.176,202.196552083333,1134
"2018-12-19",2.6,15.26,7.236,77.2107291666667,90,57.61,690.494791666667,692,688.6,296,"WNW",30.096,155.848125,1509
"2018-12-20",0,18.19,6.518,69.6282291666667,88.2,47.99,688.715625,690.7,686.4,320,"NW",45.9,321.9343125,1298
"2018-12-21",0,17.67,8.31,70.415,87.8,51.98,688.675,690.8,686.5,243,"WSW",42.156,246.61646875,1234
"2018-12-22",0.5,17.35,8.5,71.3983333333333,89.2,43.96,689.848958333333,691.7,687.5,232,"SW",25.632,171.7984375,999
"2018-12-23",0,15.27,7.464,72.4392708333333,87.6,55.25,690.286458333333,691.5,688.9,324,"NW",20.772,166.801895833333,775.5
"2018-12-24",3.6,13.83,7.605,79.0204166666667,91.9,60.77,690.561458333333,692,688.6,129,"SE",25.92,125.448958333333,691.7
"2018-12-25",4.4,17.19,6.775,72.3107291666667,89.8,48.79,689.9625,691.5,687.6,228,"SW",24.984,213.852197916667,1585
"2018-12-26",2.4,16.79,7.203,72.8651041666667,91.4,50.01,690.007291666667,691.6,687.8,299,"WNW",29.808,233.830614583333,1194
"2018-12-27",0,19.8,7.136,68.5480208333333,87.5,42.46,688.477083333333,690.8,685.8,271,"W",35.784,265.675208333333,1017
"2018-12-28",0,19.82,10.08,67.97375,89.5,44.78,688.554166666667,690.5,686.4,302,"WNW",32.256,249.667135416667,1277
"2018-12-29",23.3,12.44,7.2,81.3910416666667,96.8,65.45,689.070833333333,692.2,686.4,195,"SSW",23.436,88.1753333333333,439.1
"2018-12-30",0.7,17.08,7.883,79.5057291666667,94.2,58.86,688.983333333333,690.5,687.2,246,"WSW",26.676,179.992708333333,916
"2018-12-31",4.4,13.89,8.55,81.3670833333333,93.1,63.5,689.678125,691.3,687.8,196,"SSW",14.58,113.876427083333,630.7
"2019-01-01",0,19.1,7.28,70.8866666666667,90.6,40.88,689.447916666667,691.2,687.3,263,"W",30.564,277.475229166667,1316
"2019-01-02",8.6,13.98,8.54,76.2897916666667,86.6,63.29,690.310416666667,692.4,688.3,333,"NNW",23.796,89.6420104166667,442.4
"2019-01-03",4.8,17.66,8.09,74.2405208333333,90.6,44.86,689.846875,692.2,687.7,349,"N",33.12,161.516958333333,1143
"2019-01-04",2.8,17.74,8.48,76.0985416666667,94.6,53.82,690.609375,692,688.8,267,"W",35.964,248.02215625,1227
"2019-01-05",0,17.8,8.01,71.1283333333333,85.1,49.29,690.322916666667,691.8,688,278,"W",36.468,327.340979166667,1442
"2019-01-06",2.8,19.04,9.66,73.3972916666667,93.2,47.51,688.591666666667,690.6,686,239,"WSW",26.28,251.873697916667,1277
"2019-01-07",0,21.78,9.6,66.1292708333333,89.3,21.49,688.009375,689.9,686.3,76,"E",29.988,321.2890625,1171
"2019-01-08",0,17.54,9.21,72.08125,84.3,48.84,689.398958333333,691.3,687.7,275,"W",30.384,127.492572916667,680.1
"2019-01-09",0,19.5,6.508,64.1716666666667,86.4,39.15,687.888541666667,689.2,686,328,"NNW",31.428,323.270072916667,1169
"2019-01-10",0,19.37,9.09,65.0023958333333,89.9,40.44,687.969791666667,690.3,685.8,306,"NW",43.848,253.106677083333,1175
"2019-01-11",8.3,12.19,7.133,79.94875,93.8,64.87,690.272916666667,691.9,688.8,33,"NNE",26.532,75.87946875,408.5
"2019-01-12",0,17.93,4.972,71.4855208333333,92.9,47.99,689.45625,691,687.5,242,"WSW",46.152,371.1050625,1351
"2019-01-13",0,18.22,7.298,73.2016666666667,90.5,49.82,689.641666666667,691.4,687.7,227,"SW",35.172,263.403625,1366
"2019-01-14",0.4,18.47,8.22,71.2113541666667,90.1,45.93,690.288541666667,691.7,688.3,259,"W",32.94,286.441510416667,1307
"2019-01-15",0.1,19.17,7.982,70.1738541666667,91,45.77,690.615625,692.3,688,318,"NW",42.012,247.651010416667,1349
"2019-01-16",6.7,18.13,7.504,71.8908333333333,93.6,54.05,691.752083333333,693.4,689.9,242,"WSW",28.26,247.518229166667,1236
"2019-01-17",0,19.1,7.406,66.2651041666667,87.1,39.58,691.05625,692.8,688.3,258,"W",37.944,328.669208333333,1360
"2019-01-18",3.9,15.73,8.61,74.7829166666667,87.8,55.09,691.942708333333,694.1,689.4,280,"W",31.32,182.463020833333,1173
"2019-01-19",9.2,15.48,6.754,75.9665625,94.4,51.38,692.027083333333,694,689.4,218,"SW",23.58,198.425989583333,985
