"date","prcp","tx","tn","HRmean","HRmax","HRmin"
2022-04-22,0,30.1,12.3,27,44.9,13
2022-04-23,0,27.9,7.6,40.3,64.1,16.2
2022-04-24,0,27.5,8,45.5,67.9,20.4
2022-04-25,0,28.4,8.5,48.4,74.3,19.3
2022-04-26,0,30.1,7.5,42.3,72.9,11.3
2022-04-27,0,30.9,5.6,33.8,62,5.3
2022-04-28,0,29.1,7.9,45.1,70.9,18.5
2022-04-29,0,21.7,11.6,68.2,79.1,48.5
2022-04-30,0,27.2,11.5,55.6,82,26
2022-05-01,0,29.5,8.4,50.9,83,18
2022-05-02,0,29.3,7.9,47.8,77.4,22
2022-05-03,0,26.9,8.8,53.3,76.9,29
2022-05-04,0,24.1,8.4,55.1,82.8,30.1
2022-05-05,0,27.7,6.9,43.6,82.6,7.9
2022-05-06,0,28.2,6.1,38.3,66.2,11.8
2022-05-07,0,24.9,7.3,51.2,78.5,26.3
2022-05-08,0,24.6,6.5,48.1,76.3,28.1
2022-05-09,0,25.9,6.7,49.8,80.8,27.1
2022-05-10,0,26.5,6.6,46.3,79,20.4
2022-05-11,0,24.4,8.3,55.6,74.1,32.1
2022-05-12,0,26.3,5.1,47.9,83.1,12.5
2022-05-13,0,28.3,5.6,40.7,70,12.1
2022-05-14,0,28.3,7,40.5,64.6,13.3
2022-05-15,0,27.6,6.1,42.8,68.4,14.2
2022-05-16,0,28,6.5,52.2,83.7,18.7
2022-05-17,0,26.7,5.3,56.1,91.2,17
2022-05-18,0,22,7.4,55,79.4,29.5
2022-05-19,0,25.3,4.1,41.4,73.1,16.3
2022-05-20,0,25.8,3.2,34.3,65.4,12.7
2022-05-21,0,27,5,34.7,58,12.2
2022-05-22,0,25.1,6,31.1,57.7,14
2022-05-23,0,25.4,2.3,29.1,49.4,9.5
2022-05-24,0,26.4,3,33.7,56.4,7.2
2022-05-25,0,24.9,3.5,39.7,59.4,17.6
2022-05-26,0,24,7.2,50.2,70.2,29.1
2022-05-27,0,25.7,3.9,42.6,69.6,12.7
2022-05-28,0,27.2,4.5,41,68.7,15.2
2022-05-29,0,28.7,4.1,39.1,64.5,11.5
2022-05-30,0,26.8,5.6,42.4,69.7,18.5
2022-05-31,0,21.1,9,52.4,68.8,35.2
2022-06-01,0,25.6,7.6,53.5,79.2,28.5
2022-06-02,0,26.6,10.7,51.2,77.4,22.4
2022-06-03,0,26.7,8,48.1,74.3,18
2022-06-04,0,25.3,7.7,49.8,75.4,28.5
2022-06-05,0,26.4,8.1,49.3,75.9,28.3
2022-06-06,0,23.6,7.5,49.8,73.1,33
2022-06-07,0,26.4,6.8,47.3,76.9,18.8
2022-06-08,0,24.5,2.6,30.9,63.6,8.5
2022-06-09,0,24.1,1.9,30.5,51.5,8.5
2022-06-10,0,17.7,6.9,44.3,62.8,27.6
2022-06-11,0,23.1,2.1,37.5,66.8,10.7
2022-06-12,0,22.3,1.8,41.5,72.4,13.8
2022-06-13,0,21.2,1.6,38.2,67.2,7.4
2022-06-14,0,24.5,0.1,32.1,56.6,13.9
2022-06-15,0,26.6,1.4,26.5,48.3,9.2
2022-06-16,0,26.5,2.6,31,51.7,12
2022-06-17,0,26.4,4,34.1,57.6,7.2
2022-06-18,0,24,4.9,41.3,68.6,18.3
2022-06-19,0,26.8,3.4,36.6,70.7,9.4
2022-06-20,0,25.3,4.3,36,62.6,18.9
2022-06-21,0,26.8,6.9,39.5,64.4,14.3
2022-06-22,0,25.6,4.6,41.4,66.4,22.4
2022-06-23,0,24.2,5.6,43.3,69.6,27.5
2022-06-24,0,26.7,5.3,38.7,67.9,16.4
2022-06-25,0,26.4,4.6,29,57.4,11.6
2022-06-26,0,27.8,3.9,32.3,56.7,11.4
2022-06-27,0,27.4,4.1,30.9,59.4,8.9
2022-06-28,0,27.8,5,28.1,54.7,13.4
2022-06-29,0,24,6.5,43.8,74.2,23.6
2022-06-30,0,27.8,4.4,35.2,70.9,5.7
2022-07-01,0,28.8,4.2,28.3,53.1,9.3
2022-07-02,0,27,3.9,27.1,50.6,10.5
2022-07-03,0,27.2,3.6,23.4,44.6,7.9
2022-07-04,0,27.8,6.2,26.8,44.4,8.6
2022-07-05,0,28.1,6.1,31.5,54.2,10.3
2022-07-06,0,28.8,4.6,31.3,54.5,10.9
2022-07-07,0,27.1,5.7,31.2,56.3,13.6
2022-07-08,0,25.5,6.1,40.8,59.1,21.9
2022-07-09,0,26.6,6.5,46.9,72,22.8
2022-07-10,0,27,8.3,44.1,69.5,20.8
2022-07-11,0,28.2,7,36,64.7,9.3
2022-07-12,0,24.2,4.5,40.3,59.4,23.4
2022-07-13,0,27.3,8.1,48.6,75.4,22.6
2022-07-14,0,28.1,5.8,34.2,56.4,12.4
2022-07-15,0,25.2,6.9,28.5,44.2,13.4
2022-07-16,0,26.6,4.5,26.6,48.9,6.6
2022-07-17,0,25.6,5.9,45.5,69.2,25.8
2022-07-18,0,25.5,6.2,48.1,79.4,28.7
2022-07-19,0,26,7,41.4,68.8,23.9
2022-07-20,0,27.7,5.2,29.7,57.5,9.1
2022-07-21,0,29.4,3.5,19.2,40.2,5.9
2022-07-22,0,28.3,4,18.4,37,6.3
2022-07-23,0,28,4.3,25.2,42.4,8.2
2022-07-24,0,28.9,5,30,50.1,9.2
2022-07-25,0,28.1,6.4,36.2,63.1,13.9
2022-07-26,0,27.4,6.4,37.9,61.3,15.2
2022-07-27,0,28.5,4.8,30.1,55.9,6.3
2022-07-28,0,29.9,4.4,18.3,32.8,2.7
2022-07-29,0,27,6.9,34.8,61.9,15.7
2022-07-30,0,30.2,6.1,40.3,83.1,7.7
2022-07-31,0,30.2,6.1,18.1,43.7,5.9
2022-08-01,0,28.7,7.1,30.8,61.1,11.2
2022-08-02,0,28.4,5.9,35.8,55,12.8
2022-08-03,0,29.3,8.3,41.3,66.8,14.2
2022-08-04,0,27.9,6.7,39.6,58.7,16.3
2022-08-05,0,25.8,8.8,45.8,75.7,27.1
2022-08-06,0,24.5,9.8,43.3,73.4,23.6
2022-08-07,0,21.9,8.9,39.7,61.2,17.1
2022-08-08,0,25.1,9.7,41.2,57.7,21.8
2022-08-09,2.1,28.2,6.7,43.6,79.7,12.9
2022-08-10,0,25.6,3.6,41.2,76.8,13.9
2022-08-11,0,28.8,3.9,27.1,65.2,2.5
2022-08-12,0,29.7,3.6,16.7,30.6,2.7
2022-08-13,0,29.4,4.3,26.4,50.1,8.4
2022-08-14,0,30.4,5.9,36.2,62.5,9.2
2022-08-15,0,29.6,7,29.4,56.4,9.9
2022-08-16,0,26.8,7,26.7,52.5,11.7
2022-08-17,0,30.4,7,32.8,56.4,8.1
2022-08-18,0,26.1,2.9,20.8,54.1,3.9
2022-08-19,0,22.9,7.7,40.7,58.1,22.4
2022-08-20,0,25.6,3,30.8,61.3,4.7
2022-08-21,0,26.5,4.2,31.4,54.3,12.4
2022-08-22,0,27.4,5.2,35.8,61.9,14.2
2022-08-23,0,27.8,4.7,34.8,66,8.5
2022-08-24,0,29.1,6.1,33.4,70,6.5
2022-08-25,0,29.8,6.4,25.6,50,5
2022-08-26,0,28,7,32.8,59.1,15
2022-08-27,0,30.7,6.4,30.7,50,9.1
2022-08-28,0,27.2,10,38.5,62.9,20
2022-08-29,0,24.3,7.4,51.6,77.5,29.4
2022-08-30,0,28.7,6.8,43.3,72.2,16.1
2022-08-31,0,30,7.5,39.8,63.9,16.3
2022-09-01,0,31,8.6,36.5,62.2,12.2
2022-09-02,0,25.9,9.9,44.9,63.6,26.7
2022-09-03,0,29.1,8.9,48.9,71.1,22.6
2022-09-04,0,30.5,9.9,43.4,69.2,11.4
2022-09-05,0,25.8,6.5,49.2,72.7,22.3
2022-09-06,0,28.8,5.9,39,76,5.5
2022-09-07,0,31.7,6.3,29.4,54.8,7.3
2022-09-08,0,31.3,7.2,27.4,43.7,10.3
2022-09-09,0,29.8,9,35.2,52.8,15.1
2022-09-10,0,28.5,11.3,39.7,58.8,27.8
2022-09-11,0,31.4,8.6,42.2,73.4,15.1
2022-09-12,0,31.6,8.6,36.5,56.1,13.3
2022-09-13,0,28.7,10.8,46.7,70,20.2
2022-09-14,4.4,17.3,11.6,63.2,89.8,40.3
2022-09-15,0,27.1,9.5,58,84.5,20.8
2022-09-16,0,27.3,7.6,49.1,79.7,21.1
2022-09-17,0,29.8,7.7,40.7,68.8,15.8
2022-09-18,0,30.6,9.4,42,70.5,18.8
2022-09-19,0,30.9,8.2,31.7,52.9,12
2022-09-20,0,32.9,10.5,35.2,59.1,10.3
2022-09-21,0,32.7,10.6,30.3,50,8.9
2022-09-22,0,30,10.6,32.3,49,20.3
2022-09-23,0,32.6,9.4,39.4,74.3,7.9
2022-09-24,0,29.6,10.5,35.8,56.1,20.1
2022-09-25,0,30.3,11.8,35.9,53.6,17.6
2022-09-26,0,27.2,9.8,39.9,61.3,25
2022-09-27,0,29,9.7,40.3,62.6,21.1
2022-09-28,0,31.2,9.9,35,54.2,10.9
2022-09-29,0,28.9,10.9,49.9,79,20.7
2022-09-30,0,28.6,8,42,74.1,13.5
2022-10-01,0,28.7,8.6,39.9,64,16
2022-10-02,0,29.4,9.8,40.7,62.3,22.8
2022-10-03,0,29.9,10.6,43.4,69.2,21.3
2022-10-04,0,31.8,9.1,38.6,69.3,15.6
2022-10-05,0,30.3,9.8,30.9,57.9,12.7
2022-10-06,0,29.5,8.4,15.7,30.2,4.2
2022-10-07,0,30.7,9.2,29.6,65.8,4
2022-10-08,0,33.1,8.1,26.6,48.3,4.2
2022-10-09,0,29.1,11.6,37.6,58.7,20.9
2022-10-10,0,32.6,10.1,30.4,63.1,10.6
2022-10-11,0,31.7,7.4,15.7,29.6,4.3
2022-10-12,0,31.1,8.4,29.8,54.6,9.1
2022-10-13,0,28.9,8.9,29.8,47,7.9
2022-10-14,0,27.7,11,47.4,67,26.7
2022-10-15,0,29.4,9.8,47.4,74.2,25.5
2022-10-16,0.4,26.8,12.6,48,67.6,29.6
2022-10-17,0,26.6,12,52.8,76.6,28.3
2022-10-18,0,28.8,9.2,44.1,71.3,24.6
2022-10-19,0,31.8,10.7,39.1,67.1,15
2022-10-20,0,33.9,9.2,26.6,48.4,6.3
2022-10-21,1.2,32,12.7,42.6,88.2,13.5
2022-10-22,1,28.8,12.1,59.7,89,24.8
2022-10-23,0,29.4,13.1,49,78.2,21
2022-10-24,0,31.2,11.4,41.9,71.9,18.4
2022-10-25,0,30.4,11.7,41.7,66.7,19.8
2022-10-26,0,34.7,11.1,33.6,60.6,4.6
2022-10-27,1.5,29.1,13.6,45.4,67.8,23.7
2022-10-28,0,33.1,11.3,40.4,83.9,7.9
2022-10-29,0,31.3,10.6,33.3,50,19.2
2022-10-30,0,33.5,11.1,35.1,60.5,8.4
2022-10-31,0,31.3,11.8,44.6,66.9,22.5
2022-11-01,0,28.8,10.2,48.5,67.9,25.5
2022-11-02,0,29.1,5.9,35,65.7,15.9
2022-11-03,0,30.1,6.8,23.2,40.1,11.2
2022-11-04,0,33.8,7.3,21.9,39.8,5.3
2022-11-05,0,32.8,6.7,26.5,49.8,5.4
2022-11-06,0,31.4,8,38.2,64.2,13.2
2022-11-07,0,29.2,8.8,39.4,67.4,15.8
2022-11-08,4.4,29.3,9.9,46.9,88.6,19.1
2022-11-09,0,29.4,11,48.3,83,22.4
2022-11-10,0,28.9,9.7,37.3,66.2,12.3
2022-11-11,0,31.5,10.8,34.6,60,12.8
2022-11-12,0,32.4,11.2,34.7,67.3,7.4
2022-11-13,0,33.5,8.5,15.1,32.4,1.8
2022-11-14,0,32.7,12.2,35.4,57.3,15.4
2022-11-15,0,34.5,12.7,43,75.7,14
2022-11-16,0,32.3,12.5,35.3,68.7,12.4
2022-11-17,0,33.1,11,33.3,59.7,15.4
2022-11-18,0,34.4,11.1,26.1,45,10.8
2022-11-19,0.2,33.6,12.3,38.6,57.4,17.5
2022-11-20,0,35.4,11.4,41.3,68.8,12.1
2022-11-21,2.1,30,11.8,49.5,88.8,20.6
2022-11-22,4.4,30.6,12.5,47.4,72.5,23.1
2022-11-23,3.8,26.5,11.9,64.3,78,36.2
2022-11-24,0,29.6,10.6,47.6,88.3,20.7
2022-11-25,0,29.3,10.5,35.7,68.4,13.9
2022-11-26,0,29.8,10.4,31.8,61.6,11.5
2022-11-27,0,29,9.4,30.3,59.1,11.2
2022-11-28,0.4,30.6,10.2,35.8,59.9,13.2
2022-11-29,0.6,30,10.9,45.1,78.5,15.7
2022-11-30,0,32.2,10.5,35.5,66.2,4.5
2022-12-01,5,30.5,10.5,45.5,85.7,11.7
2022-12-02,2.9,25.8,9.6,61.7,94.3,29.9
2022-12-03,0,27.1,10.7,52,78.6,26.7
2022-12-04,6.3,29.3,12.3,57.6,84.7,21.8
2022-12-05,6.7,24.8,10.1,57.6,94.6,29.5
2022-12-06,1.7,16.8,11.7,71.2,86.4,54.1
2022-12-07,16,18.1,10.2,85.6,97.4,61.3
2022-12-08,0,28.8,8.7,67.2,95.5,29.2
2022-12-09,0,29.4,10.8,53.9,83.7,24.9
2022-12-10,12.3,30.2,13.2,51.3,81.5,23.1
2022-12-11,4,22.5,11.3,69.8,92.4,43.5
2022-12-12,9,28.4,12.8,61.2,94.3,26.2
2022-12-13,0.2,21,13.3,64,83.2,49.7
2022-12-14,0.2,26.3,12.4,58,89.9,31.9
2022-12-15,0,32.1,12.7,49.1,83.9,22
2022-12-16,0,28.8,14.1,50.3,73.2,28.4
2022-12-17,1,30.6,13,53.1,80.7,27.7
2022-12-18,1.5,28.2,12,53.7,83.4,28.1
2022-12-19,0,25.3,13.8,60.7,80.5,37.1
2022-12-20,0.2,30.4,12.4,48.7,79,19.3
2022-12-21,0,29.4,14.5,52.6,80.2,23.2
2022-12-22,0,30.9,14.9,51.2,73.6,18
2022-12-23,0,31,11.5,47.4,75.5,19.6
2022-12-24,0,34.1,11.4,39.3,74.5,4.4
2022-12-25,0,29,14.7,44.5,62.4,22.8
2022-12-26,0,30,11,48.2,75.7,25.7
2022-12-27,0,32.4,12,43.6,70.7,18.8
2022-12-28,12.3,25.1,10.8,62.4,93.8,36.6
2022-12-29,0,25.2,14.9,63.7,77.4,43.4
2022-12-30,0,29.6,12.1,52.1,88.3,26.2
2022-12-31,0,28.9,12.1,48.8,75.5,27.8
2023-01-01,0,31.7,14.8,49.3,77.2,17.9
2023-01-02,0.8,21.3,12.1,65.8,90.2,45.3
2023-01-03,0.8,29.5,12.4,61.6,94.5,29.9
2023-01-04,11.2,17.3,10.1,86.6,94,63.6
2023-01-05,0,25.3,9.8,65.3,94.9,31.5
2023-01-06,1,26.2,12.2,58.3,87.2,30.9
2023-01-07,0,27.9,11.6,53.9,82.2,28.1
2023-01-08,0,26.4,14.5,57.2,72.7,34.3
2023-01-09,6.9,26.8,10.4,66.9,95.8,32.7
2023-01-10,0,31.1,10.7,53.8,93.3,17.3
2023-01-11,1.7,31.9,11.5,55.2,81.9,20.7
2023-01-12,0,30.1,8.5,50.8,86.9,24.1
2023-01-13,0,33.2,10.7,42.6,73.3,14.4
2023-01-14,0,27.9,12.3,41.8,75.7,12.1
2023-01-15,0,32.1,8.4,35.2,66.8,10.2
2023-01-16,0,30.2,12.6,39.8,62.7,14.1
2023-01-17,0,29.9,11.7,37.6,68,18.7
2023-01-18,0.6,24.2,11.8,51.5,83.9,32.2
2023-01-19,9,22,11.3,79.5,96.3,46.5
2023-01-20,0,28.8,9.2,61.4,98.1,23
2023-01-21,0,33.3,10.2,41.7,80,14.2
2023-01-22,0,31.7,15.8,40.4,59.8,22.8
2023-01-23,0,30.5,16,50.7,70.8,25.1
2023-01-24,0,32.2,14.5,48,71.2,17.3
2023-01-25,0,29.9,15.7,44.1,66.9,24.3
2023-01-26,0,27.6,14.1,47.8,72,29.2
2023-01-27,0,27.9,13.9,51.2,77.6,29.4
2023-01-28,0.6,27.5,13.4,52.5,70.6,32.4
2023-01-29,5.4,23.2,12.6,75.7,94.2,47.5
2023-01-30,12.5,26.1,12.3,74.2,97,41.4
2023-01-31,0.2,23.4,11.6,68.9,87.9,49.9
2023-02-01,0,28,13.2,52.8,78.8,23.9
2023-02-02,0.2,21.4,13.2,67.1,85.9,47.8
2023-02-03,10,23.4,11.2,77.1,96.1,49.2
2023-02-04,7.3,12,9.7,94.2,97.8,87.5
2023-02-05,7.5,18.8,8.9,85.1,99,60.3
2023-02-06,0,24.9,11.1,73.3,96.8,40.7
2023-02-07,10.4,23.5,11.1,79.3,96.7,41.3
2023-02-08,13.8,23.8,11.4,81.9,98,50.4
2023-02-09,0.4,25.8,10.4,74.4,96.6,40.2
2023-02-10,NA,NA,NA,NA,NA,NA
2023-02-11,NA,NA,NA,NA,NA,NA
2023-02-12,NA,NA,NA,NA,NA,NA
2023-02-13,NA,NA,NA,NA,NA,NA
