"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax"
"2019-02-13",0,13.54,9.27,85.8456,92,72.34,672.436,673.4,671.3,133,"SE",15.804,17.26224,243
"2019-02-14",13,14.97,7.645,86.6673958333333,98,62.86,672.582291666667,674.6,671.1,128,"SE",28.296,206.264885416667,1421
"2019-02-15",8.6,12.71,7.756,94.2102083333333,98.6,77.18,673.505208333333,675.2,671.6,159,"SSE",27.072,113.730927083333,611.4
"2019-02-16",0.4,14.19,5.265,85.5764583333333,98.4,67.6,673.444791666667,675,671,163,"SSE",31.14,219.08484375,1216
"2019-02-17",0,15.32,7.542,87.0284375,98.8,58.25,672.413541666667,673.8,670.2,165,"S",34.38,178.600520833333,1317
"2019-02-18",1.1,19.42,7.516,78.1992708333333,98.4,48.73,671.85625,674.4,669.4,271,"W",46.296,307.395447916667,1207
"2019-02-19",2.4,15.12,7.236,83.8605208333333,96.6,61.13,672.665625,675.1,670.5,115,"ESE",41.508,142.274395833333,1284
"2019-02-20",0.7,13.48,6.644,81.6089583333333,96,55.92,673.609375,675.1,671.4,169,"S",28.008,178.489145833333,1329
"2019-02-21",4.2,15.29,7.299,80.0804166666667,94.7,57.38,674.021875,675.2,672.6,97,"E",28.584,181.309135416667,1363
"2019-02-22",0.2,16.9,7.087,72.6516666666667,95.7,35.83,674.271875,675.6,672.6,162,"SSE",32.148,359.6518125,1293
"2019-02-23",0,17.35,6.158,69.995625,97.5,41.12,672.18125,674.7,669.3,180,"S",27.252,308.620166666667,1561
"2019-02-24",0,17.77,6.916,72.1155208333333,87.6,46.45,669.929166666667,671.6,667.6,305,"NW",30.384,282.9428125,1208
"2019-02-25",12.4,18.05,6.28,69.7833333333333,94.9,40.38,670.33125,673,667.7,92,"E",38.484,298.113677083333,1274
"2019-02-26",7.5,12.86,6.48,87.3816666666667,96.9,66.25,671.739583333333,673.6,670,130,"SE",33.804,143.499697916667,825
"2019-02-27",0.4,16.28,7.042,82.3495833333333,97.9,51.72,672.240625,673.9,670.3,163,"SSE",27.936,287.572677083333,1211
"2019-02-28",0,14.06,6.458,87.2696875,98.7,67.36,673.529166666667,674.8,672,166,"S",32.796,225.164739583333,1278
"2019-03-01",0.2,16.97,5.6,81.48125,98.8,51.75,672.839583333333,674.1,671.3,151,"SSE",29.664,267.614083333333,1322
"2019-03-02",0,18.29,7.644,81.6053125,97.2,41.99,673.041666666667,675,671.8,163,"SSE",36.216,213.163416666667,1229
"2019-03-03",1.5,14.23,7.307,80.3144791666667,95.5,59.74,673.54375,675.3,671.5,152,"SSE",42.156,181.473541666667,760.4
"2019-03-04",0.1,19.39,5.986,72.1545833333333,93.3,42.91,672.10625,673.2,670.4,310,"NW",32.364,326.20065625,1092
"2019-03-05",0,15.89,7.303,74.550625,95.8,52.32,673.667708333333,675.6,671.9,127,"SE",28.332,150.50275,695.1
"2019-03-06",0,15.67,6.701,73.4951041666667,94.3,44.58,674.179166666667,676.6,672.2,265,"W",25.56,235.147760416667,1095
"2019-03-07",0,18.98,6.335,65.0936458333333,86.7,36.99,672.43125,673.9,670.5,304,"WNW",36.072,330.87440625,1068
"2019-03-08",0,18.11,6.778,63.4848958333333,89.5,39.72,672.204166666667,674.7,670.6,330,"NNW",36.972,331.23984375,1077
"2019-03-09",24,13.78,5.344,85.473125,97.6,55.17,674.485416666667,676.4,672.6,134,"SE",30.348,160.31034375,1218
"2019-03-10",0,14.47,6.826,88.1569791666667,98.8,57.73,674.191666666667,675.9,672.1,160,"SSE",34.38,177.548270833333,1279
"2019-03-11",0.1,17.53,6.384,82.3339583333333,96.9,48.22,672.229166666667,673.8,670.1,162,"SSE",31.968,301.165458333333,1329
"2019-03-12",0,17.91,6.972,76.8285416666667,95.4,47.25,671.56875,673,670,310,"NW",34.704,285.343989583333,1288
"2019-03-13",0,15,8.48,73.4311458333333,93,52.47,672.113541666667,673.5,670.1,5,"N",52.344,244.336010416667,1249
"2019-03-14",10.2,16.17,7.074,73.533125,95.2,49.33,672.309375,673.8,670.3,327,"NNW",41.184,286.147572916667,1566
"2019-03-15",4.2,15.97,7.36,76.5710416666667,95.9,56.91,672.295833333333,673.9,670.3,327,"NNW",46.656,248.162822916667,1152
"2019-03-16",0.1,15.24,7.995,74.1009375,93,58.01,671.820833333333,673.1,670,355,"N",46.404,287.0595,1248
"2019-03-17",0.9,15.66,8.45,77.2739583333333,92.2,50.77,671.941666666667,674,669.8,311,"NW",34.38,166.908572916667,862
"2019-03-18",0.3,14.18,6.381,77.5328125,96.1,52.3,672.603125,674.3,670.8,47,"NE",39.24,144.953229166667,1035
"2019-03-19",0,17.03,8.35,69.343125,87.4,45.75,671.997916666667,673.4,670.1,317,"NW",35.676,248.6728125,1233
"2019-03-20",4.2,13.72,7.69,82.495,97.3,60.72,673.107291666667,674.8,671.5,113,"ESE",28.656,157.58990625,1117
"2019-03-21",0,17.02,6.868,82.3457291666667,98.4,44.51,672.560416666667,674.2,670.1,323,"NW",27.612,294.691333333333,1172
"2019-03-22",0,17.57,5.912,77.2684375,94.9,38.07,672.3375,674.1,670.7,135,"SE",32.616,299.691,1151
"2019-03-23",0,17.47,3.262,77.4402083333333,98.4,39.43,673.286458333333,674.8,671.5,140,"SE",28.512,266.794635416667,1051
"2019-03-24",0.1,16.64,4.355,80.7341666666667,98.6,50.64,673.304166666667,675.2,671.4,144,"SE",39.924,305.71490625,1107
"2019-03-25",2.1,14.14,6.578,81.4078125,95.6,57.91,673.414583333333,674.7,671.5,161,"SSE",34.416,197.28753125,993
"2019-03-26",6.1,11.48,6.683,87.7264583333333,96.9,63.17,673.420833333333,674.8,671.6,159,"SSE",26.604,146.99796875,1253
"2019-03-27",1.3,11.04,6.448,88.0892708333333,96,72.95,674.954166666667,676.6,673.7,152,"SSE",28.764,110.5760625,613.2
"2019-03-28",0,14.66,4.484,80.9144791666667,99.1,63.04,675.378125,676.8,673.6,141,"SE",34.02,249.71665625,1265
"2019-03-29",0,12.32,5.206,82.0652083333333,94.6,62.11,675.4125,676.9,673.6,145,"SSE",21.816,118.747322916667,584.2
"2019-03-30",0,14.67,5.27,76.958125,95.3,54.09,674.682291666667,676.4,672.5,11,"N",26.532,182.4806875,1029
"2019-03-31",0,17.74,5.989,72.8825,92.3,43.15,673.164583333333,674.9,671,317,"NW",41.148,303.084791666667,1004
"2019-04-01",3.7,15.29,7.441,78.4522916666667,97.1,57.92,672.827083333333,674.9,671,200,"SSW",48.42,212.093260416667,1085
"2019-04-02",0,16.55,8.03,73.4171875,93.9,51.22,672.322916666667,674.4,670.8,349,"N",52.668,183.821552083333,1146
"2019-04-03",5,11.48,6.814,91.2302083333333,98.5,77.08,673.158333333333,675,671,159,"SSE",22.068,99.138625,585.1
