"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax"
"2021-04-08",0,26.24,14.53,50.5667346938775,82.6,29.21,748.434693877551,751.1,746.1,168,"S",26.244,320.089469387755,966
"2021-04-09",0,23.83,13.11,68.0815625,90.2,41.46,750.311458333333,752.4,747.6,135,"SE",25.02,218.19296875,1119
"2021-04-10",0,22.53,13.03,70.4740625,89.6,44.69,749.439583333333,751.4,746.6,147,"SSE",26.964,173.29953125,1144
"2021-04-11",0.5,21.32,10,76.2373958333333,92.3,46.48,751.296875,754.1,748.4,162,"SSE",33.948,123.91675,781.2
"2021-04-12",0,18.36,12.67,78.0877083333333,92.3,60.98,753.242708333333,754.9,751,162,"SSE",28.368,127.108385416667,1026
"2021-04-13",0,22.09,12.59,70.9144791666667,89.6,45.56,753.00625,755.1,749.7,146,"SSE",32.184,235.2748125,966
"2021-04-14",0.1,22.19,11.86,66.9213541666667,87.7,47.2,751.436458333333,754.4,748.1,259,"W",43.776,222.003135416667,925
"2021-04-15",0,23.36,10.04,66.6309375,86.3,44.06,749.742708333333,751.7,746.5,103,"E",28.08,267.517510416667,914
"2021-04-16",0,22.69,13.26,67.9997916666667,84,43.63,750.191666666667,752.4,746.8,140,"SE",32.292,224.035645833333,1097
"2021-04-17",0,24.14,13.86,62.7555208333333,83.9,34.59,750.995833333333,753.4,747.9,91,"E",27.324,266.31590625,1093
"2021-04-18",0,21.58,13.38,67.6934375,83.3,47.82,751.319791666667,753,748.2,124,"ESE",34.452,202.421479166667,1105
"2021-04-19",0,22.4,11.7,65.5307291666667,85.6,43.26,751.908333333333,753.7,748.9,131,"SE",30.96,253.159239583333,1009
"2021-04-20",0,23.2,11.57,67.2763541666667,90.1,40.42,751.421875,753.6,748.1,140,"SE",28.692,268.502125,915
"2021-04-21",0,26.96,9.67,57.2510416666667,88.9,24.9,749.458333333333,751.8,746,303,"WNW",36.828,212.429416666667,908
"2021-04-22",0,27.74,9.35,54.4080208333333,88.5,12.04,748.938541666667,751.2,744.9,0,"N",29.808,252.45909375,897
"2021-04-23",0.8,22.92,10.2,63.5225,88.7,34.32,748.807291666667,751.1,745.6,247,"WSW",34.416,192.398229166667,894
"2021-04-24",5.8,21.95,10.2,70.0390625,92.5,29.2,749.901041666667,752.5,747,133,"SE",33.3,159.928677083333,958
"2021-04-25",5.4,14.68,9.15,79.7940625,95.4,61.61,752.3125,754.7,749.7,128,"SE",27.396,150.69503125,976
"2021-04-26",0,19.31,9.84,68.5561458333333,86.9,46.78,751.385416666667,753.5,748.2,153,"SSE",33.948,244.46846875,893
"2021-04-27",0,20.9,8.68,65.6158333333333,90.6,37.62,751.185416666667,753.2,748.1,168,"S",41.472,249.748552083333,889
"2021-04-28",0,18.07,10.03,70.9857291666667,80.7,49.87,752.5,755,750.7,79,"E",32.436,146.72265625,961
"2021-04-29",0,18.66,9.43,67.0788541666667,81.8,46.21,753.764583333333,755.6,751.5,132,"SE",29.772,173.646458333333,1147
"2021-04-30",0,21.76,8.01,67.1371875,89.8,36.9,751.608333333333,754.4,748,128,"SE",26.928,238.618791666667,870
"2021-05-01",0,24.92,5.631,57.1435416666667,91.5,15.82,750.307291666667,752.2,747.8,89,"E",29.844,250.073708333333,860
"2021-05-02",0,25.27,7.787,48.4535416666667,82.9,14.67,750.553125,752.3,748.1,157,"SSE",34.488,253.703770833333,876
"2021-05-03",0,27.8,7.22,45.7909375,79.48,10.81,749.603125,751.6,746.7,173,"S",29.232,252.274416666667,878
"2021-05-04",0,25.69,7.791,53.6702083333333,79.7,20.08,751.283333333333,754.7,748.8,108,"ESE",34.56,246.83284375,880
"2021-05-05",0,21.04,10.97,65.9411458333333,84.9,45.76,752.367708333333,755.2,748.8,189,"S",32.472,219.731270833333,989
"2021-05-06",0,20.46,8.36,74.4257291666667,89.1,48.39,752.6125,754.6,749.4,163,"SSE",37.476,210.530895833333,951
"2021-05-07",0,16.91,7.446,76.14375,93.8,54.7,753.057291666667,755,750.5,140,"SE",23.364,128.070583333333,713
"2021-05-08",0,22.34,5.947,66.7228125,91.6,36.22,752.172916666667,754.1,749.3,173,"S",28.548,226.40671875,868
"2021-05-09",0,25.11,5.967,54.4730208333333,89.8,18.61,751.434375,753.3,748.5,143,"SE",29.844,239.756645833333,843
"2021-05-10",0,21.06,5.696,57.0148958333333,81.6,27.94,752.214583333333,754.7,749.4,158,"SSE",33.084,237.73565625,837
"2021-05-11",0,19.2,6.608,71.7485416666667,90.4,50.37,751.819791666667,754,748.5,157,"SSE",26.424,210.751552083333,820
"2021-05-12",0,20.12,11.31,70.3952083333333,89.4,43.47,751.769791666667,753.9,749.3,152,"SSE",29.34,212.218260416667,951
"2021-05-13",0,24.57,10.43,62.9771875,88.7,32.68,750.792708333333,752.9,747,153,"SSE",27.036,209.425166666667,814
"2021-05-14",0,21.78,7.709,60.10375,91.1,25.71,752.0625,754.1,749.3,178,"S",31.392,224.057854166667,822
"2021-05-15",0,23.65,7.657,50.2452083333333,75.5,23.7,751.619791666667,753.2,748.8,99,"E",26.856,209.686802083333,1003
"2021-05-16",0,22.5,7.098,62.87375,87.8,29.88,752.601041666667,755,749.7,142,"SE",28.656,230.294760416667,820
"2021-05-17",0,20.74,9.02,63.8509375,85.9,42.29,754.298958333333,756,751.5,152,"SSE",27.252,238.840645833333,950
