"date","prcp","tx","tn","HRmean","HRmax","HRmin","presMean","presMax","presMin","dir","dir123","vel","radMean","radMax"
"2019-02-06",0.1,25.02,14.28,52.6425862068966,71.49,30.43,741.805172413793,744.8,739.3,232,"SW",27.612,388.462206896552,1105
"2019-02-07",0,27.02,10.2,48.2017708333333,85.8,10.68,741.233333333333,743.5,737.8,264,"W",22.248,346.952822916667,1119
"2019-02-08",0,26.09,10.8,47.4507291666667,82.9,24.32,740.651041666667,743,737.2,284,"W",24.948,286.926947916667,1134
"2019-02-09",0,25.22,12.3,52.1617708333333,84.3,32.34,741.339583333333,743.7,737.9,302,"WNW",36.468,269.231822916667,1320
"2019-02-10",0,23.48,14.03,60.0220833333333,80.3,43.29,740.772916666667,742.8,738.1,317,"NW",34.596,211.917427083333,1405
"2019-02-11",11.9,23.74,12.76,69.0607291666667,98,41.39,740.952083333333,744.3,737.2,285,"WNW",42.408,234.146270833333,1193
"2019-02-12",17.7,22.89,12.71,82.1757291666667,98,40.68,744.003125,746.9,741.4,281,"W",26.892,193.56303125,1366
"2019-02-13",9.9,21.8,11.88,77.1989583333333,97.6,51.98,743.517708333333,746.6,739.9,267,"W",20.628,206.311802083333,810
"2019-02-14",0,24.41,12.17,72.9648958333333,92.8,40.19,741.466666666667,743.6,739.1,296,"WNW",37.728,290.323302083333,1311
"2019-02-15",24.2,20.85,11.8,79.8459375,95.7,43.58,742.994791666667,744.9,740.4,129,"SE",25.92,146.51746875,959
"2019-02-16",18.5,24,12.34,76.0686458333333,99,41.57,742.953125,745.5,739.2,311,"NW",22.716,260.285833333333,1416
"2019-02-17",0.3,24.63,14.25,71.0232291666667,89.8,45.25,741.64375,743.9,738.5,318,"NW",33.984,222.59609375,1354
"2019-02-18",0.2,26.07,13.63,64.5964583333333,91.3,44,740.610416666667,742.9,736.6,278,"W",38.412,252.378666666667,1093
"2019-02-19",21.4,25.57,11.65,56.6058333333333,90.7,19.99,741.664583333333,745,738.3,156,"SSE",21.924,265.170895833333,1146
"2019-02-20",20.1,22.29,10.88,75.2289583333333,98.4,42,743.609375,745.8,740.2,271,"W",15.732,250.141583333333,1282
"2019-02-21",1.6,25.58,12.49,67.1385416666667,96.9,33,743.213541666667,745.2,740.7,151,"SSE",28.692,330.794708333333,1145
"2019-02-22",0,26.75,13.84,58.6090625,88.3,27.77,743.183333333333,745.6,740.3,281,"W",18.108,316.3109375,1078
"2019-02-23",0,27.03,12.58,53.2082291666667,89.4,21.95,740.805208333333,744,736.7,303,"WNW",34.776,335.318583333333,1080
"2019-02-24",3.5,24.48,12.2,53.5755208333333,86.9,22.98,738.626041666667,743.7,734.9,295,"WNW",62.208,233.517635416667,1100
"2019-02-25",0,25.82,9.13,63.0441666666667,94.9,34.23,739.273958333333,741.6,735.3,305,"NW",42.048,297.606083333333,1089
